Configurazione,epsilon,Cd,CL
naca4412_eppler61,0.166009,0.177598,1.368807
naca4412_s1210,0.17761372727272726,0.189118,1.358925
Eppler_396_Eppler61,0.18921845454545455,0.192775546,1.24735098
Eppler_396_S1210,0.193363,0.204603,1.242343
naca6412_eppler61_no_naso,0.20496772727272727,0.205113,1.220674
naca6412_s1210_no_naso,0.20579663636363638,0.208274,1.218559
eppler398_goe431_no_naso,0.20828336363636363,0.209252,1.149139
eppler398_s1210_no_naso,0.20994118181818183,0.210253,1.146635
Be_153_055_Eppler61,0.2107700909090909,0.2146791564,1.117139411
Be_153_055_Be_092_075,0.21491463636363636,0.2216693465,1.112736651
s1223_eppler61,0.2223748181818182,0.241172,1.111048
s1223_s1210,0.24143972727272728,0.248071,1.08049
