Configurazione,CL,Cd,Efficienza
naca4412_wortmannfx082-512_naso,-2.372053,0.249199,-9.518709946669128
naca4412_be092-075_naso,-2.103592,0.260638,-8.070933632087417
eppler398_wortmann_si_naso,-2.249881,0.279182,-8.058832589493592
Be_153_055_WortmannFx_082_512_Naso,-2.123880375,0.2848098566,-7.457187052282656
be183_056_wortmann_si_naso,-2.085331,0.297022,-7.020796439320993
be183_056_eppler61_si_naso,-2.107632,0.306761,-6.870599587300863
be183_056_be092_075_si_naso,-2.172926,0.324454,-6.697177411898142
be153-076_wortmannfx082-512_naso,-1.990111,0.332592,-5.983640616731611
be153-076_eppler61_naso,-2.01772,0.340548,-5.924921009666773
be153-076_be092-075_naso,-2.038804,0.350885,-5.810462117217892
be153-076_be123-076_naso,-2.09426,0.363884,-5.7552956436666625
Be_183_105_WortmannFx_082_512_Naso,-1.054553787,0.3639459805,-2.8975558008669915
Be_183_105_Eppler61_Naso,-1.074703,0.37117,-2.8954468302933964
Be_183_105_Be_092_075_Naso,-1.099209,0.381549,-2.880911757074452
Be_183_105_Be_123_076_Naso,-1.116166875,0.3903428634,-2.8594524958849292
Be_183_105_S1210_Naso,-1.120219,0.392542,-2.853755776451947
Be_183_105_GOE_431_Naso,-1.121596,0.393909,-2.8473479915411937
