"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.910033347,      -17.92705132,      -21.34425986,      -1.050437016,      -3.945220712,       1.139858744,       -4.14329545,      -2.058366849,          13,      -6.087323093,               5,      -6.582557729,                6,      -6.807886405,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2171599706,       1.016174732,      -1.349093428,                 0,                 0,                 0,      -2.504074113,       1.016174732,      -1.349093428,                 0,      -1.327619538,  -3.227477224e-05,    0.001786399403,                 0
          0,           0,           1,      -4.093183068,      -3.888719521,        -4.0393851,      -1.233586738,       -4.41837756,      0.6738546057,      -4.503043644,      0.1983467518,         100,      -5.360770075,               5,      -6.097695449,                5,      -6.807705896,    0.001152912957,      0.1044096825,              12.1,              12.1,              12.1,      0.2171599706,      0.9406251556,      -1.340994937,                 0,                 0,                 0,      -2.414037555,      0.9406251556,      -1.340994937,                 0,      -1.425642222,  -3.883212779e-06,    0.000204221499,                 0
          0,           0,           2,      -4.278291649,       -4.06575621,      -4.091829727,      -1.418695319,      -4.820691054,      0.2802439846,      -4.590619632,      0.3154718533,         100,      -5.846153696,               6,      -6.898210364,                5,      -6.856988549,    0.001167113428,      0.1051481671,             13.31,             13.31,             13.31,      0.2171599706,      0.7622738645,       -1.21275474,                 0,                 0,                 0,      -2.076244949,      0.7622738645,       -1.21275474,                 0,      -1.590969855,   -4.66748235e-06,   0.0001190788157,                 0
          0,           0,           3,      -4.424114733,      -4.176578168,      -4.138778082,        -1.5645184,       -5.14670569,    -0.03704869847,      -4.779892112,      0.3688945268,         100,      -5.499384156,               6,      -6.572422938,                5,      -6.942390676,    0.001167967512,      0.1046602368,            14.641,            14.641,            14.641,      0.2171599706,      0.6546123108,      -1.213153572,                 0,                 0,                 0,      -1.918823042,      0.6546123108,      -1.213153572,                 0,      -1.853239776,  -4.594043615e-06,   9.714238267e-05,                 0
          0,           0,           4,      -4.508970691,      -4.239009879,      -4.179654122,      -1.649374358,      -5.402859527,     -0.2859334745,      -4.930739252,      0.4010748588,         100,      -5.828551262,               6,      -6.291110259,                5,      -7.004261032,    0.001210376109,      0.1081216296,           16.1051,           16.1051,           16.1051,      0.2171599706,      0.6457412223,      -1.385900155,                 0,                 0,                 0,      -2.032649144,      0.6457412223,      -1.385900155,                 0,      -2.146216018,  -4.332908455e-06,   9.107735966e-05,                 0
          0,           0,           5,      -4.564935148,      -4.269042392,      -4.200142042,      -1.705338815,      -5.609013018,     -0.4870163993,      -5.003324933,      0.4298696591,         100,      -5.456730334,               6,      -6.054126178,                4,      -6.037783055,    0.001272454934,      0.1134118112,          17.71561,          17.71561,          17.71561,      0.2171599706,      0.6917245084,      -1.638165325,                 0,                 0,                 0,      -2.291301519,      0.6917245084,      -1.638165325,                 0,      -2.368233747,  -3.867427012e-06,   7.442092628e-05,                 0
          0,           0,           6,      -4.605318945,      -4.283270117,      -4.206846986,      -1.745722612,      -5.780435245,      -0.654827066,      -5.035882064,      0.4613285353,         100,      -5.627009833,               7,      -6.644488137,                4,      -6.069468839,     0.00136253724,      0.1212846297,         19.487171,         19.487171,         19.487171,      0.2171599706,      0.7490323455,      -1.878266914,                 0,                 0,                 0,      -2.563418095,      0.7490323455,      -1.878266914,                 0,      -2.507591195,  -4.166713654e-06,     6.2503387e-05,                 0
          0,           0,           7,      -4.637086527,      -4.288966954,       -4.20594131,      -1.777490194,      -5.929091189,       -0.80042507,      -5.039566414,      0.5257079488,         100,      -5.868684245,               7,      -6.414606611,                4,      -6.122980248,    0.001472135595,        0.13093068,        21.4358881,        21.4358881,        21.4358881,      0.2171599706,      0.8016064918,      -2.092404385,                 0,                 0,                 0,      -2.820348185,      0.8016064918,      -2.092404385,                 0,      -2.610263772,  -4.099187369e-06,   5.330757294e-05,                 0
          0,           0,           8,      -4.661484057,      -4.289640829,       -4.20382859,      -1.801887726,      -6.060776114,     -0.9305213184,      -5.027033935,      0.6176483109,         100,      -5.753786981,               7,       -6.19792542,                4,      -6.187473066,    0.001599916671,      0.1422165203,       23.57947691,       23.57947691,       23.57947691,      0.2171599706,      0.8515841405,      -2.311884677,                 0,                 0,                 0,      -3.093840929,      0.8515841405,      -2.311884677,                 0,      -2.714804759,  -4.002238593e-06,   5.120785142e-05,                 0
          0,           0,           9,      -4.678850515,      -4.287159374,       -4.20221052,      -1.819254185,      -6.177843808,      -1.049544731,      -4.997373505,      0.6121056627,         100,      -5.590758678,               8,      -7.003876187,                4,      -6.166015205,    0.001747507415,      0.1552858926,        25.9374246,        25.9374246,        25.9374246,      0.2171599706,      0.9026722617,      -2.560851425,                 0,                 0,                 0,      -3.410384474,      0.9026722617,      -2.560851425,                 0,      -2.836967008,  -3.692807953e-06,   5.227466942e-05,                 0
          0,           0,          10,      -4.691700893,      -4.282360855,      -4.200207518,      -1.832104561,      -6.279325859,      -1.160598455,      -4.958253289,      0.5748076026,         100,      -5.658617083,               8,      -6.779278208,                4,      -6.109926278,    0.001900562182,      0.1688001967,       28.53116706,       28.53116706,       28.53116706,      0.2171599706,      0.9566973287,      -2.846411549,                 0,                 0,                 0,       -3.78165776,      0.9566973287,      -2.846411549,                 0,      -2.975247723,  -3.207314962e-06,   5.143682106e-05,                 0
          0,           0,          11,      -4.702809714,      -4.276369419,      -4.198252712,       -1.84321338,      -6.359450283,      -1.265131839,      -4.931300867,      0.5246448369,         100,      -5.297927264,               8,      -6.360931809,                4,      -6.044767458,    0.002056432298,      0.1825102857,       31.38428377,       31.38428377,       31.38428377,      0.2171599706,       1.016778747,      -3.167547198,                 0,                 0,                 0,      -4.212414576,       1.016778747,      -3.167547198,                 0,      -3.115276757,  -3.184977651e-06,   4.453316691e-05,                 0
          0,           0,          12,      -4.713247817,      -4.269665669,      -4.197801238,      -1.853651485,      -6.407124279,      -1.364106032,      -4.908327583,      0.4689113995,         100,      -5.063064979,               9,      -6.044275289,                5,      -6.969508267,    0.002261167011,      0.2006772286,       34.52271214,       34.52271214,       34.52271214,      0.2171599706,       1.084489219,      -3.512508306,                 0,                 0,                 0,      -4.685866713,       1.084489219,      -3.512508306,                 0,      -3.238859588,  -3.359533446e-06,   3.929916262e-05,                 0
          0,           0,          13,      -4.725839739,      -4.259135311,      -4.196267829,      -1.866243405,       -6.40951612,        -1.4598801,      -4.886993573,      0.4163332011,         100,      -5.220538265,               9,      -6.079234989,                5,      -6.844638733,    0.002430413073,      0.2154813868,       37.97498336,       37.97498336,       37.97498336,      0.2171599706,       1.161439812,      -3.885566559,                 0,                 0,                 0,      -5.193294588,       1.161439812,      -3.885566559,                 0,      -3.345473886,  -2.843758808e-06,   3.495474068e-05,                 0
          0,           0,          14,      -4.745087684,      -4.243100431,      -4.193496886,      -1.885491352,      -6.367377849,      -1.551129447,      -4.864702358,       0.368597795,         100,      -5.185393235,               9,      -6.395947667,                5,      -6.848256875,    0.002504163171,      0.2214195679,       41.77248169,       41.77248169,       41.77248169,      0.2171599706,       1.241538614,      -4.287313616,                 0,                 0,                 0,      -5.711714383,       1.241538614,      -4.287313616,                 0,      -3.453226157,  -2.790240052e-06,   3.098018698e-05,                 0
          0,           0,          15,      -4.771848465,      -4.227754855,       -4.19849513,      -1.912252133,      -6.294347688,      -1.635145389,      -4.815473818,      0.3239946641,         100,      -5.202032276,              40,      -6.020196383,                5,      -6.873994404,    0.002614827412,      0.2307399884,       45.94972986,       45.94972986,       45.94972986,      0.2171599706,        1.30156885,      -4.664799134,                 0,                 0,                 0,      -6.149852409,        1.30156885,      -4.664799134,                 0,       -3.58398185,  -3.132353809e-06,   2.884061425e-05,                 0
          0,           0,          16,       -4.80056771,      -4.224210119,      -4.217153615,      -1.940971376,      -6.205552334,      -1.713555039,      -4.748808124,      0.2843566781,         100,      -4.937069174,               9,      -6.155156281,                5,      -6.894070579,     0.00277306826,      0.2443829239,       50.54470285,       50.54470285,       50.54470285,      0.2171599706,       1.323745509,        -4.9666157,                 0,                 0,                 0,      -6.438426578,       1.323745509,        -4.9666157,                 0,      -3.751941491,   -3.16583761e-06,   2.704424874e-05,                 0
          0,           0,          17,      -4.824813028,      -4.245880459,      -4.251254205,      -1.965216696,      -6.114649241,      -1.787693551,       -4.70490783,      0.2467681761,         100,      -4.892893074,             100,      -5.968901161,                5,      -6.908826504,    0.002948851772,       0.259583772,       55.59917313,       55.59917313,       55.59917313,      0.2171599706,       1.307868335,      -5.179034546,                 0,                 0,                 0,      -6.577173078,       1.307868335,      -5.179034546,                 0,      -3.959905142,  -2.923446189e-06,   2.678489534e-05,                 0
          0,           0,          18,      -4.852629077,      -4.293183919,      -4.289830938,      -1.993032745,      -6.030975053,      -1.859161198,      -4.710716758,      0.2153627282,         100,      -4.801057308,             100,      -5.919703465,                5,      -6.927724506,    0.003122750702,        0.27457127,       61.15909045,       61.15909045,       61.15909045,      0.2171599706,       1.267384391,      -5.319886202,                 0,                 0,                 0,      -6.616184791,       1.267384391,      -5.319886202,                 0,      -4.197531734,  -2.715136239e-06,   2.457697017e-05,                 0
          0,           0,          19,       -4.89998378,      -4.346685785,      -4.312514365,       -2.04038745,      -5.957745809,       -1.92997317,      -4.766952059,      0.1923646269,         100,      -4.961952247,              11,       -6.03588874,                5,      -6.947105386,    0.003325734139,      0.2921565605,       67.27499949,       67.27499949,       67.27499949,      0.2171599706,         1.2180189,      -5.410546794,                 0,                 0,                 0,      -6.608804899,         1.2180189,      -5.410546794,                 0,      -4.442087716,  -2.130983885e-06,   2.582423754e-05,                 0
          0,           0,          20,      -4.970591537,      -4.372490879,      -4.305140944,      -2.110995205,      -5.895333922,      -2.000921685,      -4.850020477,       0.172537649,         100,      -4.763617885,             100,      -5.986672806,                5,      -6.961405488,    0.003561365316,      0.3126369174,       74.00249944,       74.00249944,       74.00249944,      0.2171599706,       1.169622864,      -5.463935862,                 0,                 0,                 0,      -6.584688791,       1.169622864,      -5.463935862,                 0,      -4.671536467,   -1.81098245e-06,   2.864567285e-05,                 0
          0,           0,          21,      -5.043078224,       -4.37317752,       -4.28759699,      -2.183481894,      -5.842098339,      -2.070139691,      -4.923917794,      0.1471178037,         100,      -4.834884074,             100,      -5.731408957,                5,      -6.968006365,    0.003814781595,       0.334633203,       81.40274939,       81.40274939,       81.40274939,      0.2171599706,       1.124415539,      -5.486828272,                 0,                 0,                 0,       -6.55006039,       1.124415539,      -5.486828272,                 0,        -4.8797158,  -1.671700398e-06,   2.736189852e-05,                 0
          0,           0,          22,      -5.077757695,      -4.378098341,      -4.288378091,      -2.218161364,      -5.796907572,      -2.137997599,       -4.97490639,      0.1101152209,         100,      -4.695417953,              33,      -6.000641541,                5,      -6.960761964,    0.004098077566,      0.3592104853,       89.54302433,       89.54302433,       89.54302433,      0.2171599706,       1.081356268,      -5.488997918,                 0,                 0,                 0,      -6.505457619,       1.081356268,      -5.488997918,                 0,      -5.076030981,  -9.257693473e-07,   3.207762642e-05,                 0
          0,           0,          23,      -5.070343219,      -4.390093825,      -4.310429928,      -2.210746888,      -5.757269857,      -2.205232372,      -5.015557187,     0.06546576547,         100,      -4.521889516,             100,       -5.88143478,                5,      -6.948131669,    0.004421922947,      0.3873089984,       98.49732676,       98.49732676,       98.49732676,      0.2171599706,       1.042064038,      -5.489382954,                 0,                 0,                 0,      -6.462005668,       1.042064038,      -5.489382954,                 0,      -5.267798093,  -1.202099701e-06,    2.58042762e-05,                 0
