"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.914399242,      -17.92346615,      -21.34411633,       -1.05480291,      -3.945343159,       1.139736263,      -4.147149442,      -2.061407323,          13,      -6.195272611,               5,      -6.799060145,                5,      -6.577197625,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2167392974,      0.9136746528,      -1.361860769,                 0,                 0,                 0,      -2.550064792,      0.9136746528,      -1.361860769,                 0,       -1.49053141,   2.414558502e-05,    0.001403849948,                 0
          0,           0,           1,      -4.098590973,      -3.882785533,      -4.047837484,      -1.238994641,      -4.418499929,      0.6737321984,      -4.514888939,      0.1982239229,         100,      -5.386783237,               5,      -6.304479368,                5,       -7.02071327,    0.001106141054,     0.09990916558,              12.1,              12.1,              12.1,      0.2167392974,      0.8698807812,      -1.371472447,                 0,                 0,                 0,      -2.495617765,      0.8698807812,      -1.371472447,                 0,      -1.576621161,   2.842698054e-06,   0.0001472639485,                 0
          0,           0,           2,      -4.290511917,      -4.061984048,      -4.082807866,      -1.430915585,      -4.815017924,      0.2859726204,      -4.590266413,      0.3120191159,         100,      -5.282376921,               6,      -6.958634996,                5,      -7.025627574,    0.001155967587,      0.1040845619,             13.31,             13.31,             13.31,      0.2167392974,      0.7097138339,      -1.237855831,                 0,                 0,                 0,      -2.158002841,      0.7097138339,      -1.237855831,                 0,      -1.744161902,   1.169740551e-06,   0.0001106603153,                 0
          0,           0,           3,      -4.431718586,      -4.171617332,      -4.128049697,      -1.572122254,      -5.140461552,    -0.03076728278,      -4.788504182,      0.3669335786,         100,      -5.499605607,               6,      -6.664144445,                4,      -6.019733185,    0.001148249878,      0.1027994425,            14.641,            14.641,            14.641,      0.2167392974,       0.606881402,      -1.224205465,                 0,                 0,                 0,      -1.989832448,       0.606881402,      -1.224205465,                 0,      -2.017207086,    9.74521627e-07,   9.198493204e-05,                 0
          0,           0,           4,      -4.514530167,      -4.238816229,      -4.169916539,      -1.654933835,      -5.395097128,     -0.2781827578,      -4.933861728,      0.3981380287,         100,      -5.181508052,               6,      -6.398194661,                4,       -6.05482888,    0.001207977199,      0.1078964687,           16.1051,           16.1051,           16.1051,      0.2167392974,      0.5968813546,      -1.390131578,                 0,                 0,                 0,      -2.101019292,      0.5968813546,      -1.390131578,                 0,      -2.328991461,   5.980045043e-07,   7.931625179e-05,                 0
          0,           0,           5,      -4.568929146,      -4.271159783,      -4.192188073,      -1.709332813,      -5.602153025,     -0.4802182938,      -5.005227377,      0.4287101761,         100,      -5.154607674,               6,      -6.185740489,                4,      -6.094330938,    0.001273136565,        0.11347551,          17.71561,          17.71561,          17.71561,      0.2167392974,      0.6392403367,      -1.648968296,                 0,                 0,                 0,       -2.36892575,      0.6392403367,      -1.648968296,                 0,       -2.57957485,   1.065056833e-06,   6.841781848e-05,                 0
          0,           0,           6,      -4.607434511,      -4.287236465,      -4.201226146,       -1.74783818,      -5.774888861,     -0.6490693115,       -5.03822262,      0.4609036669,         100,      -5.201990893,               7,      -6.797579167,                4,      -6.130287644,    0.001356028543,      0.1206781038,         19.487171,         19.487171,         19.487171,      0.2167392974,      0.6934136302,       -1.90383674,                 0,                 0,                 0,      -2.658632511,      0.6934136302,       -1.90383674,                 0,        -2.7456004,   9.131442772e-07,   5.971760463e-05,                 0
          0,           0,           7,      -4.638726194,      -4.292779676,      -4.201610847,      -1.779129863,      -5.923888781,     -0.7948838091,      -5.041469196,      0.5222741346,         100,      -5.153068316,               7,      -6.600980351,                4,      -6.189135188,    0.001454426435,      0.1292837242,        21.4358881,        21.4358881,        21.4358881,      0.2167392974,      0.7451670264,      -2.131389047,                 0,                 0,                 0,      -2.933705256,      0.7451670264,      -2.131389047,                 0,      -2.860283629,   8.599406063e-07,   5.339540464e-05,                 0
          0,           0,           8,      -4.664586993,      -4.291957452,      -4.199380429,       -1.80499066,      -6.054973569,     -0.9244030685,      -5.027893767,      0.6149781491,         100,      -5.080307565,               7,      -6.407494183,                4,       -6.26821682,    0.001571932783,      0.1396175279,       23.57947691,       23.57947691,       23.57947691,      0.2167392974,      0.7975523849,      -2.361312448,                 0,                 0,                 0,      -3.224247348,      0.7975523849,      -2.361312448,                 0,      -2.960698874,   1.235749243e-06,   4.767191921e-05,                 0
          0,           0,           9,      -4.684258099,      -4.287457939,      -4.197087882,      -1.824661767,      -6.171790717,      -1.042423434,      -4.999178826,      0.6103026338,         100,      -4.996612994,               7,      -6.217502109,                4,       -6.23392003,    0.001707948283,      0.1516150513,        25.9374246,        25.9374246,        25.9374246,      0.2167392974,      0.8540397187,      -2.624478223,                 0,                 0,                 0,      -3.561173194,      0.8540397187,      -2.624478223,                 0,      -3.073016589,   1.116851834e-06,   4.541585549e-05,                 0
