"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.228917942,      -17.88806763,      -21.34407235,       -1.36932161,      -3.891318967,       1.193759668,      -4.467855705,       -2.38114768,          11,      -6.202127313,               5,      -6.915346287,                5,      -6.553281933,    0.001140630883,      0.1087282958,                11,                11,                11,      0.2170544235,       1.048341566,       -1.40133163,                 0,                 0,                 0,      -2.593959111,       1.048341566,       -1.40133163,                 0,      -1.336712838,   1.144857208e-06,    0.003626915223,                 0
          0,           0,           1,      -4.425165265,      -4.221634793,      -4.393167437,      -1.565568931,      -4.364961375,      0.7272457734,      -4.813655449,      0.2525925272,         100,      -5.893451834,               5,      -6.352808456,                5,        -7.0867247,    0.001138723889,      0.1079157254,              12.1,              12.1,              12.1,      0.2170544235,      0.9921634932,      -1.435978219,                 0,                 0,                 0,      -2.605038395,      0.9921634932,      -1.435978219,                 0,      -1.447320153,   3.411472467e-07,   0.0003120802108,                 0
          0,           0,           2,      -4.635445107,      -4.385828409,      -4.427121547,      -1.775848778,      -4.766444617,      0.3344581787,      -4.850469785,      0.3687259831,          14,      -6.054978697,               6,      -6.994758837,                4,      -6.017607217,    0.001152197598,      0.1086954856,             13.31,             13.31,             13.31,      0.2170544235,      0.8335753316,      -1.357537492,                 0,                 0,                 0,      -2.398164037,      0.8335753316,      -1.357537492,                 0,      -1.628572057,  -4.608928852e-07,   0.0002555715481,                 0
          0,           0,           3,      -4.803148226,      -4.492683636,      -4.481773073,      -1.943551895,      -5.092256612,     0.01736957355,      -5.019321066,      0.4215675182,         100,      -5.844081711,               6,      -6.627706329,                4,      -6.080806948,    0.001138007664,       0.106787148,            14.641,            14.641,            14.641,      0.2170544235,      0.7260552331,      -1.354528879,                 0,                 0,                 0,      -2.320820032,      0.7260552331,      -1.354528879,                 0,      -1.865600325,  -1.127796775e-06,    0.000258460152,                 0
          0,           0,           4,      -4.917718357,      -4.559743424,      -4.538705488,      -2.058122023,      -5.347353673,     -0.2302759091,      -5.167259342,      0.4514291313,         100,      -5.871920455,               6,      -6.327924226,                4,      -6.119945585,    0.001185256323,      0.1109455692,           16.1051,           16.1051,           16.1051,      0.2170544235,      0.6779562788,       -1.42747099,                 0,                 0,                 0,      -2.378570996,      0.6779562788,       -1.42747099,                 0,      -2.105550217,   -1.34844395e-06,   0.0002119552563,                 0
          0,           0,           5,       -4.98545648,      -4.600145129,      -4.589380533,      -2.125860145,      -5.554994003,      -0.431999575,      -5.245632011,      0.4797898947,         100,        -5.9575869,               6,      -6.060777654,                4,      -6.143375836,     0.00127358035,      0.1190915248,          17.71561,          17.71561,          17.71561,      0.2170544235,      0.6493293206,      -1.504858576,                 0,                 0,                 0,      -2.451245109,      0.6493293206,      -1.504858576,                 0,      -2.317558331,  -1.463200896e-06,   0.0001896321398,                 0
          0,           0,           6,      -5.026269582,      -4.633917444,        -4.6333256,      -2.166673245,      -5.731578946,     -0.6037838763,      -5.284656523,      0.5144532969,          19,      -6.075340565,               7,      -6.670278535,                4,      -6.161070787,    0.001387823086,      0.1297220433,         19.487171,         19.487171,         19.487171,      0.2170544235,      0.6231252392,      -1.548882459,                 0,                 0,                 0,      -2.478064248,      0.6231252392,      -1.548882459,                 0,      -2.485667987,  -1.821512083e-06,   0.0001644560321,                 0
          0,           0,           7,      -5.055095204,      -4.671709485,      -4.672820107,       -2.19549887,      -5.886740511,     -0.7550982193,      -5.320465796,      0.5819392488,          73,      -6.001953012,               7,      -6.417287548,                4,      -6.201696483,     0.00152354224,      0.1423957609,        21.4358881,        21.4358881,        21.4358881,      0.2170544235,      0.6048564783,      -1.572070636,                 0,                 0,                 0,      -2.476718234,      0.6048564783,      -1.572070636,                 0,       -2.59908043,  -1.772466714e-06,    0.000146015572,                 0
          0,           0,           8,      -5.076288723,      -4.710542168,      -4.705130422,      -2.216692391,      -6.026655808,     -0.8919386182,      -5.359331185,      0.6787328726,          21,      -6.027400683,               7,      -6.179849261,                4,      -6.261003979,    0.001679206915,      0.1569579208,       23.57947691,       23.57947691,       23.57947691,      0.2170544235,      0.6019668181,      -1.613039275,                 0,                 0,                 0,      -2.496577513,      0.6019668181,      -1.613039275,                 0,      -2.679614933,  -2.110145316e-06,   0.0001224025935,                 0
          0,           0,           9,      -5.096298174,       -4.73643879,      -4.727060109,      -2.236701845,      -6.154696766,      -1.018249294,      -5.395983123,      0.6756995672,         100,      -5.963846186,               8,      -6.047693828,                4,      -6.183071439,      0.0018508301,      0.1730145603,        25.9374246,        25.9374246,        25.9374246,      0.2170544235,      0.6140951123,      -1.706903452,                 0,                 0,                 0,      -2.576709671,      0.6140951123,      -1.706903452,                 0,       -2.77954248,  -1.832436224e-06,   0.0001079491256,                 0
