"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.248263416,      -17.87655601,      -21.34279389,      -1.388667084,      -3.891920378,       1.193158275,      -4.485516196,      -2.399358805,           9,      -6.084941328,               5,      -6.742235292,                5,      -6.848349707,    0.001140630883,      0.1080463261,                11,                11,                11,      0.2167220444,      0.9421533443,      -1.360066799,                 0,                 0,                 0,      -2.570408224,      0.9421533443,      -1.360066799,                 0,      -1.443572649,   2.138913762e-05,     0.00184811859,                 0
          0,           0,           1,      -4.445896585,      -4.224330948,      -4.396142655,      -1.586300256,      -4.365382487,      0.7268305184,      -4.823811577,      0.2518056946,         100,      -5.339608185,               5,       -6.27535327,                4,      -6.013350711,    0.001168894668,      0.1102525076,              12.1,              12.1,              12.1,      0.2167220444,      0.9021537663,      -1.380373098,                 0,                 0,                 0,      -2.551242639,      0.9021537663,      -1.380373098,                 0,      -1.530086278,   2.161721879e-06,   0.0001713275344,                 0
          0,           0,           2,      -4.648028068,       -4.39408417,      -4.450630379,      -1.788431738,      -4.770313804,      0.3305582432,      -4.863163315,      0.3700194231,          75,      -6.044991517,               6,       -7.05350644,                4,      -6.056210393,    0.001153243073,      0.1081301171,             13.31,             13.31,             13.31,      0.2167220444,      0.7664593346,      -1.317114216,                 0,                 0,                 0,       -2.36403685,      0.7664593346,      -1.317114216,                 0,      -1.718439787,   2.578459767e-06,   0.0001298953923,                 0
          0,           0,           3,       -4.81305605,      -4.507194263,      -4.499099219,      -1.953459718,      -5.095554634,     0.01404090569,      -5.030781067,      0.4213016188,          16,      -6.094435003,               6,      -6.734699474,                4,       -6.12093888,    0.001149724136,      0.1072807545,            14.641,            14.641,            14.641,      0.2167220444,       0.675870542,      -1.327103373,                 0,                 0,                 0,      -2.307613053,       0.675870542,      -1.327103373,                 0,      -1.963546701,   2.074115448e-06,   0.0001112114653,                 0
          0,           0,           4,      -4.928518716,      -4.575695176,      -4.551892226,      -2.068922382,      -5.351578303,     -0.2345195848,      -5.192215782,      0.4520623162,          33,      -6.008914267,               6,      -6.467282069,                4,      -6.176910733,    0.001174472586,      0.1092268005,           16.1051,           16.1051,           16.1051,      0.2167220444,      0.6387921244,      -1.405959961,                 0,                 0,                 0,      -2.375441029,      0.6387921244,      -1.405959961,                 0,      -2.200966335,   1.733300581e-06,   0.0001035288262,                 0
          0,           0,           5,      -5.002577903,      -4.614375159,      -4.597304133,      -2.142981572,      -5.557302483,     -0.4343443971,      -5.274823646,      0.4777095628,         100,      -5.518474697,               6,       -6.22309593,                4,      -6.212570296,    0.001240177247,      0.1151384211,          17.71561,          17.71561,          17.71561,      0.2167220444,      0.6206656093,      -1.489304622,                 0,                 0,                 0,      -2.456420582,      0.6206656093,      -1.489304622,                 0,      -2.399528184,   1.288453758e-06,   0.0001005651612,                 0
          0,           0,           6,      -5.048531087,      -4.643504723,        -4.6344774,      -2.188934756,      -5.730324274,     -0.6025761127,      -5.315281659,      0.5083980014,          55,      -6.013002592,               7,      -6.854331213,                4,      -6.236408973,    0.001338310941,      0.1241517863,         19.487171,         19.487171,         19.487171,      0.2167220444,      0.6041166669,      -1.542823252,                 0,                 0,                 0,      -2.494237863,      0.6041166669,      -1.542823252,                 0,      -2.553849837,   1.377086575e-06,   9.129434809e-05,                 0
          0,           0,           7,      -5.080482187,      -4.673700374,      -4.667989195,      -2.220885856,      -5.881612259,     -0.7500457684,       -5.34457453,      0.5693725069,          20,        -6.0349927,               7,      -6.619307597,                4,      -6.277169106,    0.001458733422,      0.1352731446,        21.4358881,        21.4358881,        21.4358881,      0.2167220444,      0.5923419331,      -1.576183638,                 0,                 0,                 0,       -2.50305118,      0.5923419331,      -1.576183638,                 0,      -2.660935432,   1.465817643e-06,   9.322406736e-05,                 0
          0,           0,           8,      -5.103686799,      -4.705076604,      -4.696068022,      -2.244090467,      -6.017332837,     -0.8830649388,      -5.379692047,      0.6673116173,         100,      -5.778893971,               7,      -6.397020746,                4,      -6.331580058,    0.001595409068,      0.1479134892,       23.57947691,       23.57947691,       23.57947691,      0.2167220444,      0.5920433707,      -1.623154737,                 0,                 0,                 0,      -2.526868512,      0.5920433707,      -1.623154737,                 0,       -2.74161458,   1.532156029e-06,   8.833271672e-05,                 0
          0,           0,           9,      -5.123019315,      -4.727228172,      -4.716499137,      -2.263422983,      -6.140896239,      -1.005465177,      -5.414444086,       0.667560404,         100,      -5.912169327,               8,      -6.090214161,                4,      -6.299952128,    0.001747061001,       0.161944385,        25.9374246,        25.9374246,        25.9374246,      0.2167220444,      0.6039240843,      -1.717199253,                 0,                 0,                 0,      -2.603338522,      0.6039240843,      -1.717199253,                 0,      -2.843402502,   1.596230274e-06,   9.118348695e-05,                 0
