"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.247889551,      -17.86776554,      -21.34257606,      -1.388293219,      -3.892410389,       1.192668247,      -4.475420639,      -2.389544526,          13,      -6.388772587,               5,      -6.804653197,                5,       -6.72318853,    0.001140630883,      0.1074057346,                11,                11,                11,      0.2169924176,       0.959326736,      -1.345066454,                 0,                 0,                 0,      -2.566400729,       0.959326736,      -1.345066454,                 0,      -1.402094202,  -3.209807311e-05,    0.006024185812,                 0
          0,           0,           1,        -4.4329189,      -4.235864556,      -4.386996827,      -1.573322566,      -4.365678854,      0.7265421185,      -4.818223151,      0.2510967023,          14,      -6.002538244,               5,      -6.272241718,                5,      -7.002777946,    0.001186517427,      0.1113539688,              12.1,              12.1,              12.1,      0.2169924176,      0.9016952747,       -1.38107502,                 0,                 0,                 0,      -2.552219027,      0.9016952747,       -1.38107502,                 0,      -1.531642739,  -4.413191562e-06,   0.0005372743723,                 0
          0,           0,           2,      -4.637205574,      -4.403690762,      -4.450531983,       -1.77760924,      -4.772514587,      0.3283432177,      -4.855113599,      0.3704855559,          15,      -6.064454342,               6,      -6.932765492,                5,      -7.052749882,    0.001175426312,      0.1096802663,             13.31,             13.31,             13.31,      0.2169924176,      0.7619487273,      -1.330421425,                 0,                 0,                 0,      -2.380696759,      0.7619487273,      -1.330421425,                 0,      -1.746077363,  -2.595966941e-06,   0.0003486956879,                 0
          0,           0,           3,      -4.805703421,       -4.50891828,      -4.503585708,      -1.946107089,      -5.100252491,    0.009347268137,      -5.024820857,      0.4227878284,          16,      -6.264302102,               6,      -6.631305493,                5,      -7.149799981,    0.001165736413,      0.1082226333,            14.641,            14.641,            14.641,      0.2169924176,      0.6728304971,       -1.34788817,                 0,                 0,                 0,      -2.339372418,      0.6728304971,       -1.34788817,                 0,      -2.003310159,  -2.114164871e-06,   0.0002941094131,                 0
          0,           0,           4,      -4.921699624,      -4.577491528,      -4.554871479,      -2.062103291,      -5.357508953,     -0.2404329741,      -5.170982708,      0.4535318102,         100,      -5.929481115,               6,      -6.344878693,                4,      -6.033158237,    0.001224359755,      0.1134260442,           16.1051,           16.1051,           16.1051,      0.2169924176,      0.6374117175,      -1.422337154,                 0,                 0,                 0,      -2.406537658,      0.6374117175,      -1.422337154,                 0,      -2.231426117,  -1.733653301e-06,   0.0002312068769,                 0
          0,           0,           5,      -4.992605519,      -4.618106663,      -4.600210276,      -2.133009186,      -5.567993915,     -0.4448833916,      -5.265847672,        0.48399095,          18,      -6.116053722,               6,      -6.096734983,                4,       -6.06852721,    0.001300847612,       0.120329619,          17.71561,          17.71561,          17.71561,      0.2169924176,      0.6183928395,      -1.496051512,                 0,                 0,                 0,      -2.476780017,      0.6183928395,      -1.496051512,                 0,      -2.419257496,  -1.214015052e-06,   0.0001811060083,                 0
          0,           0,           6,      -5.035391924,      -4.648626634,      -4.639106762,      -2.175795592,      -5.745252422,     -0.6173201658,      -5.322101215,       0.517946957,         100,      -5.975383424,               7,      -6.716914573,                4,      -6.100707404,    0.001392779895,      0.1286864607,         19.487171,         19.487171,         19.487171,      0.2169924176,      0.6006493595,      -1.541844625,                 0,                 0,                 0,      -2.504937807,      0.6006493595,      -1.541844625,                 0,      -2.566962906,   -1.17146422e-06,   0.0001469348269,                 0
          0,           0,           7,      -5.069073549,      -4.677949892,       -4.67225978,      -2.209477218,      -5.898862126,     -0.7671301627,      -5.340773567,      0.5862096067,          37,      -6.011423738,               7,      -6.483457082,                4,      -6.152629194,    0.001512634736,      0.1396867423,        21.4358881,        21.4358881,        21.4358881,      0.2169924176,      0.5889948613,      -1.570985892,                 0,                 0,                 0,      -2.509758745,      0.5889948613,      -1.570985892,                 0,      -2.667231915,  -8.444766386e-07,   0.0001280485495,                 0
          0,           0,           8,      -5.096076066,      -4.706899112,       -4.69916517,      -2.236479733,      -6.036071176,     -0.9016412623,      -5.369962525,      0.6762291942,          22,      -6.056121107,               7,      -6.258836282,                4,      -6.205255291,    0.001653434868,       0.152649711,       23.57947691,       23.57947691,       23.57947691,      0.2169924176,      0.5903260001,      -1.617198655,                 0,                 0,                 0,      -2.536254918,      0.5903260001,      -1.617198655,                 0,      -2.739500979,  -7.036877205e-07,   0.0001122762586,                 0
          0,           0,           9,      -5.116372036,      -4.727651458,      -4.719422086,      -2.256775703,      -6.160573866,      -1.025231312,      -5.411211133,      0.6689636859,         100,      -5.873689392,             100,      -5.836110888,                4,      -6.175947681,    0.001809507336,      0.1670239963,        25.9374246,        25.9374246,        25.9374246,      0.2169924176,      0.6046678737,      -1.713796829,                 0,                 0,                 0,       -2.62111123,      0.6046678737,      -1.713796829,                 0,      -2.834277962,  -6.245522616e-07,    0.000107417554,                 0
