"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.908220486,      -17.91864168,      -21.34363859,      -1.048624155,       -3.94516853,       1.139910876,      -4.140645395,       -2.05464321,          14,      -6.023673123,               5,      -6.818326375,                6,      -7.057840123,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2174999462,       1.088528344,      -1.393863275,                 0,                 0,                 0,      -2.622824782,       1.088528344,      -1.393863275,                 0,      -1.280502509,    8.62515126e-05,    0.005916864374,                 0
          0,           0,           1,      -4.092412214,      -3.876886616,       -4.04326521,      -1.232815882,      -4.418325781,      0.6739064456,      -4.511944276,      0.1983989068,         100,      -5.261672958,               5,       -6.44478188,                4,       -6.35452156,    0.001103185852,      0.0996256071,              12.1,              12.1,              12.1,      0.2174999462,       1.018270257,      -1.417823895,                 0,                 0,                 0,      -2.567653508,       1.018270257,      -1.417823895,                 0,      -1.392384669,   6.055335836e-06,   0.0005221637464,                 0
          0,           0,           2,       -4.28438371,      -4.055385045,      -4.078197449,      -1.424787379,      -4.814468978,       0.286525304,      -4.589003315,       0.311977416,         100,      -5.300077668,               5,      -6.068976356,                4,      -6.354041974,    0.001145174029,      0.1030557305,             13.31,             13.31,             13.31,      0.2174999462,       0.834302707,      -1.298830697,                 0,                 0,                 0,      -2.221660572,       0.834302707,      -1.298830697,                 0,      -1.556785908,   4.406771249e-06,   0.0003971677826,                 0
          0,           0,           3,      -4.425369525,      -4.158407972,      -4.124934382,      -1.565773193,      -5.138550569,    -0.02885740733,      -4.790091519,      0.3660449485,         100,      -5.063430188,               6,      -6.739234595,                4,      -6.459082642,    0.001114493317,     0.09962163892,            14.641,            14.641,            14.641,      0.2174999462,      0.7323844334,       -1.30192785,                 0,                 0,                 0,       -2.05472187,      0.7323844334,       -1.30192785,                 0,      -1.777656365,   4.273170593e-06,   0.0002854511228,                 0
          0,           0,           4,      -4.510525934,      -4.216276455,      -4.163156142,      -1.650929603,      -5.389103095,     -0.2722595394,      -4.937319723,       0.394015456,         100,      -5.191779307,               6,       -6.53040017,                4,       -6.54533002,    0.001136573945,      0.1012152883,           16.1051,           16.1051,           16.1051,      0.2174999462,      0.7484689499,      -1.472227307,                 0,                 0,                 0,      -2.174564821,      0.7484689499,      -1.472227307,                 0,      -1.966985147,   4.227633194e-06,   0.0002187710583,                 0
          0,           0,           5,      -4.569355187,      -4.241748139,      -4.178740864,      -1.709758856,      -5.589077669,     -0.4672272096,      -5.002393584,      0.4181425979,         100,      -5.257306569,               6,      -6.310743545,                4,      -6.612613198,    0.001206168921,       0.107233115,          17.71561,          17.71561,          17.71561,      0.2174999462,      0.8230041773,      -1.709185575,                 0,                 0,                 0,      -2.438120137,      0.8230041773,      -1.709185575,                 0,      -2.076764156,   4.031445734e-06,   0.0001834087367,                 0
          0,           0,           6,      -4.610962056,      -4.251439042,      -4.182443407,      -1.751365725,      -5.756694125,     -0.6316665104,      -5.033765007,      0.4486329377,         100,      -4.996090291,               6,      -6.113962634,                4,      -6.688184172,    0.001289243905,      0.1144703778,         19.487171,         19.487171,         19.487171,      0.2174999462,      0.8999621648,      -1.926261018,                 0,                 0,                 0,      -2.703490132,      0.8999621648,      -1.926261018,                 0,          -2.14038,    3.44717809e-06,   0.0001530778304,                 0
          0,           0,           7,      -4.642940762,      -4.254417805,      -4.179908749,       -1.78334443,      -5.902559601,     -0.7745086227,      -5.037005502,      0.4997456338,         100,      -4.873888194,               7,      -6.736194875,                4,      -6.776254198,    0.001388750408,      0.1231917952,        21.4358881,        21.4358881,        21.4358881,      0.2174999462,      0.9612307883,      -2.109392392,                 0,                 0,                 0,      -2.935704289,      0.9612307883,      -2.109392392,                 0,      -2.194470275,   3.235562029e-06,   0.0001344678831,                 0
          0,           0,           8,      -4.667430872,      -4.253879694,      -4.176411026,      -1.807834541,      -6.031613358,     -0.9021095509,       -5.02391546,      0.6023626985,         100,      -4.993191796,               7,      -6.529138149,                4,      -6.900236163,    0.001507025451,      0.1336052248,       23.57947691,       23.57947691,       23.57947691,      0.2174999462,       1.010962751,      -2.286347184,                 0,                 0,                 0,      -3.165359073,       1.010962751,      -2.286347184,                 0,      -2.261554328,   3.464318445e-06,   0.0001239183839,                 0
          0,           0,           9,      -4.685096505,      -4.250435465,       -4.17293054,      -1.825500176,      -6.146070923,      -1.018923576,      -4.999556421,      0.6083799811,         100,      -4.888729056,               7,      -6.356767308,                4,      -6.941215196,    0.001609672364,      0.1425281431,        25.9374246,        25.9374246,        25.9374246,      0.2174999462,       1.056764046,      -2.490562181,                 0,                 0,                 0,      -3.434372795,       1.056764046,      -2.490562181,                 0,      -2.356781714,   3.094491516e-06,   0.0001109588727,                 0
