"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.206532989,      -17.86491232,      -21.34305525,      -1.346936657,      -3.891450083,       1.193628563,      -4.441057881,      -2.354785072,          10,      -6.334257356,               5,      -6.985019522,                5,      -6.451917845,    0.001140630883,      0.1042457552,                11,                11,                11,       0.217874044,       1.166696774,      -1.391005009,                 0,                 0,                 0,      -2.633670727,       1.166696774,      -1.391005009,                 0,       -1.19225924,  -6.219083896e-05,    0.003340533387,                 0
          0,           0,           1,      -4.398698171,      -4.208824095,       -4.36439356,      -1.539101837,      -4.364943348,       0.727269767,      -4.799678492,      0.2522588789,         100,      -5.555849518,               5,      -6.478628738,                4,      -6.132075331,    0.001161601819,      0.1056485848,              12.1,              12.1,              12.1,       0.217874044,        1.10227027,      -1.441703507,                 0,                 0,                 0,      -2.660848663,        1.10227027,      -1.441703507,                 0,      -1.307940118,  -4.453955395e-06,   0.0002540613322,                 0
          0,           0,           2,       -4.59541769,      -4.371597601,      -4.411877821,      -1.735821356,      -4.769066229,      0.3318166707,      -4.831476529,      0.3699398104,         100,      -5.499694063,               5,      -6.086906773,                4,      -6.164464873,    0.001167755555,      0.1056589642,             13.31,             13.31,             13.31,       0.217874044,      0.9356685006,      -1.398311627,                 0,                 0,                 0,      -2.503388588,      0.9356685006,      -1.398311627,                 0,      -1.494451963,  -1.802898535e-06,   0.0001704528566,                 0
          0,           0,           3,       -4.76319551,      -4.474841229,      -4.462855386,      -1.903599178,      -5.096427584,      0.0132059194,       -4.99337895,      0.4229316895,         100,      -5.933552178,               6,      -6.933537588,                4,      -6.227422374,    0.001163765671,       0.104757237,            14.641,            14.641,            14.641,       0.217874044,      0.8284322376,      -1.430528887,                 0,                 0,                 0,      -2.480520072,      0.8284322376,      -1.430528887,                 0,      -1.726790462,  -1.115117188e-06,   0.0001485411929,                 0
          0,           0,           4,      -4.877715211,      -4.538051057,      -4.514776625,      -2.018118875,      -5.354144313,     -0.2369648095,      -5.132324417,      0.4544917191,         100,      -5.405259004,               6,      -6.626872241,                4,      -6.261050584,    0.001228685478,      0.1103814803,           16.1051,           16.1051,           16.1051,       0.217874044,      0.7835173377,      -1.521084773,                 0,                 0,                 0,      -2.569826229,      0.7835173377,      -1.521084773,                 0,      -1.941354326,  -8.824432726e-07,   0.0001183195556,                 0
          0,           0,           5,      -4.947952633,      -4.574664764,       -4.55917552,      -2.088356299,      -5.565665393,     -0.4424197106,      -5.219128807,      0.4861197421,         100,      -5.480690602,               6,      -6.368621767,                4,      -6.288938319,    0.001315391491,      0.1180212068,          17.71561,          17.71561,          17.71561,       0.217874044,      0.7565206323,      -1.603746767,                 0,                 0,                 0,      -2.656021771,      0.7565206323,      -1.603746767,                 0,      -2.119898253,  -1.160446633e-06,   9.860969903e-05,                 0
          0,           0,           6,      -4.988669654,      -4.604119576,      -4.601859372,      -2.129073322,       -5.74471584,     -0.6165602172,      -5.267677298,      0.5218990034,         100,      -5.213628092,               6,      -6.143404822,                4,      -6.314261887,    0.001419003541,      0.1272044952,         19.487171,         19.487171,         19.487171,       0.217874044,      0.7303955564,      -1.652642658,                 0,                 0,                 0,       -2.69331278,      0.7303955564,      -1.652642658,                 0,      -2.262668008,  -8.959107449e-07,   8.773684861e-05,                 0
          0,           0,           7,      -5.014359035,      -4.636958861,      -4.642295823,      -2.154762703,      -5.900783733,     -0.7685424567,      -5.296152753,      0.5943870897,         100,      -5.364975325,               7,      -6.789583238,                4,      -6.364962981,    0.001548836556,      0.1387947434,        21.4358881,        21.4358881,        21.4358881,       0.217874044,      0.7114471227,      -1.685114329,                 0,                 0,                 0,      -2.704928856,      0.7114471227,      -1.685114329,                 0,      -2.368572836,  -4.477365916e-07,   8.157384604e-05,                 0
          0,           0,           8,      -5.033024235,       -4.67126812,      -4.674279365,      -2.173427906,      -6.040895758,     -0.9053118054,      -5.331236002,      0.6829347944,         100,      -5.244991259,               7,      -6.546377601,                4,      -6.413118876,    0.001704267223,      0.1527254326,       23.57947691,       23.57947691,       23.57947691,       0.217874044,      0.7073799647,      -1.738310695,                 0,                 0,                 0,      -2.737971922,      0.7073799647,      -1.738310695,                 0,      -2.457393172,  -8.181970207e-07,   7.796438281e-05,                 0
          0,           0,           9,      -5.051825138,      -4.695280604,      -4.695500262,      -2.192228807,      -6.169193882,      -1.031418857,      -5.365552223,      0.6743236538,         100,      -5.189237574,               7,      -6.291646454,                4,      -6.326707342,    0.001888535041,      0.1692943182,        25.9374246,        25.9374246,        25.9374246,       0.217874044,      0.7174804159,      -1.843557066,                 0,                 0,                 0,      -2.827059476,      0.7174804159,      -1.843557066,                 0,      -2.569487648,  -4.126474773e-07,   7.560989892e-05,                 0
