"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.904976176,      -17.92204995,      -21.34397522,      -1.045379844,       -3.94506549,       1.140013929,      -4.136261774,      -2.050439699,          14,      -6.046946123,               4,      -6.160828182,                6,      -7.028451025,    0.001140630883,      0.1038965785,                11,                11,                11,       0.217874044,        1.15722483,      -1.368234973,                 0,                 0,                 0,      -2.608986357,        1.15722483,      -1.368234973,                 0,      -1.182341527,   0.0001218900831,    0.004442611659,                 0
          0,           0,           1,      -4.088107696,       -3.87416038,      -4.042304536,      -1.228511364,       -4.41822238,      0.6740097673,       -4.50852471,      0.1985018285,         100,      -5.347801888,               5,        -6.7062075,                4,      -6.687611567,    0.001103185902,      0.0996256119,              12.1,              12.1,              12.1,       0.217874044,       1.096479104,      -1.419691447,                 0,                 0,                 0,      -2.593868298,       1.096479104,      -1.419691447,                 0,      -1.294772917,   1.424558063e-05,   0.0004423547655,                 0
          0,           0,           2,      -4.280198743,      -4.053812635,      -4.076569465,      -1.420602411,      -4.814365216,      0.2866289989,      -4.581845906,      0.3120805145,         100,      -5.329472717,               5,      -6.312079755,                4,      -6.689450552,    0.001158578155,      0.1043335696,             13.31,             13.31,             13.31,       0.217874044,      0.9143579483,      -1.344649117,                 0,                 0,                 0,      -2.311025571,      0.9143579483,      -1.344649117,                 0,      -1.470593786,   1.240424349e-05,   0.0003988020894,                 0
          0,           0,           3,      -4.419820077,      -4.161792728,      -4.125792907,      -1.560223747,      -5.140221528,     -0.0305139442,      -4.777711083,      0.3674019909,         100,      -5.385089353,               5,      -6.063721867,                4,      -6.784460551,    0.001160716409,        0.10397554,            14.641,            14.641,            14.641,       0.217874044,      0.8033384794,      -1.373160717,                 0,                 0,                 0,      -2.176528674,      0.8033384794,      -1.373160717,                 0,      -1.709317743,   1.066830845e-05,   0.0003363256106,                 0
          0,           0,           4,      -4.502289178,      -4.221152182,      -4.168519789,      -1.642692846,      -5.396487231,     -0.2794966519,      -4.930635295,      0.3999263943,         100,      -5.253575761,               6,      -6.988130841,                4,      -6.890171079,    0.001173922789,      0.1047050183,           16.1051,           16.1051,           16.1051,       0.217874044,      0.8021596128,      -1.560321728,                 0,                 0,                 0,       -2.30855107,      0.8021596128,      -1.560321728,                 0,      -1.945151193,   8.954426562e-06,    0.000279393255,                 0
          0,           0,           5,      -4.561253992,      -4.247218943,      -4.187606812,      -1.701657659,      -5.599585071,     -0.4774639714,      -5.001191291,      0.4247610644,         100,      -5.471610257,               6,      -6.783244357,                4,      -6.966416345,    0.001228155241,      0.1092790664,          17.71561,          17.71561,          17.71561,       0.217874044,      0.8644629907,      -1.826375953,                 0,                 0,                 0,      -2.601106037,      0.8644629907,      -1.826375953,                 0,      -2.112728911,   8.088654855e-06,   0.0002337244787,                 0
          0,           0,           6,      -4.604455826,      -4.258049893,       -4.19255629,      -1.744859493,      -5.767611526,     -0.6424137002,      -5.033363981,       0.453737456,         100,      -5.087738301,               6,      -6.566376812,                4,      -7.019558792,    0.001313282053,      0.1167014602,         19.487171,         19.487171,         19.487171,       0.217874044,      0.9378739672,      -2.086448995,                 0,                 0,                 0,      -2.919529934,      0.9378739672,      -2.086448995,                 0,      -2.224658182,   7.976690941e-06,   0.0002025318138,                 0
          0,           0,           7,      -4.637323018,      -4.262956819,      -4.189983062,      -1.777726686,      -5.913749063,     -0.7856908134,      -5.037428054,      0.5099849476,         100,      -4.926337745,               6,      -6.345098535,                4,      -7.083612703,     0.00141758672,      0.1258634829,        21.4358881,        21.4358881,        21.4358881,       0.217874044,       1.004149472,      -2.326968473,                 0,                 0,                 0,      -3.228010284,       1.004149472,      -2.326968473,                 0,      -2.317352683,   6.965564688e-06,    0.000164237523,                 0
          0,           0,           8,      -4.661490279,      -4.264410406,       -4.18642218,      -1.801893949,      -6.043266788,     -0.9138574306,      -5.025265017,      0.6083904912,         100,      -5.171446211,               6,      -6.121572281,                4,      -7.179734353,    0.001535827951,      0.1362704283,       23.57947691,       23.57947691,       23.57947691,       0.217874044,        1.06675071,      -2.577472576,                 0,                 0,                 0,      -3.556520543,        1.06675071,      -2.577472576,                 0,      -2.416190165,   6.883099971e-06,   0.0001397925524,                 0
          0,           0,           9,      -4.679217756,      -4.261114487,      -4.182127942,      -1.819621425,      -6.157257353,      -1.030994067,        -5.0038033,      0.6089755782,         100,      -5.096940972,               7,      -6.795593439,                4,      -7.199265064,    0.001618991857,      0.1433878719,        25.9374246,        25.9374246,        25.9374246,       0.217874044,       1.133865218,      -2.880353442,                 0,                 0,                 0,      -3.955913756,       1.133865218,      -2.880353442,                 0,      -2.540296145,   6.695801453e-06,   0.0001241722835,                 0
