"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.908381069,      -17.91806659,      -21.34383524,      -1.048784737,      -3.945229912,       1.139849501,      -4.141964428,      -2.056007054,          13,       -6.07189524,               4,      -6.000299753,                5,      -6.323362101,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2178530633,       1.076678617,      -1.347718493,                 0,                 0,                 0,      -2.517347925,       1.076678617,      -1.347718493,                 0,      -1.251737028,   1.247732788e-05,    0.002503812656,                 0
          0,           0,           1,      -4.093240861,      -3.877557859,      -4.044715198,      -1.233644529,      -4.418387397,      0.6738448588,      -4.509041398,      0.1983374861,         100,      -5.176858521,               5,      -6.585477265,                4,      -6.301291509,    0.001103185961,     0.09962561758,              12.1,              12.1,              12.1,      0.2178530633,       0.993809174,       -1.34659063,                 0,                 0,                 0,      -2.422917614,       0.993809174,       -1.34659063,                 0,       -1.35497907,   3.752384614e-06,    0.000209308101,                 0
          0,           0,           2,      -4.284695199,      -4.059446218,       -4.08013137,      -1.425098866,      -4.814530807,       0.286463161,      -4.583289811,      0.3119161508,         100,      -5.336152979,               5,      -6.128418385,                4,      -6.304205038,    0.001168811289,      0.1053102942,             13.31,             13.31,             13.31,      0.2178530633,      0.7923863249,      -1.212355918,                 0,                 0,                 0,      -2.050909403,      0.7923863249,      -1.212355918,                 0,       -1.53000611,   2.822874378e-06,   0.0001515851632,                 0
          0,           0,           3,      -4.422391099,      -4.168420104,      -4.132369162,      -1.562794766,      -5.141718617,    -0.03201336531,      -4.785501988,      0.3681850754,         100,      -5.205498287,               6,      -6.776638208,                4,      -6.381565635,    0.001158006219,       0.103719744,            14.641,            14.641,            14.641,      0.2178530633,      0.6721946405,      -1.205784443,                 0,                 0,                 0,      -1.865415388,      0.6721946405,      -1.205784443,                 0,      -1.793802524,   1.827460645e-06,     0.00014752245,                 0
          0,           0,           4,      -4.505274576,      -4.232823235,      -4.174834757,      -1.645678243,      -5.397386065,     -0.2804281857,      -4.931216322,      0.3996603431,         100,      -5.139488658,               6,      -6.531601468,                4,      -6.436663761,    0.001201783913,      0.1073153785,           16.1051,           16.1051,           16.1051,      0.2178530633,      0.6679469805,      -1.359735406,                 0,                 0,                 0,      -1.954997904,      0.6679469805,      -1.359735406,                 0,      -2.035693618,   1.403112512e-06,   0.0001240289316,                 0
          0,           0,           5,      -4.561986141,      -4.263630134,      -4.195608226,      -1.702389808,      -5.603387968,     -0.4813901703,      -4.996648946,      0.4283462857,         100,      -5.713377109,               6,      -6.288919593,                4,        -6.4739728,    0.001290191584,      0.1150703863,          17.71561,          17.71561,          17.71561,      0.2178530633,      0.7217723765,      -1.568712144,                 0,                 0,                 0,      -2.169794777,      0.7217723765,      -1.568712144,                 0,      -2.173416711,   1.487965903e-06,   0.0001040638443,                 0
          0,           0,           6,       -4.60109006,      -4.279730356,      -4.204584143,      -1.741493727,      -5.776880857,     -0.6516857519,      -5.025006487,      0.4633831098,         100,      -5.148341704,               6,      -6.052946522,                4,      -6.502138712,    0.001414101796,      0.1260994429,         19.487171,         19.487171,         19.487171,      0.2178530633,      0.7788524314,      -1.748454236,                 0,                 0,                 0,      -2.376490912,      0.7788524314,      -1.748454236,                 0,      -2.244910802,   1.168914666e-06,   7.495837103e-05,                 0
          0,           0,           7,      -4.629278065,      -4.287356772,      -4.206853978,      -1.769681733,       -5.93018854,     -0.8018236917,      -5.038794488,      0.5345569383,         100,      -5.033940243,               7,      -6.522709206,                4,      -6.582286382,    0.001500502367,      0.1335726177,        21.4358881,        21.4358881,        21.4358881,      0.2178530633,      0.8270451598,       -1.90325052,                 0,                 0,                 0,      -2.566853329,      0.8270451598,       -1.90325052,                 0,      -2.301265533,    1.21423205e-06,   6.909442631e-05,                 0
          0,           0,           8,      -4.652101403,      -4.288329033,      -4.205578861,      -1.792505072,      -6.063187556,     -0.9336094845,      -5.039702821,      0.6227973786,         100,      -4.969251245,               7,       -6.40112082,                4,      -6.689388366,    0.001545959051,      0.1372089372,       23.57947691,       23.57947691,       23.57947691,      0.2178530633,      0.8764665999,      -2.071581893,                 0,                 0,                 0,      -2.786485484,      0.8764665999,      -2.071581893,                 0,      -2.363560566,   1.368529416e-06,   6.275467772e-05,                 0
          0,           0,           9,      -4.675024345,      -4.281205307,      -4.199900834,      -1.815428014,      -6.175953002,      -1.048876563,      -5.014423085,      0.6058491569,         100,      -4.936038682,               7,      -6.275156826,                4,      -6.659321536,    0.001611651327,       0.142710669,        25.9374246,        25.9374246,        25.9374246,      0.2178530633,      0.9332114453,      -2.280343579,                 0,                 0,                 0,       -3.06705073,      0.9332114453,      -2.280343579,                 0,      -2.443544376,   1.195449237e-06,   5.629032547e-05,                 0
