"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.912402926,         -17.91889,      -21.34407401,      -1.052806594,      -3.945279392,       1.139800086,      -4.144892944,      -2.059789208,          13,      -6.113029118,               4,      -6.123180898,                6,      -6.301850669,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2168450983,      0.9444211736,      -1.322758508,                 0,                 0,                 0,      -2.486699228,      0.9444211736,      -1.322758508,                 0,      -1.400602343,  -1.370235611e-05,    0.001461199887,                 0
          0,           0,           1,      -4.097276681,      -3.882209159,      -4.044016654,      -1.237680348,      -4.418436175,      0.6737959818,      -4.516371798,       0.198287916,         100,      -5.309062738,               5,      -6.599898424,                4,      -6.438440845,    0.001122719616,      0.1015016744,              12.1,              12.1,              12.1,      0.2168450983,      0.8989500274,      -1.344895099,                 0,                 0,                 0,      -2.451132677,      0.8989500274,      -1.344895099,                 0,      -1.496073261,    7.66934846e-07,   0.0001441974065,                 0
          0,           0,           2,       -4.28565842,      -4.063130923,      -4.084800583,      -1.426062087,      -4.817042973,       0.283928635,      -4.587862604,      0.3132835869,         100,      -5.168279285,               5,       -6.21041807,                4,      -6.454900577,    0.001166875896,      0.1051254877,             13.31,             13.31,             13.31,      0.2168450983,      0.7338569317,      -1.230831102,                 0,                 0,                 0,      -2.134290098,      0.7338569317,      -1.230831102,                 0,      -1.677208525,   4.238790044e-07,   9.729035465e-05,                 0
          0,           0,           3,      -4.427814458,      -4.175355876,      -4.133191297,      -1.568218124,      -5.143594234,    -0.03390770502,      -4.781269904,      0.3682996541,         100,      -5.473271765,               6,      -6.991137998,                4,      -6.519080784,    0.001168580082,      0.1047181009,            14.641,            14.641,            14.641,      0.2168450983,      0.6245580094,      -1.225279468,                 0,                 0,                 0,      -1.967438845,      0.6245580094,      -1.225279468,                 0,      -1.961834529,   2.266859004e-07,   7.122228009e-05,                 0
          0,           0,           4,      -4.510681575,      -4.240429944,      -4.176112555,      -1.651085244,      -5.400325258,     -0.2833574593,      -4.933788383,      0.4009196896,         100,      -5.268558642,               6,      -6.712275149,                4,      -6.569551775,    0.001207441142,      0.1078461608,           16.1051,           16.1051,           16.1051,      0.2168450983,      0.6108542602,      -1.389485494,                 0,                 0,                 0,      -2.068997429,      0.6108542602,      -1.389485494,                 0,      -2.274659579,   3.619484491e-07,     6.7812544e-05,                 0
          0,           0,           5,      -4.566246359,      -4.270574407,      -4.197369609,      -1.706650027,      -5.606515633,     -0.4844857088,      -5.005714483,      0.4293699897,         100,      -5.260474664,               6,      -6.473166681,                4,      -6.612548754,    0.001269584361,      0.1131435912,          17.71561,          17.71561,          17.71561,      0.2168450983,      0.6544200878,      -1.642253365,                 0,                 0,                 0,      -2.329624107,      0.6544200878,      -1.642253365,                 0,      -2.509478844,  -2.152479337e-07,   5.594576394e-05,                 0
          0,           0,           6,      -4.606685034,      -4.284984099,      -4.204371138,      -1.747088702,       -5.77808092,     -0.6523632538,      -5.036759535,      0.4607279121,         100,      -5.431186584,               6,      -6.244406884,                4,      -6.647314997,    0.001359722457,      0.1210222951,         19.487171,         19.487171,         19.487171,      0.2168450983,      0.7114749919,      -1.890965404,                 0,                 0,                 0,      -2.616251186,      0.7114749919,      -1.890965404,                 0,      -2.657810079,  -5.745245637e-07,   5.100457591e-05,                 0
          0,           0,           7,      -4.638755825,      -4.291640578,      -4.203918282,      -1.779159493,      -5.926756491,     -0.7980422063,       -5.03983467,      0.5241942554,         100,      -5.159402016,               6,       -6.03065072,                4,      -6.707482871,    0.001468788938,      0.1306192998,        21.4358881,        21.4358881,        21.4358881,      0.2168450983,      0.7655352754,      -2.117293288,                 0,                 0,                 0,      -2.893486324,      0.7655352754,      -2.117293288,                 0,      -2.765768419,  -6.206143081e-07,   4.899024221e-05,                 0
          0,           0,           8,      -4.663115459,      -4.292689761,      -4.202278245,      -1.803519127,      -6.058414272,     -0.9281864758,      -5.027314743,      0.6171035522,         100,      -5.126668313,               7,       -6.68122459,                4,      -6.788510748,    0.001594761349,      0.1417374099,       23.57947691,       23.57947691,       23.57947691,      0.2168450983,      0.8191786853,      -2.350742281,                 0,                 0,                 0,      -3.189649318,      0.8191786853,      -2.350742281,                 0,      -2.869633114,  -6.824766697e-07,   4.606729682e-05,                 0
          0,           0,           9,      -4.680366036,      -4.289502585,      -4.200836986,      -1.820769704,      -6.175648087,      -1.047157637,      -4.998333856,      0.6120631216,         100,      -5.081864741,               7,      -6.476224682,                4,      -6.773689048,     0.00173857052,      0.1544559459,        25.9374246,        25.9374246,        25.9374246,      0.2168450983,      0.8761995896,      -2.617739992,                 0,                 0,                 0,      -3.532287059,      0.8761995896,      -2.617739992,                 0,       -2.98760696,  -2.915542829e-07,   4.263151892e-05,                 0
          0,           0,          10,      -4.693669079,      -4.284073929,       -4.19906486,      -1.834072748,      -6.277310919,      -1.157988821,      -4.958379737,      0.5748005953,         100,      -5.077717293,               7,      -6.272804003,                4,        -6.7328741,    0.001899931929,      0.1687417139,       28.53116706,       28.53116706,       28.53116706,      0.2168450983,      0.9366241145,      -2.925637336,                 0,                 0,                 0,      -3.930814833,      0.9366241145,      -2.925637336,                 0,      -3.123598134,   1.602924091e-07,   4.045853015e-05,                 0
          0,           0,          11,      -4.704900333,       -4.27830776,      -4.198064332,      -1.845304001,      -6.358644472,      -1.262751477,      -4.928165493,      0.5255627661,         100,      -5.101232533,             100,      -5.504704892,                4,      -6.699310255,    0.002083644822,      0.1850332209,       31.38428377,       31.38428377,       31.38428377,      0.2168450983,       1.000674854,      -3.268304081,                 0,                 0,                 0,      -4.381552895,       1.000674854,      -3.268304081,                 0,      -3.266099942,   8.383311743e-08,   3.782576243e-05,                 0
          0,           0,          12,      -4.714151591,      -4.272184792,      -4.198424157,      -1.854555259,      -6.407379316,      -1.363060406,      -4.906041293,      0.4720073353,         100,      -5.040949268,             100,      -5.792695733,                4,      -6.627219103,    0.002284496477,      0.2028398061,       34.52271214,       34.52271214,       34.52271214,      0.2168450983,       1.070160599,      -3.636335968,                 0,                 0,                 0,      -4.872174524,       1.070160599,      -3.636335968,                 0,      -3.397934826,  -2.109785383e-08,   3.446700669e-05,                 0
          0,           0,          13,      -4.725555493,      -4.261485261,      -4.196440744,      -1.865959161,      -6.412099825,      -1.459773335,      -4.891269668,      0.4190243696,         100,      -4.998477907,             100,       -5.88540582,                4,      -6.603255291,    0.002390955999,      0.2118353722,       37.97498336,       37.97498336,       37.97498336,      0.2168450983,       1.149040992,      -4.042166685,                 0,                 0,                 0,      -5.408465928,       1.149040992,      -4.042166685,                 0,      -3.517861166,   5.544842655e-09,   3.214152043e-05,                 0
          0,           0,          14,      -4.745501034,       -4.24488212,      -4.194804601,      -1.885904703,       -6.37016329,      -1.549707639,      -4.868157574,      0.3668856728,         100,      -4.924950357,              75,      -6.003392989,                4,      -6.674923439,    0.002474860399,      0.2187258649,       41.77248169,       41.77248169,       41.77248169,      0.2168450983,         1.2268633,      -4.463034958,                 0,                 0,                 0,      -5.939696841,         1.2268633,      -4.463034958,                 0,      -3.637760587,  -6.353228679e-09,   2.933670265e-05,                 0
          0,           0,          15,      -4.775426825,      -4.226678882,      -4.199005508,      -1.915830492,      -6.294920437,      -1.632942433,      -4.816951861,       0.322441713,         100,      -4.824401925,               9,      -6.257577013,                4,      -6.735781444,    0.002593324348,      0.2287708883,       45.94972986,       45.94972986,       45.94972986,      0.2168450983,       1.282872619,      -4.845224629,                 0,                 0,                 0,      -6.377862418,       1.282872619,      -4.845224629,                 0,      -3.776855593,  -2.178960143e-07,   2.490983089e-05,                 0
          0,           0,          16,      -4.805917771,       -4.22224082,      -4.217715591,      -1.946321439,       -6.20266058,      -1.710945359,      -4.749210265,      0.2836313754,         100,      -4.650571129,               9,      -6.393795521,                4,      -6.789108996,    0.002755712394,      0.2427975792,       50.54470285,       50.54470285,       50.54470285,      0.2168450983,        1.30170551,      -5.141003686,                 0,                 0,                 0,      -6.660178693,        1.30170551,      -5.141003686,                 0,      -3.949436833,  -4.962019425e-07,   2.278990391e-05,                 0
