"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.914982238,      -17.92217152,      -21.34404244,      -1.055385906,      -3.945270179,       1.139809254,      -4.147601523,      -2.062469175,          14,      -6.024282593,               5,      -6.822808391,                6,      -6.937186917,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2166358266,      0.9079385329,      -1.362352829,                 0,                 0,                 0,      -2.545777205,      0.9079385329,      -1.362352829,                 0,      -1.500490154,   3.051459032e-05,    0.002032764563,                 0
          0,           0,           1,      -4.100021815,       -3.88536719,      -4.044110255,      -1.240425484,      -4.418426905,      0.6738051877,      -4.520584374,      0.1982970478,         100,      -5.229175445,               5,       -6.41270323,                4,       -6.33547073,    0.001122719615,      0.1015016744,              12.1,              12.1,              12.1,      0.2166358266,      0.8474697577,      -1.364719238,                 0,                 0,                 0,      -2.471393538,      0.8474697577,      -1.364719238,                 0,      -1.610345651,   1.548530277e-06,   0.0001705648194,                 0
          0,           0,           2,      -4.287646585,      -4.063844617,      -4.085613362,      -1.428050252,      -4.817033399,      0.2839381901,      -4.595539488,      0.3132926547,         100,       -5.16756388,               5,      -6.051358719,                4,      -6.352832765,    0.001152055973,      0.1037115793,             13.31,             13.31,             13.31,      0.2166358266,      0.6908393727,      -1.231538928,                 0,                 0,                 0,      -2.128536121,      0.6908393727,      -1.231538928,                 0,      -1.782670439,    1.01495773e-06,   0.0001445101468,                 0
          0,           0,           3,      -4.431906568,      -4.168896544,      -4.130032783,      -1.572310236,      -5.141639997,    -0.03196287153,      -4.794704338,      0.3669310794,         100,      -5.252676314,               6,      -6.973975429,                4,      -6.441682458,    0.001120848324,       0.100219134,            14.641,            14.641,            14.641,      0.2166358266,      0.6009200531,      -1.224002696,                 0,                 0,                 0,      -1.966051666,      0.6009200531,      -1.224002696,                 0,      -2.036881096,   1.057923468e-06,   0.0001075582216,                 0
          0,           0,           4,      -4.517901046,       -4.22834683,       -4.16779188,      -1.658304714,      -5.392544118,     -0.2757022612,      -4.946039172,      0.3949348435,         100,      -5.162200656,               6,      -6.773850382,                4,      -6.502792158,    0.001145333941,      0.1020328081,           16.1051,           16.1051,           16.1051,      0.2166358266,      0.6116861302,      -1.399998753,                 0,                 0,                 0,      -2.096339431,      0.6116861302,      -1.399998753,                 0,       -2.28875347,    1.07780706e-06,   9.068095854e-05,                 0
          0,           0,           5,      -4.575524409,      -4.254645625,       -4.18349567,      -1.715928077,       -5.59298635,     -0.4711567518,      -5.010785372,      0.4195159123,         100,      -5.144327441,               6,      -6.565366716,                4,      -6.543370624,    0.001208442593,      0.1074445346,          17.71561,          17.71561,          17.71561,      0.2166358266,      0.6757838268,      -1.663805561,                 0,                 0,                 0,      -2.385548097,      0.6757838268,      -1.663805561,                 0,      -2.462038148,   1.316465552e-06,   8.094316464e-05,                 0
          0,           0,           6,      -4.616604512,      -4.265731253,      -4.186552717,       -1.75700818,       -5.76088204,     -0.6352513445,      -5.038643582,      0.4492763409,         100,      -5.055982151,               6,      -6.364934379,                4,      -6.578561816,     0.00129205771,      0.1147313477,         19.487171,         19.487171,         19.487171,      0.2166358266,      0.7443975644,      -1.917489952,                 0,                 0,                 0,        -2.6871264,      0.7443975644,      -1.917489952,                 0,      -2.575894984,   1.534837258e-06,   7.467696254e-05,                 0
          0,           0,           7,      -4.648890418,      -4.269477975,      -4.183892922,      -1.789294086,      -5.906320293,     -0.7778533463,      -5.040154438,      0.5015058304,         100,      -5.045532653,               6,      -6.170268299,                4,       -6.62919053,    0.001391573497,      0.1234531415,        21.4358881,        21.4358881,        21.4358881,      0.2166358266,      0.8005547949,       -2.13966819,                 0,                 0,                 0,      -2.959695272,      0.8005547949,       -2.13966819,                 0,      -2.672731715,   1.714417505e-06,   7.183705461e-05,                 0
          0,           0,           8,      -4.673817765,      -4.267920212,      -4.180628202,      -1.814221434,      -6.035393855,     -0.9052474574,      -5.026753847,      0.6030188817,         100,      -4.848509266,               7,      -7.051130165,                4,      -6.722804471,    0.001509089769,      0.1337960985,       23.57947691,       23.57947691,       23.57947691,      0.2166358266,      0.8485127226,      -2.358885645,                 0,                 0,                 0,      -3.232288946,      0.8485127226,      -2.358885645,                 0,      -2.780023896,   1.882170424e-06,   6.965170455e-05,                 0
          0,           0,           9,      -4.691463781,      -4.262973854,      -4.177951624,      -1.831867449,      -6.150451233,      -1.021830268,      -4.997738926,      0.6077919663,         100,       -5.07853724,               7,      -6.807911824,                4,      -6.716490009,    0.001647293508,       0.146001257,        25.9374246,        25.9374246,        25.9374246,      0.2166358266,      0.8941288751,       -2.60188973,                 0,                 0,                 0,      -3.536239419,      0.8941288751,       -2.60188973,                 0,      -2.909971708,   1.903074576e-06,   6.094563748e-05,                 0
