"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.911805303,      -17.92032389,      -21.34407294,      -1.052208972,      -3.945259809,       1.139819636,      -4.144762302,      -2.059757384,          13,      -6.171570528,               4,      -6.034855746,                6,      -6.188055785,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2167395512,      0.9694290981,      -1.346020961,                 0,                 0,                 0,      -2.539343375,      0.9694290981,      -1.346020961,                 0,       -1.38846767,   2.009953693e-05,    0.002405696238,                 0
          0,           0,           1,      -4.096570612,      -3.882734093,      -4.043245299,      -1.236974279,      -4.418416649,      0.6738153953,      -4.514472491,      0.1983074497,         100,      -5.313495496,               5,      -6.701334537,                4,      -6.434583439,    0.001122719626,      0.1015016754,              12.1,              12.1,              12.1,      0.2167395512,      0.9163634014,      -1.359737767,                 0,                 0,                 0,      -2.485020618,      0.9163634014,      -1.359737767,                 0,      -1.483841198,   3.401788752e-06,   0.0002310446893,                 0
          0,           0,           2,      -4.285762234,      -4.059567012,      -4.084722708,      -1.426165901,      -4.817022831,       0.283947834,      -4.592214243,      0.3133031988,         100,      -5.154979407,               5,      -6.326852199,                4,       -6.47159738,    0.001146555067,      0.1031873063,             13.31,             13.31,             13.31,      0.2167395512,       0.750168236,      -1.242101453,                 0,                 0,                 0,      -2.158285975,       0.750168236,      -1.242101453,                 0,      -1.655763858,   2.815351819e-06,   0.0001848836848,                 0
          0,           0,           3,      -4.430396872,      -4.167804748,      -4.129115007,      -1.570800539,       -5.14089417,    -0.03122949294,      -4.788920825,      0.3664256708,         100,      -5.216141294,               5,      -6.082887294,                4,      -6.563159339,    0.001135453709,      0.1015936578,            14.641,            14.641,            14.641,      0.2167395512,      0.6474165557,      -1.246706007,                 0,                 0,                 0,       -2.00427284,      0.6474165557,      -1.246706007,                 0,      -1.925662846,   3.542740789e-06,    0.000157270377,                 0
          0,           0,           4,      -4.515163306,      -4.231166424,      -4.168846862,      -1.655566974,      -5.393818288,      -0.276964402,      -4.936249958,      0.3965840977,         100,      -5.205146406,               6,      -6.904075268,                4,      -6.626118832,    0.001179656337,      0.1052417065,           16.1051,           16.1051,           16.1051,      0.2167395512,      0.6428176368,      -1.428536866,                 0,                 0,                 0,      -2.132857259,      0.6428176368,      -1.428536866,                 0,      -2.222305027,   3.625804668e-06,   0.0001366213832,                 0
          0,           0,           5,      -4.570274365,      -4.263145358,      -4.188747491,      -1.710678032,      -5.598026546,     -0.4760814911,      -4.999598366,      0.4246009967,         100,      -5.388523466,               6,      -6.674559572,                4,      -6.666600881,    0.001270000568,      0.1131824771,          17.71561,          17.71561,          17.71561,      0.2167395512,       0.688660344,      -1.687884533,                 0,                 0,                 0,      -2.405035705,       0.688660344,      -1.687884533,                 0,      -2.450968097,   3.351246181e-06,   0.0001250327705,                 0
          0,           0,           6,      -4.607746817,      -4.279802374,        -4.1970621,      -1.748150485,      -5.770841582,     -0.6453360316,       -5.03010754,      0.4594703436,         100,      -5.373197255,               6,      -6.460104686,                4,      -6.709895389,    0.001374617029,      0.1224110329,         19.487171,         19.487171,         19.487171,      0.2167395512,      0.7399479942,      -1.930473764,                 0,                 0,                 0,      -2.680663325,      0.7399479942,      -1.930473764,                 0,      -2.608931681,   2.936158484e-06,   0.0001156880673,                 0
          0,           0,           7,      -4.636442661,      -4.288254328,      -4.199181438,      -1.776846331,      -5.921800589,     -0.7932492808,      -5.036588227,      0.5235232458,         100,      -4.989073454,               6,      -6.266129853,                4,      -6.788751216,    0.001477523479,       0.131432118,        21.4358881,        21.4358881,        21.4358881,      0.2167395512,      0.7853296506,      -2.144259955,                 0,                 0,                 0,      -2.934536425,      0.7853296506,      -2.144259955,                 0,       -2.73039475,   2.528101266e-06,   0.0001107433203,                 0
          0,           0,           8,      -4.659070389,      -4.290439803,       -4.19934081,      -1.799474058,      -6.054665513,     -0.9246280175,      -5.024673147,      0.6186500214,         100,      -5.059946442,               6,      -6.062774517,                4,       -6.89785211,    0.001601080327,      0.1423246842,       23.57947691,       23.57947691,       23.57947691,      0.2167395512,      0.8309100825,      -2.360356428,                 0,                 0,                 0,      -3.201542876,      0.8309100825,      -2.360356428,                 0,      -2.840688153,   2.276329503e-06,   0.0001001388034,                 0
          0,           0,           9,      -4.675989187,      -4.287636564,      -4.198635007,      -1.816392855,       -6.17251865,      -1.044400711,      -4.995527817,      0.6141618948,         100,      -5.229670967,               7,      -6.752099849,                4,       -6.91256771,    0.001743383609,      0.1549028774,        25.9374246,        25.9374246,        25.9374246,      0.2167395512,      0.8820711398,      -2.607614479,                 0,                 0,                 0,      -3.514489391,      0.8820711398,      -2.607614479,                 0,      -2.956240559,   2.247332932e-06,   9.215186456e-05,                 0
