"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.260470848,      -17.87590081,      -21.34332289,      -1.400874516,      -3.892253378,       1.192825267,      -4.490044927,      -2.403901196,          10,      -6.392446171,               4,      -6.220175974,                5,       -6.40515096,    0.001140630883,      0.1061429972,                11,                11,                11,      0.2169889437,      0.9164644179,      -1.357517545,                 0,                 0,                 0,      -2.511494052,      0.9164644179,      -1.357517545,                 0,      -1.481255048,   5.327810062e-05,     0.00228331549,                 0
          0,           0,           1,      -4.448216931,      -4.243222563,      -4.400663415,      -1.588620603,      -4.365666039,      0.7265489598,       -4.82083214,      0.2514044951,         100,      -5.815552547,               5,      -6.913347557,                4,      -6.561809035,    0.001170929755,      0.1085226453,              12.1,              12.1,              12.1,      0.2169889437,      0.8595706752,      -1.349477915,                 0,                 0,                 0,      -2.450615503,      0.8595706752,      -1.349477915,                 0,      -1.569944106,   5.591626499e-06,    0.000204116895,                 0
          0,           0,           2,      -4.655375947,      -4.408907757,      -4.453991692,      -1.795779616,      -4.770797809,      0.3300743704,      -4.859184354,          0.369725,         100,      -5.252844233,               5,      -6.551722025,                4,       -6.60692456,    0.001171236933,      0.1079985415,             13.31,             13.31,             13.31,      0.2169889437,      0.7096457305,       -1.24893062,                 0,                 0,                 0,      -2.211211241,      0.7096457305,       -1.24893062,                 0,      -1.759935368,   8.791091345e-06,   0.0001614081368,                 0
          0,           0,           3,       -4.82175822,      -4.522097301,      -4.513592625,      -1.962161893,      -5.098341546,     0.01127381738,      -5.028470125,      0.4224627611,          72,      -6.023260973,               5,      -6.267279559,                4,      -6.681479719,     0.00118132108,      0.1084683244,            14.641,            14.641,            14.641,      0.2169889437,      0.6101760205,         -1.225375,                 0,                 0,                 0,      -2.108832767,      0.6101760205,         -1.225375,                 0,      -2.008231984,   7.091095564e-06,   0.0001407429751,                 0
          0,           0,           4,       -4.93493236,      -4.590957213,      -4.574725947,      -2.075336027,      -5.357907754,     -0.2407905194,      -5.198790615,      0.4555166677,         100,      -5.634379787,               5,       -6.05288205,                4,        -6.7655923,    0.001194528454,      0.1092697558,           16.1051,           16.1051,           16.1051,      0.2169889437,      0.5709910155,      -1.283485697,                 0,                 0,                 0,      -2.150807069,      0.5709910155,      -1.283485697,                 0,      -2.247821178,   5.376869487e-06,   0.0001202642563,                 0
          0,           0,           5,      -5.008529549,      -4.626306091,      -4.624689905,      -2.148933215,      -5.564759367,     -0.4418310664,      -5.281669335,      0.4807361164,         100,      -5.337912533,               6,      -7.019562892,                4,      -6.826196871,    0.001245327246,      0.1136630717,          17.71561,          17.71561,          17.71561,      0.2169889437,      0.5600902378,      -1.358307875,                 0,                 0,                 0,      -2.228622993,      0.5600902378,      -1.358307875,                 0,       -2.42515899,   3.948019792e-06,   0.0001064569801,                 0
          0,           0,           6,      -5.058408288,         -4.652114,      -4.662255975,      -2.198811952,      -5.737103853,     -0.6093993875,      -5.322434944,       0.509594947,         100,      -5.453581201,               6,      -6.778728083,                4,      -6.870591529,    0.001326049902,      0.1208747106,         19.487171,         19.487171,         19.487171,      0.2169889437,      0.5573058979,      -1.411806853,                 0,                 0,                 0,       -2.27986394,      0.5573058979,      -1.411806853,                 0,      -2.533270972,   2.797513821e-06,   8.757122977e-05,                 0
          0,           0,           7,      -5.095229256,      -4.681345997,      -4.690598065,      -2.235632924,      -5.886137364,     -0.7548657325,      -5.365516915,      0.5695584113,         100,      -5.453440525,               6,      -6.547639052,                4,      -6.942473732,     0.00141378061,      0.1287171736,        21.4358881,        21.4358881,        21.4358881,      0.2169889437,      0.5616417104,        -1.4542977,                 0,                 0,                 0,      -2.315591769,      0.5616417104,        -1.4542977,                 0,      -2.589369116,   2.095166707e-06,    7.85023346e-05,                 0
          0,           0,           8,      -5.125580528,      -4.711245793,      -4.712794269,      -2.265984199,      -6.017745117,     -0.8840142441,      -5.406799997,      0.6604458379,         100,      -5.324308466,               6,      -6.308782694,                4,      -7.032353604,    0.001520322739,      0.1383002236,       23.57947691,       23.57947691,       23.57947691,      0.2169889437,      0.5762929617,      -1.521022027,                 0,                 0,                 0,      -2.377521372,      0.5762929617,      -1.521022027,                 0,      -2.639320847,   1.527995387e-06,   7.211963004e-05,                 0
          0,           0,           9,      -5.154060749,       -4.72777846,      -4.727404134,       -2.29446442,      -6.136118491,      -1.001627822,      -5.442404429,      0.6577888841,         100,      -4.901367319,               6,      -6.068612897,                4,      -7.021025389,    0.001641145811,      0.1491884763,        25.9374246,        25.9374246,        25.9374246,      0.2169889437,      0.6001441088,      -1.645011129,                 0,                 0,                 0,      -2.500268559,      0.6001441088,      -1.645011129,                 0,      -2.741026872,   8.996400835e-07,   6.823633534e-05,                 0
