"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.252985832,      -17.87101936,      -21.34356073,        -1.3933895,      -3.891542601,       1.193536052,      -4.471791079,      -2.385679226,          10,      -6.378469228,               4,      -6.215640122,                5,      -6.403974701,    0.001140630883,      0.1092416985,                11,                11,                11,      0.2167714862,      0.9350543333,      -1.401881322,                 0,                 0,                 0,      -2.643281106,      0.9350543333,      -1.401881322,                 0,       -1.49925119,   1.189503734e-05,    0.003371326267,                 0
          0,           0,           1,      -4.432673222,      -4.232169038,      -4.395179673,      -1.573076892,      -4.365119774,      0.7270898113,      -4.810313404,      0.2523071612,         100,      -5.811632427,               5,      -6.862956685,                4,      -6.561463683,    0.001179693541,      0.1125832551,              12.1,              12.1,              12.1,      0.2167714862,      0.8795811188,      -1.449462533,                 0,                 0,                 0,      -2.643854973,      0.8795811188,      -1.449462533,                 0,      -1.647900918,   4.558833134e-06,   0.0002818873878,                 0
          0,           0,           2,      -4.634750942,      -4.405092216,      -4.446416611,      -1.775154611,      -4.771446491,       0.329407039,      -4.836693611,      0.3712489146,         100,       -5.56807285,               5,      -6.445114393,                4,       -6.59052467,    0.001199137632,       0.113957562,             13.31,             13.31,             13.31,      0.2167714862,      0.7340165695,      -1.377491679,                 0,                 0,                 0,      -2.428995475,      0.7340165695,      -1.377491679,                 0,      -1.876649297,   2.392121901e-06,   0.0002051017977,                 0
          0,           0,           3,      -4.799908577,      -4.519002459,      -4.506912034,      -1.940312244,      -5.102557008,    0.007064783792,      -5.025077515,      0.4262010168,         100,      -5.783513514,               5,      -6.157240626,                4,      -6.677317407,    0.001187002977,      0.1122292411,            14.641,            14.641,            14.641,      0.2167714862,      0.6417419935,      -1.372802413,                 0,                 0,                 0,      -2.342443995,      0.6417419935,      -1.372802413,                 0,      -2.139181209,   2.564665235e-06,   0.0001594572579,                 0
          0,           0,           4,       -4.91197811,      -4.593366611,       -4.56182303,      -2.052381774,      -5.362212487,     -0.2450329221,      -5.182665473,      0.4579970572,         100,      -5.639699599,               6,      -7.124541734,                4,      -6.727806985,    0.001233284586,      0.1163094426,           16.1051,           16.1051,           16.1051,      0.2167714862,      0.6094459085,      -1.440717642,                 0,                 0,                 0,      -2.390335065,      0.6094459085,      -1.440717642,                 0,      -2.363979512,   2.298790805e-06,   0.0001189478371,                 0
          0,           0,           5,      -4.982047686,      -4.634116119,      -4.605923368,      -2.122451353,      -5.572868414,     -0.4497055656,      -5.269294616,      0.4875751587,         100,      -5.524377926,               6,      -6.836096204,                4,      -6.763465405,    0.001312601052,      0.1236165067,          17.71561,          17.71561,          17.71561,      0.2167714862,       0.598034499,      -1.517327638,                 0,                 0,                 0,      -2.458845063,       0.598034499,      -1.517327638,                 0,      -2.537190814,   1.845411407e-06,   0.0001046056447,                 0
          0,           0,           6,      -5.030212995,      -4.661725287,      -4.641742364,      -2.170616664,      -5.750506761,      -0.622494812,      -5.323180219,      0.5220421775,         100,      -5.359501057,               6,      -6.560698023,                4,      -6.797309575,    0.001405923913,      0.1322603692,         19.487171,         19.487171,         19.487171,      0.2167714862,       0.589314997,      -1.568639142,                 0,                 0,                 0,      -2.490921902,       0.589314997,      -1.568639142,                 0,       -2.66180082,    1.46047522e-06,   8.926773131e-05,                 0
          0,           0,           7,      -5.069088675,      -4.688044055,       -4.67451431,      -2.209492345,      -5.904585907,     -0.7726110781,      -5.340468727,       0.594972974,         100,      -5.282628088,               6,       -6.27562342,                4,      -6.854983815,    0.001527893037,       0.143664245,        21.4358881,        21.4358881,        21.4358881,      0.2167714862,      0.5857605412,      -1.603304147,                 0,                 0,                 0,      -2.499142961,      0.5857605412,      -1.603304147,                 0,      -2.737132385,   1.309019176e-06,   7.977023843e-05,                 0
          0,           0,           8,      -5.096336675,      -4.715052992,      -4.703771212,      -2.236740346,      -6.042340194,     -0.9074351098,      -5.368966882,      0.6794323443,         100,      -4.973716642,               7,      -7.011852453,                4,      -6.904281326,    0.001667105198,      0.1567033162,       23.57947691,       23.57947691,       23.57947691,      0.2167714862,      0.5925615218,      -1.654753246,                 0,                 0,                 0,      -2.526499567,      0.5925615218,      -1.654753246,                 0,      -2.792542521,   1.068590463e-06,   7.362039895e-05,                 0
          0,           0,           9,      -5.115122952,      -4.736255663,      -4.726226416,       -2.25552662,      -6.167793557,      -1.031105522,      -5.411675342,      0.6690608233,         100,      -4.968365918,             100,      -5.770843658,                4,      -6.867618928,    0.001819171082,      0.1709428497,        25.9374246,        25.9374246,        25.9374246,      0.2167714862,      0.6089790133,      -1.755239968,                 0,                 0,                 0,      -2.609188587,      0.6089790133,      -1.755239968,                 0,       -2.88226676,   1.106278993e-06,    6.81227102e-05,                 0
