"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.912335248,      -17.92440662,      -21.34392028,      -1.052738917,      -3.945141047,       1.139938425,      -4.144890539,      -2.059648924,          13,      -6.193549407,               5,      -6.914711712,                6,      -6.324934602,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2170246064,      0.9563050457,      -1.376754451,                 0,                 0,                 0,      -2.603526704,      0.9563050457,      -1.376754451,                 0,      -1.439660344,  -6.025264497e-05,    0.006798221536,                 0
          0,           0,           1,      -4.095727372,      -3.882563074,       -4.04360222,      -1.236131039,      -4.418297425,      0.6739347834,      -4.515223165,      0.1984261572,         100,      -5.316728323,               5,      -6.440290712,                4,      -6.162082685,    0.001122733569,       0.101503016,              12.1,              12.1,              12.1,      0.2170246064,      0.9089638375,      -1.395235239,                 0,                 0,                 0,      -2.552371581,      0.9089638375,      -1.395235239,                 0,      -1.534973319,   -6.43155631e-06,   0.0005068690927,                 0
          0,           0,           2,      -4.286907344,      -4.062154835,      -4.085083338,      -1.427311011,      -4.816905177,      0.2840669524,      -4.589067506,      0.3134228914,         100,      -5.248855807,               5,      -6.029939595,                4,      -6.183463044,    0.001158791297,       0.104353903,             13.31,             13.31,             13.31,      0.2170246064,      0.7457836574,      -1.277534174,                 0,                 0,                 0,      -2.231770404,      0.7457836574,      -1.277534174,                 0,      -1.713009076,  -4.759150017e-06,   0.0004561637366,                 0
          0,           0,           3,      -4.430753133,      -4.174406391,      -4.128692635,        -1.5711568,      -5.142403452,    -0.03271405475,      -4.782848104,      0.3676888402,         100,      -5.314223275,               6,      -6.819561489,                4,      -6.250315765,    0.001162771927,      0.1041695888,            14.641,            14.641,            14.641,      0.2170246064,      0.6362416235,      -1.274867369,                 0,                 0,                 0,      -2.072294928,      0.6362416235,      -1.274867369,                 0,      -2.003747195,  -3.118750624e-06,   0.0003489291067,                 0
          0,           0,           4,      -4.513063385,      -4.236455844,      -4.170100277,      -1.653467053,      -5.398591162,     -0.2816169982,      -4.943391577,      0.4002056332,         100,      -5.104240658,               6,       -6.61041284,                4,      -6.321367349,     0.00117572822,      0.1048739877,           16.1051,           16.1051,           16.1051,      0.2170246064,      0.6201739379,      -1.471308991,                 0,                 0,                 0,      -2.212598193,      0.6201739379,      -1.471308991,                 0,      -2.372413449,  -4.668879859e-06,   0.0002591070065,                 0
          0,           0,           5,      -4.569716866,      -4.265337942,      -4.190595253,      -1.710120535,      -5.601603049,     -0.4794752107,      -5.011093128,      0.4250278117,         100,      -5.096813006,               6,      -6.406467446,                4,      -6.370990659,    0.001230009425,      0.1094517652,          17.71561,          17.71561,          17.71561,      0.2170246064,      0.6670533833,      -1.788771012,                 0,                 0,                 0,      -2.551108881,      0.6670533833,      -1.788771012,                 0,      -2.681600988,  -3.213503704e-06,   0.0001966124709,                 0
          0,           0,           6,      -4.612023664,      -4.278636038,      -4.195736496,      -1.752427331,      -5.770048502,     -0.6443261757,      -5.039140185,      0.4540374355,         100,      -5.070458777,               6,      -6.202086778,                4,      -6.407980183,    0.001315016375,      0.1168625732,         19.487171,         19.487171,         19.487171,      0.2170246064,      0.7355805535,      -2.117530707,                 0,                 0,                 0,      -2.936163112,      0.7355805535,      -2.117530707,                 0,      -2.878720348,  -2.238010926e-06,   0.0001523494253,                 0
          0,           0,           7,      -4.644763138,      -4.284208484,      -4.193822012,      -1.785166808,      -5.916237795,     -0.7874985327,      -5.040991651,      0.5109069048,         100,      -5.005697125,               6,      -6.002349814,                4,       -6.45967462,    0.001418935484,      0.1259885643,        21.4358881,        21.4358881,        21.4358881,      0.2170246064,      0.8075980511,      -2.424417911,                 0,                 0,                 0,      -3.313825899,      0.8075980511,      -2.424417911,                 0,      -3.002010602,  -1.955292489e-06,   0.0001217086871,                 0
          0,           0,           8,      -4.669290862,      -4.283303707,       -4.19085877,      -1.809694531,      -6.046392949,     -0.9155421503,      -5.028521812,       0.608605006,         100,      -4.971004718,               7,      -6.583126077,                4,      -6.541591304,    0.001536132524,       0.136298635,       23.57947691,       23.57947691,       23.57947691,      0.2170246064,      0.8830001532,      -2.740162583,                 0,                 0,                 0,      -3.710525093,      0.8830001532,      -2.740162583,                 0,      -3.103241345,  -1.594242906e-06,   9.905969766e-05,                 0
          0,           0,           9,      -4.687268158,      -4.277685844,      -4.187693924,      -1.827671827,      -6.162300931,      -1.032503994,      -5.001560579,      0.6085390779,         100,      -5.173561189,               7,      -6.359804832,                4,      -6.516810967,    0.001664906566,      0.1476295862,        25.9374246,        25.9374246,        25.9374246,      0.2170246064,      0.9640746565,      -3.100569646,                 0,                 0,                 0,      -4.162272738,      0.9640746565,      -3.100569646,                 0,      -3.216109484,  -1.531044688e-06,   8.242465099e-05,                 0
