"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,       -4.39965398,      -17.87024578,      -21.34334236,      -1.540057649,      -3.896127808,       1.188950716,      -4.608860052,      -2.521828861,          10,      -6.389009499,               4,      -6.013739315,                5,      -6.274258098,    0.001140630883,      0.1067418352,                11,                11,                11,      0.0724683887,       1.455765305,      -3.022233466,                 0,                 0,                 0,      -5.383085193,       1.455765305,      -3.022233466,                 0,      -2.076044439,   9.507023306e-06,    0.002381618527,                 0
          0,           0,           1,      -4.570229425,      -4.407078051,      -4.548874383,      -1.710633094,      -4.369578294,      0.7226329578,      -4.941517221,      0.2475940182,          37,      -6.001152773,               5,      -6.556990371,                4,      -6.194221529,    0.001182279435,      0.1102240501,              12.1,              12.1,              12.1,      0.0724683887,       1.400596472,      -2.924850509,                 0,                 0,                 0,      -5.176023559,       1.400596472,      -2.924850509,                 0,      -2.088289216,   2.886342921e-06,   0.0001870411407,                 0
          0,           0,           2,      -4.800321907,       -4.57042648,      -4.577508491,      -1.940725572,      -4.776046355,      0.3248018343,      -4.964708564,      0.3667168693,         100,      -5.441644836,               5,      -6.160711398,                4,      -6.224770843,    0.001191353085,      0.1105015814,             13.31,             13.31,             13.31,      0.0724683887,        1.14967267,      -2.553179923,                 0,                 0,                 0,      -4.470646302,        1.14967267,      -2.553179923,                 0,      -2.220788568,   4.074270277e-06,   0.0001349654953,                 0
          0,           0,           3,      -4.979021818,      -4.684679379,      -4.643028822,      -2.119425488,       -5.10594022,    0.003669792501,      -5.130421686,      0.4208154779,         100,       -5.68904163,               6,      -7.000447952,                4,      -6.266447894,    0.001233803635,      0.1140661817,            14.641,            14.641,            14.641,      0.0724683887,      0.9399939846,       -2.29257482,                 0,                 0,                 0,      -3.962144009,      0.9399939846,       -2.29257482,                 0,       -2.43892499,   2.579069206e-06,   9.720525656e-05,                 0
          0,           0,           4,      -5.094683265,      -4.763738472,      -4.716298081,      -2.235086932,      -5.371361084,     -0.2540703648,      -5.276877294,      0.4584499695,         100,      -5.696127707,               6,      -6.695282251,                4,      -6.304394374,    0.001301352884,      0.1200523061,           16.1051,           16.1051,           16.1051,      0.0724683887,      0.8132054362,      -2.170227064,                 0,                 0,                 0,      -3.702277631,      0.8132054362,      -2.170227064,                 0,      -2.668731624,   1.032320258e-06,   7.177548636e-05,                 0
          0,           0,           5,       -5.18492192,      -4.804210063,      -4.776714696,      -2.325325584,      -5.588498162,     -0.4649735203,      -5.354685721,      0.4928164229,         100,       -5.68945723,               6,      -6.406983173,                4,      -6.333371439,    0.001397631102,      0.1287814026,          17.71561,          17.71561,          17.71561,      0.0724683887,      0.7326078616,      -2.084933396,                 0,                 0,                 0,      -3.513157702,      0.7326078616,      -2.084933396,                 0,      -2.845906392,      4.177219e-07,   7.184672362e-05,                 0
          0,           0,           6,      -5.258049257,      -4.831587249,       -4.83186897,      -2.398452925,      -5.772037745,     -0.6435008562,      -5.393812089,      0.5315431004,         100,      -5.186424939,               6,      -6.138280266,                4,       -6.36124426,    0.001509596346,        0.13897528,         19.487171,         19.487171,         19.487171,      0.0724683887,      0.6650874733,      -1.970312546,                 0,                 0,                 0,      -3.278833902,      0.6650874733,      -1.970312546,                 0,      -2.962486327,   1.531932597e-08,   7.156099736e-05,                 0
          0,           0,           7,      -5.309766213,      -4.863251575,      -4.884471777,      -2.450169884,      -5.931613928,     -0.7989200662,      -5.437232776,      0.6187461399,         100,      -5.430896533,               7,      -6.805611376,                4,      -6.438303504,    0.001618161287,      0.1487876436,        21.4358881,        21.4358881,        21.4358881,      0.0724683887,      0.5970182753,      -1.814675114,                 0,                 0,                 0,      -2.980990554,      0.5970182753,      -1.814675114,                 0,       -3.03956376,  -3.699135683e-07,   8.531826997e-05,                 0
          0,           0,           8,      -5.344348807,      -4.899430677,      -4.925381085,      -2.484752482,      -6.072631325,     -0.9364074286,      -5.489894875,       0.687331823,         100,      -4.983203526,               7,      -6.582466679,                4,      -6.480724647,    0.001735912447,      0.1594303874,       23.57947691,       23.57947691,       23.57947691,      0.0724683887,      0.5269292021,      -1.639472873,                 0,                 0,                 0,      -2.658910604,      0.5269292021,      -1.639472873,                 0,      -3.111372204,  -5.553932172e-07,   7.961486049e-05,                 0
          0,           0,           9,      -5.368832835,      -4.931661526,      -4.945823369,      -2.509236505,      -6.199582012,      -1.060512125,      -5.536923727,      0.6644744004,         100,      -5.522268145,               7,      -6.189180142,                4,       -6.41218778,     0.00186494074,      0.1710990189,        25.9374246,        25.9374246,        25.9374246,      0.0724683887,      0.4625290565,      -1.483445825,                 0,                 0,                 0,      -2.379017157,      0.4625290565,      -1.483445825,                 0,      -3.207248937,  -9.326338374e-07,   8.282862009e-05,                 0
