"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.205829266,      -17.86761544,      -21.45029178,      -1.346232934,      -3.890721586,       1.194357072,      -4.451052424,      -2.364864062,          13,      -6.200624014,               5,      -6.672347868,                5,      -6.288618945,    0.001140630883,      0.1077795682,                11,                11,                11,      0.2168439791,       1.165195548,      -1.392608846,                 0,                 0,                 0,      -2.728247433,       1.165195548,      -1.392608846,                 0,      -1.195171788,   5.389248823e-13,   9.681836981e-12,                 0
          0,           0,           1,       -4.40898201,      -4.199187163,      -4.356882951,      -1.549385678,      -4.364412371,      0.7277935001,      -4.796655225,      0.2532532198,          14,      -6.202745451,               5,      -6.091295124,                5,      -6.807595917,    0.001159696777,      0.1090585651,              12.1,              12.1,              12.1,      0.2168439791,       1.098760707,      -1.399561939,                 0,                 0,                 0,      -2.677897016,       1.098760707,      -1.399561939,                 0,      -1.273764096,   5.816263812e-14,   1.196190526e-12,                 0
          0,           0,           2,      -4.607399732,      -4.357204496,      -4.420370083,      -1.747803401,      -4.768484702,       0.332390442,      -4.843557811,       0.370854627,          15,      -6.161279472,               6,      -6.706088336,                5,      -6.885258513,    0.001110984653,       0.103698328,             13.31,             13.31,             13.31,      0.2168439791,      0.9452282689,      -1.334706439,                 0,                 0,                 0,      -2.478915977,      0.9452282689,      -1.334706439,                 0,      -1.412046681,   3.244276364e-14,   1.188359179e-12,                 0
          0,           0,           3,      -4.784651498,        -4.4552227,      -4.468505886,      -1.925055167,       -5.08839847,     0.02117576856,      -5.017656253,      0.4186717756,          16,      -6.153227528,               6,      -6.422681705,                5,      -6.988694202,    0.001069572897,     0.09920996182,            14.641,            14.641,            14.641,      0.2168439791,      0.8580994968,      -1.381374248,                 0,                 0,                 0,      -2.476262835,      0.8580994968,      -1.381374248,                 0,      -1.609806617,   3.229174249e-14,    1.13589447e-12,                 0
          0,           0,           4,      -4.907291624,      -4.509330958,      -4.519159362,      -2.047695292,      -5.335030754,     -0.2181564663,      -5.167208631,      0.4429003353,          17,       -6.12836043,               6,      -6.195387984,                5,      -7.059369425,    0.001085465276,      0.1003441579,           16.1051,           16.1051,           16.1051,      0.2168439791,      0.8314780692,      -1.521231708,                 0,                 0,                 0,      -2.636236626,      0.8314780692,      -1.521231708,                 0,      -1.829551211,   2.994323724e-14,   1.137591121e-12,                 0
          0,           0,           5,      -4.981414098,      -4.541595215,      -4.574686817,      -2.121817766,      -5.532895625,     -0.4103137959,      -5.248855714,      0.4643474588,          18,      -6.085080887,               7,      -6.791217497,                5,      -7.105403771,    0.001141681183,      0.1053551301,          17.71561,          17.71561,          17.71561,      0.2168439791,      0.8165445329,       -1.65938079,                 0,                 0,                 0,      -2.795741935,      0.8165445329,       -1.65938079,                 0,      -2.032198763,   3.148057174e-14,   1.110471226e-12,                 0
          0,           0,           6,      -5.026323568,       -4.56877819,      -4.627958811,      -2.166727236,      -5.699508146,     -0.5723675456,      -5.292262121,      0.4915556164,          20,      -6.273207568,               7,      -6.582192172,                5,      -7.140225997,    0.001225892517,      0.1130226522,         19.487171,         19.487171,         19.487171,      0.2168439791,      0.7980452671,      -1.748973094,                 0,                 0,                 0,      -2.880598611,      0.7980452671,      -1.748973094,                 0,      -2.191571288,   2.549104621e-14,   9.869853944e-13,                 0
          0,           0,           7,      -5.056518105,      -4.599603666,      -4.674856514,      -2.196921773,      -5.845467366,     -0.7145330485,      -5.329398171,      0.5351987656,          21,      -6.159126915,               7,      -6.392279966,                4,      -6.008902245,    0.001332308117,      0.1227786029,        21.4358881,        21.4358881,        21.4358881,      0.2168439791,      0.7858585586,      -1.802870891,                 0,                 0,                 0,      -2.912350674,      0.7858585586,      -1.802870891,                 0,      -2.294141702,    1.77929081e-14,   1.026485871e-12,                 0
          0,           0,           8,      -5.080028384,       -4.63375704,      -4.713073221,      -2.220432052,      -5.976988897,     -0.8430226862,      -5.372402085,      0.6432064856,          22,      -6.098269594,               7,      -6.217047083,                4,      -6.104357097,     0.00145891458,      0.1344235193,       23.57947691,       23.57947691,       23.57947691,      0.2168439791,      0.7894607273,      -1.860435464,                 0,                 0,                 0,      -2.944877417,      0.7894607273,      -1.860435464,                 0,      -2.356590264,   1.308076325e-14,   9.703461873e-13,                 0
          0,           0,           9,      -5.103058938,      -4.659417513,      -4.742889195,      -2.243462606,      -6.097708203,     -0.9618153728,      -5.404826548,      0.6614156783,          23,       -6.02157096,               7,      -6.046666561,                4,      -6.097101794,    0.001604238601,      0.1478116635,        25.9374246,        25.9374246,        25.9374246,      0.2168439791,      0.8082248381,      -1.957335562,                 0,                 0,                 0,       -3.02036734,      0.8082248381,      -1.957335562,                 0,      -2.421771108,   1.934709853e-14,    9.66133051e-13,                 0
          0,           0,          10,      -5.134243557,      -4.665286052,      -4.754837082,      -2.274647225,      -6.209012429,      -1.073504205,      -5.416038113,      0.6372242034,          25,      -6.114076953,               8,      -6.622078142,                4,      -6.041549156,    0.001765906173,      0.1627116435,       28.53116706,       28.53116706,       28.53116706,      0.2168439791,      0.8350446511,      -2.105409081,                 0,                 0,                 0,      -3.150936595,      0.8350446511,      -2.105409081,                 0,      -2.521313176,   7.418748237e-16,     9.4753716e-13,                 0
          0,           0,          11,      -5.178765386,      -4.659807335,      -4.744523456,      -2.319169055,      -6.310469501,      -1.179740509,      -5.413216734,      0.5986310704,          27,      -6.072613762,               8,      -6.409552301,                5,       -7.15436823,    0.001940724609,      0.1788134983,       31.38428377,       31.38428377,       31.38428377,      0.2168439791,      0.8633812515,      -2.286754794,                 0,                 0,                 0,      -3.318788251,      0.8633812515,      -2.286754794,                 0,       -2.64860372,  -1.712025276e-14,   9.583673113e-13,                 0
          0,           0,          12,      -5.226624785,      -4.656024663,      -4.733903162,      -2.367028454,      -6.396599272,       -1.28153466,       -5.41513041,      0.5549376885,          30,      -6.132592668,               8,      -6.196305292,                5,      -7.097421918,    0.002126550458,      0.1959070982,       34.52271214,       34.52271214,       34.52271214,      0.2168439791,       0.889686293,      -2.464710256,                 0,                 0,                 0,      -3.488888118,       0.889686293,      -2.464710256,                 0,      -2.770313846,  -2.616264178e-14,   9.466153715e-13,                 0
          0,           0,          13,      -5.256592066,      -4.654786584,      -4.742081134,      -2.396995734,      -6.457351878,      -1.379541129,      -5.412061686,       0.509286356,          33,      -6.136456555,               9,      -6.698403033,                5,      -7.045154014,    0.002325135259,      0.2141539781,       37.97498336,       37.97498336,       37.97498336,      0.2168439791,       0.909605549,      -2.604588334,                 0,                 0,                 0,      -3.625004665,       0.909605549,      -2.604588334,                 0,      -2.863426171,  -3.025394463e-14,   1.005219218e-12,                 0
          0,           0,          14,      -5.260643424,      -4.653838883,      -4.765145948,      -2.401047092,      -6.481086539,      -1.474326816,      -5.384576002,      0.4637280626,          36,      -6.111308276,               9,      -6.458863559,                5,      -7.002493923,    0.002542946731,      0.2341646782,       41.77248169,       41.77248169,       41.77248169,      0.2168439791,      0.9144110789,      -2.690830745,                 0,                 0,                 0,       -3.70120969,      0.9144110789,      -2.690830745,                 0,      -2.942692632,  -4.642587414e-14,   1.053290588e-12,                 0
          0,           0,          15,      -5.249624485,      -4.655177087,      -4.787109297,      -2.390028154,      -6.469247447,      -1.566541193,       -5.37495043,      0.4198723242,          38,      -6.015867158,               9,      -6.280298826,                5,      -6.998070272,    0.002698529251,      0.2481700202,       45.94972986,       45.94972986,       45.94972986,      0.2168439791,      0.8961867278,      -2.734627145,                 0,                 0,                 0,      -3.712756696,      0.8961867278,      -2.734627145,                 0,      -3.051403308,  -6.360228749e-14,   1.035202992e-12,                 0
          0,           0,          16,      -5.236584561,      -4.665683525,      -4.805191578,      -2.376988229,      -6.432215156,      -1.654303403,      -5.348761368,      0.3742601815,          41,      -6.111892634,               9,      -6.102253775,                5,      -6.982905714,     0.00286226839,      0.2628910851,       50.54470285,       50.54470285,       50.54470285,      0.2168439791,      0.8498903912,      -2.754928403,                 0,                 0,                 0,      -3.664266902,      0.8498903912,      -2.754928403,                 0,      -3.241510237,  -2.911562493e-14,   1.029718314e-12,                 0
          0,           0,          17,      -5.232824196,      -4.683223549,      -4.821667714,      -2.373227864,      -6.383015656,      -1.738248073,      -5.301705334,      0.3307125186,          43,      -6.104913665,              10,      -6.532553876,                5,      -6.974249841,    0.003063892585,      0.2811390454,       55.59917313,       55.59917313,       55.59917313,      0.2168439791,      0.7821558168,      -2.773354904,                 0,                 0,                 0,      -3.580953999,      0.7821558168,      -2.773354904,                 0,      -3.545783134,  -8.446833746e-15,   1.030714007e-12,                 0
          0,           0,          18,      -5.242679907,      -4.702216864,      -4.835112222,      -2.383083576,      -6.328629315,      -1.819525006,      -5.262990104,        0.29084259,          45,      -6.073856235,              10,      -6.287981433,                5,      -6.968931263,     0.00330533332,      0.3030777248,       61.15909045,       61.15909045,       61.15909045,      0.2168439791,      0.7075955342,      -2.806985427,                 0,                 0,                 0,      -3.501034836,      0.7075955342,      -2.806985427,                 0,       -3.96693491,  -1.201373636e-14,   1.021927824e-12,                 0
