"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.206524633,      -17.90278447,      -21.44912177,      -1.346928302,      -3.891350677,       1.193727959,      -4.449534085,       -2.36393025,          13,      -6.336190228,               5,      -6.957376755,                5,      -6.308121929,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2171648466,       1.186427572,      -1.366546678,                 0,                 0,                 0,      -2.820570714,       1.186427572,      -1.366546678,                 0,      -1.151816352,   3.952670844e-13,   1.251410309e-11,                 0
          0,           0,           1,      -4.404738326,      -4.202337137,      -4.356512106,      -1.545141995,      -4.364857975,      0.7273547598,      -4.788257428,      0.2524095754,          14,      -6.264578727,               5,      -6.377640858,                4,      -6.019227956,    0.001155689336,      0.1046775832,              12.1,              12.1,              12.1,      0.2171648466,       1.100623455,      -1.376177412,                 0,                 0,                 0,      -2.744875625,       1.100623455,      -1.376177412,                 0,      -1.250361698,   2.146433268e-14,   1.204791703e-12,                 0
          0,           0,           2,       -4.60494368,      -4.362141909,      -4.410809213,      -1.745347349,      -4.768288148,      0.3326003652,      -4.842787849,      0.3697164481,          15,      -6.297395329,               5,      -6.010101361,                4,      -6.095746559,    0.001073419241,     0.09624492781,             13.31,             13.31,             13.31,      0.2171648466,      0.9457726457,      -1.314018059,                 0,                 0,                 0,       -2.52908482,      0.9457726457,      -1.314018059,                 0,       -1.38935934,   1.365579249e-14,   1.206616153e-12,                 0
          0,           0,           3,      -4.784066031,      -4.448927123,       -4.45271418,      -1.924469699,      -5.082931111,      0.0266165535,      -5.012145169,      0.4139506613,          16,      -6.237348668,               6,      -6.893042267,                4,      -6.180932697,    0.001025951536,     0.09133334279,            14.641,            14.641,            14.641,      0.2171648466,      0.8749242887,      -1.376268479,                 0,                 0,                 0,      -2.544998259,      0.8749242887,      -1.376268479,                 0,       -1.57301437,   1.385460854e-14,   1.395992155e-12,                 0
          0,           0,           4,      -4.913108597,      -4.491297774,      -4.498187091,      -2.053512266,      -5.324432779,     -0.2076828099,      -5.167039986,      0.4354387079,          17,      -6.134645716,               6,      -6.650517004,                4,      -6.242427129,    0.001035139871,     0.09179251374,           16.1051,           16.1051,           16.1051,      0.2171648466,      0.8688321826,      -1.545301139,                 0,                 0,                 0,           -2.7464,      0.8688321826,      -1.545301139,                 0,      -1.778595648,   2.694902615e-14,   1.392710421e-12,                 0
          0,           0,           5,      -4.995644273,      -4.512363699,      -4.545832935,      -2.136047941,      -5.517764769,     -0.3954367839,       -5.24664146,       0.454359089,          18,      -6.005469424,               6,      -6.440075424,                4,      -6.285821543,    0.001081641733,     0.09570935488,          17.71561,          17.71561,          17.71561,      0.2171648466,      0.8661472107,       -1.71825866,                 0,                 0,                 0,      -2.945173766,      0.8661472107,       -1.71825866,                 0,      -1.983795179,   2.191867457e-14,    1.39160875e-12,                 0
          0,           0,           6,      -5.048196308,      -4.531580351,      -4.593216836,      -2.188599976,      -5.680236531,     -0.5534611458,      -5.291520219,      0.4787245613,          20,      -6.270575608,               6,      -6.244404528,                4,      -6.316702079,    0.001154333184,      0.1020170772,         19.487171,         19.487171,         19.487171,      0.2171648466,       0.846559667,      -1.842129294,                 0,                 0,                 0,      -3.053438077,       0.846559667,      -1.842129294,                 0,      -2.176018261,   2.116417909e-14,   1.390348941e-12,                 0
          0,           0,           7,      -5.082106356,      -4.556924135,      -4.638158144,      -2.222510024,      -5.822242554,      -0.691857187,      -5.314728721,      0.5136105641,          21,      -6.188152939,               6,      -6.053928472,                4,       -6.34072562,    0.001249780247,      0.1103835897,        21.4358881,        21.4358881,        21.4358881,      0.2171648466,      0.8210354988,      -1.928658969,                 0,                 0,                 0,      -3.092176804,      0.8210354988,      -1.928658969,                 0,      -2.349056736,   9.060685871e-16,   1.401715818e-12,                 0
          0,           0,           8,      -5.103647764,      -4.592626061,      -4.678902802,      -2.244051433,      -5.950197892,     -0.8169354699,      -5.347302301,      0.6183923885,          22,      -6.123569252,               7,      -6.813752594,                4,      -6.381130041,    0.001367984894,      0.1208005048,       23.57947691,       23.57947691,       23.57947691,      0.2171648466,      0.8032154004,      -2.017892363,                 0,                 0,                 0,      -3.120864962,      0.8032154004,      -2.017892363,                 0,      -2.512268019,   7.430677485e-15,   1.401709243e-12,                 0
          0,           0,           9,      -5.119906035,      -4.630004369,      -4.713243168,      -2.260309703,      -6.067809213,      -0.932849564,      -5.387700221,      0.6519544022,          23,      -6.084367763,               7,      -6.589773271,                4,      -6.379317845,    0.001508532478,      0.1332244944,        25.9374246,        25.9374246,        25.9374246,      0.2171648466,      0.7974045172,      -2.143874782,                 0,                 0,                 0,      -3.187337264,      0.7974045172,      -2.143874782,                 0,      -2.688566137,  -5.877021976e-15,   1.119174304e-12,                 0
          0,           0,          10,      -5.144450436,      -4.650606797,      -4.729735887,      -2.284854104,      -6.177610802,      -1.042328946,      -5.409155419,      0.6368872283,          25,      -6.175992179,               7,      -6.368162032,                4,      -6.363275208,    0.001668811184,      0.1474119028,       28.53116706,       28.53116706,       28.53116706,      0.2171648466,      0.8012843804,      -2.314544228,                 0,                 0,                 0,      -3.308172494,      0.8012843804,      -2.314544228,                 0,        -2.8885428,   3.386902058e-15,   1.058356091e-12,                 0
