"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,       -4.21573801,      -17.88171883,      -21.44958671,      -1.356141679,      -3.891091502,       1.193987132,       -4.45469586,      -2.368505591,          13,      -6.470227318,               5,      -6.781579991,                5,      -6.506927498,    0.001140630883,      0.1078250141,                11,                11,                11,      0.2170264198,       1.137573599,       -1.35703576,                 0,                 0,                 0,      -2.794166979,       1.137573599,       -1.35703576,                 0,      -1.192921285,   7.369753996e-14,   1.339622034e-11,                 0
          0,           0,           1,      -4.410119639,      -4.212090427,      -4.360384304,      -1.550523308,      -4.364772531,      0.7274330694,      -4.788716276,      0.2528412883,          14,      -6.173588206,               5,      -6.343646815,                4,       -6.11305689,    0.001157195585,      0.1088929502,              12.1,              12.1,              12.1,      0.2170264198,       1.059598772,      -1.380075798,                 0,                 0,                 0,      -2.738504985,       1.059598772,      -1.380075798,                 0,      -1.302451299,  -2.052802121e-14,    1.45711237e-12,                 0
          0,           0,           2,      -4.618251248,        -4.3724413,      -4.416524808,      -1.758654916,      -4.768549506,       0.332327881,      -4.848563887,      0.3702312118,          15,      -6.218316475,               5,      -6.058762604,                4,      -6.184047757,     0.00109318669,      0.1020908923,             13.31,             13.31,             13.31,      0.2170264198,      0.9054075631,      -1.303643851,                 0,                 0,                 0,       -2.50311607,      0.9054075631,      -1.303643851,                 0,      -1.439842016,  -5.409753716e-14,   1.484874308e-12,                 0
          0,           0,           3,      -4.795521104,      -4.464871143,      -4.460537873,      -1.935924772,      -5.086052185,     0.02350734703,      -5.029641274,      0.4163679395,          16,       -6.21379074,               6,      -7.012322497,                4,      -6.288386081,    0.001035408394,      0.0960802961,            14.641,            14.641,            14.641,      0.2170264198,      0.8282260277,      -1.335928227,                 0,                 0,                 0,      -2.476161919,      0.8282260277,      -1.335928227,                 0,       -1.61299957,  -6.224498779e-14,   1.485091198e-12,                 0
          0,           0,           4,      -4.922581243,      -4.509505902,      -4.507328448,      -2.062984911,      -5.328426836,      -0.211632072,      -5.181093414,      0.4375446001,          17,      -6.257301354,               6,      -6.826614333,                4,      -6.359993716,    0.001038220399,     0.09600672621,           16.1051,           16.1051,           16.1051,      0.2170264198,      0.8200900358,      -1.479836708,                 0,                 0,                 0,      -2.645082372,      0.8200900358,      -1.479836708,                 0,      -1.804480781,  -5.672080689e-14,   1.456110655e-12,                 0
          0,           0,           5,      -5.005418916,      -4.528478542,      -4.556747786,      -2.145822584,      -5.521565542,     -0.3991572639,      -5.260409604,      0.4556355917,          18,      -6.311000592,               6,      -6.640195508,                4,      -6.407733911,    0.001080885254,      0.0997608613,          17.71561,          17.71561,          17.71561,      0.2170264198,      0.8223205133,      -1.641005091,                 0,                 0,                 0,      -2.834535629,      0.8223205133,      -1.641005091,                 0,      -1.995578444,  -4.947053358e-14,   1.468337219e-12,                 0
          0,           0,           6,      -5.058855691,      -4.544812984,      -4.605787844,      -2.199259359,      -5.683259777,     -0.5565600855,      -5.305948259,      0.4792394216,          19,      -6.222949305,               6,      -6.455477329,                4,      -6.443664537,    0.001149949308,      0.1060175281,         19.487171,         19.487171,         19.487171,      0.2170264198,      0.8106130406,      -1.763309874,                 0,                 0,                 0,      -2.950092253,      0.8106130406,      -1.763309874,                 0,      -2.175279431,  -4.757865038e-14,   1.469705735e-12,                 0
          0,           0,           7,      -5.095283299,      -4.565921279,      -4.650619666,      -2.235686967,      -5.824374151,     -0.6941379388,      -5.329841289,      0.5138332346,          20,      -6.121726449,               6,      -6.274082231,                4,      -6.477574615,    0.001239467214,      0.1141953533,        21.4358881,        21.4358881,        21.4358881,      0.2170264198,      0.7925673297,      -1.854494792,                 0,                 0,                 0,        -3.0048205,      0.7925673297,      -1.854494792,                 0,      -2.339857729,    -3.8727459e-14,   1.467291758e-12,                 0
          0,           0,           8,      -5.118958258,      -4.596519835,      -4.690025524,      -2.259361926,      -5.951000263,     -0.8181183234,       -5.35897432,      0.6169650311,          22,      -6.260003556,               6,       -6.09408319,                4,      -6.567121063,    0.001348900607,      0.1242354433,       23.57947691,       23.57947691,       23.57947691,      0.2170264198,      0.7807465416,      -1.953124561,                 0,                 0,                 0,      -3.054418451,      0.7807465416,      -1.953124561,                 0,      -2.501611544,  -4.896834285e-14,   1.474815792e-12,                 0
          0,           0,           9,      -5.135043349,      -4.631565404,      -4.723043363,      -2.275447017,      -6.066983075,      -0.932589457,      -5.400082386,      0.6495732039,          23,      -6.172127471,               7,      -6.703756333,                4,      -6.571256208,    0.001478560764,      0.1361621263,        25.9374246,        25.9374246,        25.9374246,      0.2170264198,      0.7792309663,      -2.093572142,                 0,                 0,                 0,      -3.145480108,      0.7792309663,      -2.093572142,                 0,       -2.68671579,  -5.968556564e-14,   1.467464643e-12,                 0
