"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.200142675,      -17.86207494,      -21.45047784,      -1.340546343,      -3.891580767,       1.193497874,      -4.441802188,      -2.355591712,           9,      -6.393822176,               5,       -6.99428323,                4,      -6.043518642,    0.001140630883,      0.1057628425,                11,                11,                11,      0.2174005553,       1.212998902,      -1.316098033,                 0,                 0,                 0,      -2.755888092,       1.212998902,      -1.316098033,                 0,      -1.084995238,  -9.272444105e-14,   1.363461208e-11,                 0
          0,           0,           1,      -4.397403568,      -4.203016207,      -4.355921013,      -1.537807237,      -4.365057777,      0.7271555526,      -4.781256933,      0.2521289941,          10,      -6.523544335,               5,      -6.435523303,                4,      -6.062966884,    0.001151533197,      0.1062495777,              12.1,              12.1,              12.1,      0.2174005553,       1.146242011,      -1.367300525,                 0,                 0,                 0,       -2.75192669,       1.146242011,      -1.367300525,                 0,       -1.19285501,  -1.192519417e-14,   1.511810389e-12,                 0
          0,           0,           2,      -4.597567327,      -4.357445031,      -4.411297873,      -1.737970995,      -4.767953727,      0.3329399069,      -4.829957138,      0.3691168725,          10,      -6.080645445,               5,      -6.049161224,                4,      -6.130914882,    0.001100407669,      0.1008071917,             13.31,             13.31,             13.31,      0.2174005553,      0.9937433679,      -1.332134179,                 0,                 0,                 0,      -2.577148323,      0.9937433679,      -1.332134179,                 0,      -1.340521328,  -1.793557909e-14,   1.499692803e-12,                 0
          0,           0,           3,      -4.771416917,      -4.449317399,       -4.45528721,      -1.911820585,      -5.086418502,     0.02315641925,      -4.998952356,      0.4161512168,          12,      -6.124177508,               6,      -6.916314188,                4,      -6.222029477,     0.00106236052,     0.09676221568,            14.641,            14.641,            14.641,      0.2174005553,      0.9114626312,      -1.398521701,                 0,                 0,                 0,       -2.59131982,      0.9114626312,      -1.398521701,                 0,       -1.53437086,  -1.839335209e-14,   1.493960426e-12,                 0
          0,           0,           4,      -4.895979443,      -4.497774501,      -4.498729315,      -2.036383112,      -5.332334873,     -0.2155033153,      -5.153726046,      0.4401847137,          14,      -6.016204157,               6,       -6.69841344,                4,      -6.292580589,    0.001067373015,     0.09687268728,           16.1051,           16.1051,           16.1051,      0.2174005553,       0.893112197,        -1.5621643,                 0,                 0,                 0,       -2.77608497,       0.893112197,        -1.5621643,                 0,       -1.74912436,  -2.922482746e-14,   1.485552907e-12,                 0
          0,           0,           5,      -4.978558341,      -4.520615164,      -4.543044507,      -2.118962009,      -5.528419779,     -0.4058869462,        -5.2346683,      0.4597535604,          17,       -6.37220384,               6,      -6.491764437,                4,      -6.338985983,    0.001113138747,      0.1008297489,          17.71561,          17.71561,          17.71561,      0.2174005553,      0.8851233798,      -1.734408889,                 0,                 0,                 0,      -2.969815539,      0.8851233798,      -1.734408889,                 0,      -1.959510876,  -4.711058565e-14,   1.485457297e-12,                 0
          0,           0,           6,      -5.033111555,      -4.540163207,      -4.589069198,      -2.173515224,       -5.69264765,     -0.5656251556,      -5.281048173,      0.4845801502,          18,      -6.056224554,               6,      -6.285415317,                4,      -6.370413393,    0.001190068457,      0.1076907447,         19.487171,         19.487171,         19.487171,      0.2174005553,      0.8652365207,      -1.862963406,                 0,                 0,                 0,       -3.08532681,      0.8652365207,      -1.862963406,                 0,      -2.153126182,  -5.746534832e-14,   1.178504442e-12,                 0
          0,           0,           7,      -5.068588497,      -4.565883417,      -4.636214867,      -2.208992166,      -5.836215931,     -0.7055342877,      -5.303784932,      0.5225275622,          21,      -6.321428162,               6,      -6.076075532,                4,      -6.397508394,    0.001293844676,      0.1170346224,        21.4358881,        21.4358881,        21.4358881,      0.2174005553,      0.8402558661,      -1.953109254,                 0,                 0,                 0,       -3.13216941,      0.8402558661,      -1.953109254,                 0,      -2.324422039,  -5.868793338e-14,   1.491428866e-12,                 0
          0,           0,           8,      -5.089741079,      -4.600959412,      -4.680256132,      -2.230144747,      -5.965825836,     -0.8322525302,      -5.336054053,       0.631357596,          22,      -6.097462699,               7,      -6.674672809,                4,      -6.480914258,    0.001422704716,      0.1286890321,       23.57947691,       23.57947691,       23.57947691,      0.2174005553,      0.8216889876,      -2.040003768,                 0,                 0,                 0,      -3.161341846,      0.8216889876,      -2.040003768,                 0,      -2.482695763,  -4.732789295e-14,   1.481862174e-12,                 0
          0,           0,           9,      -5.103980404,      -4.637140804,      -4.715603204,      -2.244384072,      -6.085362296,     -0.9499757435,      -5.377614516,      0.6577017312,          23,      -6.013693201,               7,      -6.447493203,                4,      -6.464787069,    0.001574718044,      0.1424694226,        25.9374246,        25.9374246,        25.9374246,      0.2174005553,      0.8137867069,      -2.157471267,                 0,                 0,                 0,      -3.219511467,      0.8137867069,      -2.157471267,                 0,      -2.651150785,  -4.999636034e-14,    1.48143849e-12,                 0
