"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -8.773598585,      -7.379078877,      -7.886545618,      -5.914002253,      -8.057407337,      -6.424119811,      -7.141797903,      -2.837498685,          14,        -6.0315268,               7,      -6.765582538,                8,      -6.054682688,   2.927783732e-05,     0.02666226667,                11,                11,                11,      0.2168439791,      0.3653583604,      -2.055107801,                 0,                 0,                 0,      -2.360482711,      0.3653583604,      -2.055107801,                 0,      -5.624909742,  -1.579899251e-14,   1.131982226e-12,                 0
          0,           0,           1,      -8.906850828,      -7.459195939,      -8.124883349,      -6.047254496,      -8.058167603,      -6.494070083,      -7.144006531,      -2.859285252,          15,      -6.112481614,               7,      -6.503604104,                8,      -6.065671931,   3.220464532e-05,     0.02932876898,              12.1,              12.1,              12.1,      0.2168439791,      0.3653583248,      -2.055109827,                 0,                 0,                 0,      -2.360484151,      0.3653583248,      -2.055109827,                 0,      -5.624915836,  -1.976828928e-14,   1.126183142e-12,                 0
          0,           0,           2,      -9.012123141,      -7.467105513,      -8.197580803,      -6.152526809,      -8.058577161,       -6.54243159,       -7.14608696,      -2.866689102,          16,       -6.13441348,               7,      -6.231297501,                8,      -6.071556607,   3.542393015e-05,     0.03226185242,             13.31,             13.31,             13.31,      0.2168439791,        0.36535847,      -2.055111082,                 0,                 0,                 0,       -2.36048563,        0.36535847,      -2.055111082,                 0,      -5.624917036,  -1.733305709e-14,   1.126301915e-12,                 0
          0,           0,           3,      -9.064037295,      -7.468007224,      -8.221116822,      -6.204440963,      -8.058859951,      -6.567833757,      -7.148090016,      -2.869376028,          17,      -6.143655488,               8,      -6.708767744,                8,      -6.073875038,   3.896489649e-05,     0.03548822732,            14.641,            14.641,            14.641,      0.2168439791,      0.3653585892,      -2.055114159,                 0,                 0,                 0,      -2.360488932,      0.3653585892,      -2.055114159,                 0,      -5.624923623,  -1.181936252e-14,   1.126848369e-12,                 0
          0,           0,           4,      -9.086491411,      -7.468389733,      -8.233779259,      -6.226895079,      -8.059088203,      -6.580685907,      -7.150027107,      -2.870777252,          18,      -6.097018177,               8,      -6.442241046,                8,      -6.074672883,   4.285966056e-05,     0.03903722998,           16.1051,           16.1051,           16.1051,      0.2168439791,      0.3653583176,      -2.055119344,                 0,                 0,                 0,       -2.36049374,      0.3653583176,      -2.055119344,                 0,      -5.624941994,  -9.334886968e-15,    1.13094788e-12,                 0
          0,           0,           5,      -9.097748438,      -7.468698052,      -8.241944612,      -6.238152107,      -8.059296481,      -6.586124227,      -7.151912939,      -2.871747318,          19,      -6.050314411,               8,      -6.208833901,                8,      -6.075115885,   4.714353939e-05,      0.0429411009,          17.71561,          17.71561,          17.71561,      0.2168439791,      0.3653576867,      -2.055124804,                 0,                 0,                 0,      -2.360498512,      0.3653576867,      -2.055124804,                 0,      -5.624966652,  -1.256887711e-14,   1.151745587e-12,                 0
          0,           0,           6,      -9.106344954,      -7.468968577,      -8.247077113,      -6.246748623,      -8.059511173,      -6.586911186,      -7.153771345,      -2.872554644,          21,      -6.293887582,               8,      -6.004823265,                8,      -6.075708037,   5.185536867e-05,     0.04723530256,         19.487171,         19.487171,         19.487171,      0.2168439791,      0.3653571561,      -2.055128858,                 0,                 0,                 0,      -2.360502334,      0.3653571561,      -2.055128858,                 0,      -5.624985917,  -5.558254932e-15,   1.162317147e-12,                 0
          0,           0,           7,      -9.114233414,      -7.469215145,      -8.250501189,      -6.254637082,      -8.059730001,      -6.585190487,      -7.155627022,      -2.873257334,          22,      -6.206407456,               9,      -6.408185456,                8,      -6.076441862,   5.703785182e-05,     0.05195885315,        21.4358881,        21.4358881,        21.4358881,      0.2168439791,      0.3653572074,      -2.055131339,                 0,                 0,                 0,      -2.360505531,      0.3653572074,      -2.055131339,                 0,      -5.624991918,   1.141729752e-14,   1.329836281e-12,                 0
          0,           0,           8,      -9.120241759,      -7.469428399,      -8.253164096,      -6.260645428,      -8.059963956,      -6.581569163,      -7.157495996,      -2.873999777,          23,      -6.086662485,               9,      -6.183377582,                8,      -6.076755873,   6.273794355e-05,     0.05715468424,       23.57947691,       23.57947691,       23.57947691,      0.2168439791,      0.3653580084,      -2.055133029,                 0,                 0,                 0,      -2.360508797,      0.3653580084,      -2.055133029,                 0,      -5.624984214,   1.203153435e-15,   1.316314962e-12,                 0
          0,           0,           9,      -9.124751682,      -7.469612235,      -8.255316498,       -6.26515535,      -8.060214404,       -6.57678827,      -7.159384371,       -2.87469761,          25,      -6.171573521,              10,      -6.495126751,                8,       -6.07623254,   6.900727098e-05,     0.06287002452,        25.9374246,        25.9374246,        25.9374246,      0.2168439791,      0.3653593861,      -2.055134687,                 0,                 0,                 0,      -2.360512412,      0.3653593861,      -2.055134687,                 0,       -5.62496754,   9.883160574e-15,   1.316394684e-12,                 0
