"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.057636416,      -18.08613376,      -21.44455965,      -1.198040084,      -4.439032627,      0.6460500743,      -4.290017249,      -2.203456272,          13,      -6.352262717,               5,      -6.305452115,                5,      -6.217309114,    0.001176677487,     0.04672745505,                11,                11,                11,      0.2170715516,      0.8518593892,      -1.370323811,                 0,                 0,                 0,      -2.456920029,      0.8518593892,      -1.370323811,                 0,      -1.608626762,   1.224312267e-13,   8.928806815e-12,                 0
          0,           0,           1,       -4.24037023,       -4.02754455,      -4.196038776,      -1.380773898,      -4.811528347,      0.2823113081,      -4.658338599,     -0.4025610289,          14,      -6.259046005,               6,      -7.039226541,                5,      -6.534124031,    0.001140513882,     0.04475781215,              12.1,              12.1,              12.1,      0.2170715516,      0.8190559401,      -1.409402231,                 0,                 0,                 0,      -2.463852288,      0.8190559401,      -1.409402231,                 0,      -1.720764311,  -6.615519291e-15,   1.045472656e-12,                 0
          0,           0,           2,      -4.438496479,      -4.209459996,      -4.233960999,      -1.578900147,       -5.10525355,   -0.003088084262,      -4.731894463,     -0.2784577933,          15,      -6.131100145,               6,      -6.688859039,                5,      -6.546394794,    0.001206044227,     0.04717012122,             13.31,             13.31,             13.31,      0.2170715516,      0.6628829204,       -1.29640078,                 0,                 0,                 0,      -2.160285237,      0.6628829204,       -1.29640078,                 0,      -1.955700984,  -7.184463135e-15,   1.000978889e-12,                 0
          0,           0,           3,      -4.583578868,      -4.327427035,      -4.288242491,      -1.723982537,      -5.346795233,     -0.2373975992,      -4.935589107,     -0.2328077539,          16,      -6.023636868,               6,      -6.459996747,                5,      -6.606747002,    0.001226448918,      0.0476669201,            14.641,            14.641,            14.641,      0.2170715516,      0.5541422483,      -1.281661502,                 0,                 0,                 0,      -1.981195161,      0.5541422483,      -1.281661502,                 0,      -2.312874548,  -1.959972308e-14,     1.0714421e-12,                 0
          0,           0,           4,       -4.67060467,      -4.399766478,       -4.34149966,      -1.811008339,      -5.542728311,     -0.4275993613,      -5.103615384,     -0.2125613311,          17,      -6.069897067,               6,      -6.289759264,                5,      -6.675732205,     0.00124774767,     0.04821627627,           16.1051,           16.1051,           16.1051,      0.2170715516,      0.5370936841,      -1.452586366,                 0,                 0,                 0,       -2.07934243,      0.5370936841,      -1.452586366,                 0,      -2.704530716,  -4.054944629e-14,    1.08952449e-12,                 0
          0,           0,           5,      -4.735190711,      -4.440047969,      -4.375176736,       -1.87559438,      -5.704872016,     -0.5855686158,      -5.186817825,     -0.1999692041,          19,      -6.265592091,               6,      -6.107709423,                5,      -6.716284346,    0.001313738761,     0.05061311387,          17.71561,          17.71561,          17.71561,      0.2170715516,      0.5799128906,      -1.740102514,                 0,                 0,                 0,      -2.367448836,      0.5799128906,      -1.740102514,                 0,      -3.000627409,  -5.193499015e-14,   1.108124953e-12,                 0
          0,           0,           6,      -4.785777689,      -4.464537587,      -4.395914357,      -1.926181357,        -5.8464859,     -0.7235807539,      -5.236554973,     -0.1850562655,          20,      -6.213503414,               7,      -6.752193424,                5,      -6.742627145,    0.001408761144,     0.05418200728,         19.487171,         19.487171,         19.487171,      0.2170715516,      0.6341856169,       -2.03685849,                 0,                 0,                 0,      -2.692693315,      0.6341856169,       -2.03685849,                 0,      -3.211770239,  -4.647927875e-14,   1.106677893e-12,                 0
          0,           0,           7,      -4.826768745,      -4.483300656,      -4.410319921,      -1.967172413,      -5.974675203,     -0.8483347871,      -5.258036805,     -0.1653592697,          21,      -6.077420163,               7,      -6.544486866,                5,      -6.763828184,    0.001522599192,     0.05849330299,        21.4358881,        21.4358881,        21.4358881,      0.2170715516,      0.6770003299,      -2.301039754,                 0,                 0,                 0,      -2.990676878,      0.6770003299,      -2.301039754,                 0,      -3.398875381,  -5.918145024e-14,   1.103933127e-12,                 0
          0,           0,           8,      -4.860016432,      -4.499799182,      -4.424394361,      -2.000420101,      -6.092543586,     -0.9635705663,      -5.265624068,     -0.1408153368,          23,      -6.195312312,               7,      -6.338908343,                5,      -6.782712092,     0.00165241926,     0.06342581602,       23.57947691,       23.57947691,       23.57947691,      0.2170715516,      0.7108594262,      -2.550018454,                 0,                 0,                 0,       -3.27992082,      0.7108594262,      -2.550018454,                 0,      -3.587233087,  -5.877527014e-14,   1.101172693e-12,                 0
          0,           0,           9,      -4.885276621,      -4.513968502,       -4.43983304,      -2.025680289,      -6.201637402,      -1.071686659,      -5.266769314,     -0.1116617694,          24,      -6.035355529,               7,      -6.134042492,                5,      -6.800051302,    0.001798797872,     0.06899887763,        25.9374246,        25.9374246,        25.9374246,      0.2170715516,      0.7461328536,      -2.813308063,                 0,                 0,                 0,      -3.599300513,      0.7461328536,      -2.813308063,                 0,      -3.770518948,  -2.444494467e-14,   1.109222317e-12,                 0
