"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,       -4.04656264,       -18.0768634,      -21.44475036,      -1.186966308,      -4.438965922,       0.646116877,      -4.279620878,      -2.193383951,          13,      -6.307586788,               5,      -6.172661723,                5,      -6.348462024,    0.001176677487,     0.04672745505,                11,                11,                11,      0.2171648466,       1.167988402,      -1.343471671,                 0,                 0,                 0,      -2.773394026,       1.167988402,      -1.343471671,                 0,      -1.150244017,  -2.231253612e-13,   1.076002882e-11,                 0
          0,           0,           1,      -4.229783182,      -4.021171421,       -4.18190676,       -1.37018685,      -4.811458334,      0.2823817623,       -4.65164269,     -0.4024955569,          14,      -6.166593426,               6,      -6.941815318,                5,      -6.401034296,    0.001145086692,     0.04495300693,              12.1,              12.1,              12.1,      0.2171648466,       1.083631333,      -1.324112489,                 0,                 0,                 0,      -2.645781962,       1.083631333,      -1.324112489,                 0,       -1.22192156,  -3.317482497e-14,   1.183472664e-12,                 0
          0,           0,           2,      -4.430097842,      -4.192486561,      -4.226030264,       -1.57050151,      -5.105804657,   -0.003632689915,      -4.731370227,     -0.2779867983,          15,      -6.011763227,               6,      -6.687191845,                5,      -6.465897578,    0.001143693551,      0.0445388209,             13.31,             13.31,             13.31,      0.2171648466,       0.893878693,      -1.195668666,                 0,                 0,                 0,      -2.284307176,       0.893878693,      -1.195668666,                 0,      -1.337618488,  -4.219250834e-14,   1.167194614e-12,                 0
          0,           0,           3,      -4.587677183,       -4.29133547,      -4.264437563,      -1.728080851,      -5.339366342,      -0.230116478,      -4.935002209,     -0.2376631111,          17,      -6.292413328,               6,      -6.562437819,                5,      -6.588053742,    0.001096676613,     0.04227931831,            14.641,            14.641,            14.641,      0.2171648466,      0.7799985455,      -1.234550534,                 0,                 0,                 0,      -2.178165924,      0.7799985455,      -1.234550534,                 0,      -1.582760046,  -4.848174988e-14,   1.160463474e-12,                 0
          0,           0,           4,      -4.686760389,      -4.352743618,      -4.304339343,      -1.827164058,      -5.521590355,     -0.4069652295,      -5.094910059,     -0.2247072757,          18,      -6.247408832,               6,      -6.422889261,                5,       -6.66621834,    0.001108622543,     0.04250509194,           16.1051,           16.1051,           16.1051,      0.2171648466,      0.7640668669,      -1.491796379,                 0,                 0,                 0,        -2.4135056,      0.7640668669,      -1.491796379,                 0,       -1.95244218,  -3.680175792e-14,   1.149487263e-12,                 0
          0,           0,           5,      -4.751324067,       -4.38518769,      -4.334833326,      -1.891727735,      -5.673073669,     -0.5542893608,      -5.178725766,     -0.2155282196,          19,      -6.165335863,               6,      -6.257702068,                5,      -6.709604221,    0.001165038529,      0.0445441749,          17.71561,          17.71561,          17.71561,      0.2171648466,       0.797750324,      -1.838455559,                 0,                 0,                 0,       -2.80186737,       0.797750324,      -1.838455559,                 0,      -2.304550063,  -2.717598946e-14,   1.179909375e-12,                 0
          0,           0,           6,      -4.798857179,      -4.406305165,      -4.353323491,      -1.939260847,      -5.805746416,     -0.6838309748,      -5.220551567,     -0.2027093331,          20,      -6.003492516,               6,      -6.072026813,                5,      -6.730139465,    0.001256002276,     0.04796533894,         19.487171,         19.487171,         19.487171,      0.2171648466,       0.847429729,      -2.156131652,                 0,                 0,                 0,      -3.178921739,       0.847429729,      -2.156131652,                 0,      -2.544319108,  -2.315943806e-14,   1.469909506e-12,                 0
          0,           0,           7,      -4.838694164,      -4.426135632,      -4.363911243,      -1.979097832,      -5.927156467,     -0.8022532601,      -5.237217196,     -0.1841387994,          22,      -6.131488723,               7,      -6.665845428,                5,       -6.73883056,    0.001374147673,     0.05246073023,        21.4358881,        21.4358881,        21.4358881,      0.2171648466,       0.905625414,      -2.435618516,                 0,                 0,                 0,      -3.524662114,       0.905625414,      -2.435618516,                 0,      -2.689432604,  -5.183867381e-14,   1.472883865e-12,                 0
          0,           0,           8,      -4.870209099,      -4.445848226,      -4.376273281,      -2.010612768,      -6.040829467,     -0.9133322334,      -5.245495004,     -0.1597308048,          24,      -6.246642467,               7,      -6.449746118,                5,      -6.746641182,     0.00151056914,     0.05766669233,       23.57947691,       23.57947691,       23.57947691,      0.2171648466,      0.9709543103,      -2.727959146,                 0,                 0,                 0,      -3.886856681,      0.9709543103,      -2.727959146,                 0,      -2.809564897,  -4.639775015e-14,   1.469065956e-12,                 0
          0,           0,           9,      -4.892248272,      -4.463287393,      -4.392633587,       -2.03265194,      -6.147434121,        -1.0190224,      -5.250010745,     -0.1303433758,          25,      -6.010828549,               7,      -6.252912334,                5,      -6.764597044,    0.001652310436,     0.06305731951,        25.9374246,        25.9374246,        25.9374246,      0.2171648466,       1.038539641,      -3.070144952,                 0,                 0,                 0,        -4.2947561,       1.038539641,      -3.070144952,                 0,      -2.956213543,  -6.861101157e-14,   1.475854052e-12,                 0
