"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -5.905301959,      -5.151743914,       -5.28788341,      -3.045705627,      -6.155325473,      -3.674934217,      -5.625542617,     -0.9355127207,          15,      -6.309063477,               6,      -6.172197441,                6,      -6.222888102,   0.0002374778568,     0.03088634709,                11,                11,                11,      0.2170264198,      0.2475671582,      -1.388606142,                 0,                 0,                 0,      -1.603326434,      0.2475671582,      -1.388606142,                 0,      -5.609007885,  -5.878407618e-14,   1.216686426e-12,                 0
          0,           0,           1,      -5.922552228,      -5.187354651,       -5.32080722,      -3.062955896,      -6.155870348,      -3.673402243,      -5.641857293,      -1.082454797,          16,      -6.376468551,               7,      -6.734143537,                6,      -6.139599563,   0.0002614563725,     0.03400567291,              12.1,              12.1,              12.1,      0.2170264198,      0.2488316286,      -1.390625825,                 0,                 0,                 0,      -1.607019829,      0.2488316286,      -1.390625825,                 0,      -5.588621641,  -5.927093918e-14,   1.216641584e-12,                 0
          0,           0,           2,       -5.94954132,      -5.197141631,      -5.328868169,      -3.089944988,      -6.156281859,      -3.672140308,      -5.649967108,      -1.151597383,          16,      -6.015657808,               7,      -6.548938372,                6,      -6.118471824,   0.0002879212585,     0.03744285861,             13.31,             13.31,             13.31,      0.2170264198,      0.2503802132,      -1.393139068,                 0,                 0,                 0,      -1.611556646,      0.2503802132,      -1.393139068,                 0,      -5.564094104,  -6.065341787e-14,   1.216718522e-12,                 0
          0,           0,           3,      -5.955262072,      -5.199550009,      -5.330730552,       -3.09566574,      -6.156674463,      -3.671186412,      -5.657669132,       -1.16644432,          17,       -6.07343335,               7,      -6.362787106,                6,      -6.136056412,   0.0003171418875,      0.0412294326,            14.641,            14.641,            14.641,      0.2170264198,      0.2522930828,       -1.39648008,                 0,                 0,                 0,      -1.617361514,      0.2522930828,       -1.39648008,                 0,      -5.535150092,  -5.813002674e-14,   1.216718039e-12,                 0
          0,           0,           4,      -5.957959668,      -5.199904766,       -5.33044142,      -3.098363336,      -6.157148301,      -3.670454181,      -5.664454772,      -1.153520622,          18,      -6.043003658,               7,      -6.175167145,                6,       -6.17007755,   0.0003494195073,     0.04540073691,           16.1051,           16.1051,           16.1051,      0.2170264198,      0.2546286752,      -1.400994345,                 0,                 0,                 0,      -1.624842078,      0.2546286752,      -1.400994345,                 0,      -5.502107506,  -5.940244047e-14,   1.216641584e-12,                 0
          0,           0,           5,      -5.957597708,      -5.199539741,      -5.329399671,      -3.098001376,      -6.157770464,      -3.669711964,       -5.67049775,      -1.127164834,          20,      -6.294470409,               8,      -6.837990801,                6,      -6.210709217,   0.0003833251224,     0.04999659599,          17.71561,          17.71561,          17.71561,      0.2170264198,      0.2573617788,      -1.406770031,                 0,                 0,                 0,      -1.634075611,      0.2573617788,      -1.406770031,                 0,      -5.466118694,  -5.514188995e-14,   1.216684997e-12,                 0
          0,           0,           6,      -5.956540273,      -5.198795749,      -5.327887587,      -3.096943941,       -6.15857636,      -3.668579514,      -5.675728181,      -1.093613074,          21,      -6.216776762,               8,       -6.61243951,                6,      -6.252343314,   0.0004179991523,     0.05506092571,         19.487171,         19.487171,         19.487171,      0.2170264198,      0.2603910205,      -1.413579574,                 0,                 0,                 0,      -1.644766961,      0.2603910205,      -1.413579574,                 0,      -5.428680188,  -5.714841602e-14,   1.216676443e-12,                 0
          0,           0,           7,      -5.954657273,      -5.197725454,      -5.325972282,      -3.095060941,      -6.159569551,      -3.666797609,      -5.680245089,      -1.057711216,          22,      -6.108935144,               8,      -6.388248734,                6,      -6.291308913,   0.0004554963642,      0.0606421655,        21.4358881,        21.4358881,        21.4358881,      0.2170264198,      0.2636027451,      -1.421060395,                 0,                 0,                 0,      -1.656471014,      0.2636027451,      -1.421060395,                 0,      -5.390916526,  -5.957485631e-14,   1.216736664e-12,                 0
          0,           0,           8,      -5.952278062,      -5.196355092,      -5.323662928,      -3.092681731,      -6.160728497,      -3.664266512,      -5.684087187,      -1.019760955,          24,      -6.233126648,               8,      -6.168958895,                6,      -6.328135487,   0.0004959953078,      0.0667939033,       23.57947691,       23.57947691,       23.57947691,      0.2170264198,      0.2669256997,      -1.428937086,                 0,                 0,                 0,      -1.668828061,      0.2669256997,      -1.428937086,                 0,         -5.353314,  -5.876607586e-14,   1.216675277e-12,                 0
          0,           0,           9,      -5.949384154,      -5.194698762,      -5.320935789,      -3.089787822,      -6.162018687,       -3.66098355,        -5.6872673,     -0.9814209304,          25,      -6.081748835,               9,      -6.553248679,                6,      -6.360864798,   0.0005396812883,     0.07357561052,        25.9374246,        25.9374246,        25.9374246,      0.2170264198,      0.2703372854,      -1.437114754,                 0,                 0,                 0,      -1.681644889,      0.2703372854,      -1.437114754,                 0,      -5.316006456,  -5.704000563e-14,   1.216690458e-12,                 0
