"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -4.156041563,      -17.62912443,      -21.44928076,      -1.296445231,      -3.636382906,       1.448695899,      -4.276952528,      -2.200416165,          10,      -6.027507753,               4,      -6.134059781,                5,       -6.82960729,     0.00414414937,      0.1068124174,                11,                11,                11,      0.1561387101,      0.4185937429,      -0.581190467,                 0,                 0,                 0,     -0.9624310724,      0.4185937429,      -0.581190467,                 0,       -1.38843563,  -3.238048985e-13,   5.288236337e-12,                 0
          0,           0,           1,      -4.243208106,       -4.03582216,      -4.287564122,      -1.383611774,      -4.110801351,      0.9814067823,      -4.569889504,      0.5078024913,          12,      -6.069002311,               5,      -6.662562982,                4,      -6.203436734,    0.004456192079,      0.1145786218,              12.1,              12.1,              12.1,      0.1561387101,      0.3666660349,     -0.6203584517,                 0,                 0,                 0,     -0.9549763871,      0.3666660349,     -0.6203584517,                 0,      -1.691889602,  -3.568018175e-14,   5.877043555e-13,                 0
          0,           0,           2,      -4.485062439,      -4.223118307,      -4.313623815,      -1.625466107,      -4.524591113,      0.5762373782,      -4.588255057,      0.6297695611,          14,      -6.169102077,               5,      -6.171318329,                4,      -6.213132905,    0.004677192873,      0.1196863856,             13.31,             13.31,             13.31,      0.1561387101,      0.2674164514,     -0.5810977034,                 0,                 0,                 0,      -0.837610231,      0.2674164514,     -0.5810977034,                 0,      -2.173006561,  -4.772357443e-14,   5.591076002e-13,                 0
          0,           0,           3,      -4.636764361,      -4.338946778,      -4.434993095,      -1.777168029,      -4.870054267,      0.2398068209,      -4.778638292,      0.6900418722,          15,      -6.130700467,               6,      -6.975016491,                4,      -6.246713332,    0.004894768073,      0.1246509747,            14.641,            14.641,            14.641,      0.1561387101,      0.2015085186,     -0.5538374995,                 0,                 0,                 0,     -0.7547109631,      0.2015085186,     -0.5538374995,                 0,      -2.748457005,  -2.987970341e-14,   5.335634733e-13,                 0
          0,           0,           4,      -4.693336006,      -4.415905195,      -4.635257353,      -1.833739675,      -5.153396427,      -0.035141633,      -4.917831468,      0.7331237816,          16,      -6.034776531,               6,      -6.644783477,                4,      -6.274904294,    0.005226796443,      0.1327407842,           16.1051,           16.1051,           16.1051,      0.1561387101,      0.1774055934,     -0.5569489828,                 0,                 0,                 0,     -0.7330684105,      0.1774055934,     -0.5569489828,                 0,      -3.139410501,  -1.460075932e-14,   5.156407679e-13,                 0
          0,           0,           5,      -4.749881188,      -4.471961282,      -4.783014249,      -1.890284856,      -5.390308148,     -0.2646998285,      -4.985542553,      0.7735381876,          17,      -6.026411195,               6,      -6.348773878,                4,      -6.295483093,    0.005673823902,      0.1439208749,          17.71561,          17.71561,          17.71561,      0.1561387101,      0.1819569405,     -0.5849719495,                 0,                 0,                 0,     -0.7598770259,      0.1819569405,     -0.5849719495,                 0,      -3.214892204,  -2.118265642e-14,   4.977447969e-13,                 0
          0,           0,           6,      -4.840288099,      -4.518550445,      -4.762222946,      -1.980691767,      -5.594506385,     -0.4626783899,      -5.049549075,      0.8187974605,          19,      -6.253280602,               6,      -6.103377866,                4,      -6.325173027,    0.006074434872,      0.1537134531,         19.487171,         19.487171,         19.487171,      0.1561387101,      0.2004719875,     -0.6434477732,                 0,                 0,                 0,     -0.8272853418,      0.2004719875,     -0.6434477732,                 0,      -3.209664259,  -2.094567536e-14,   6.055713005e-13,                 0
          0,           0,           7,      -4.938895687,      -4.551124948,      -4.754546852,      -2.079299356,      -5.772571621,     -0.6355154265,      -5.117635913,      0.9283940607,          20,        -6.0348105,               7,      -6.739773789,                4,      -6.414793151,    0.006412933357,      0.1617110489,        21.4358881,        21.4358881,        21.4358881,      0.1561387101,      0.2191977241,       -0.73671073,                 0,                 0,                 0,     -0.9233826755,      0.2191977241,       -0.73671073,                 0,      -3.360941511,  -2.416077207e-14,   6.125716657e-13,                 0
          0,           0,           8,      -4.993085524,      -4.575395994,      -4.789195784,      -2.133489193,      -5.930100247,       -0.78790314,      -5.182881333,      0.9583152104,          22,      -6.096357426,               7,      -6.548259213,                4,      -6.434832335,    0.006794433772,      0.1708060187,       23.57947691,       23.57947691,       23.57947691,      0.1561387101,      0.2274697836,     -0.8480116358,                 0,                 0,                 0,      -1.019813413,      0.2274697836,     -0.8480116358,                 0,      -3.728018827,  -2.313160981e-14,   6.365109039e-13,                 0
          0,           0,           9,      -4.998844123,      -4.601275874,      -4.821604908,      -2.139247792,      -6.071634322,     -0.9251311692,      -5.226357712,      0.9178260501,          23,      -6.015600546,               7,      -6.355867178,                4,      -6.355440265,    0.007229815853,      0.1812766512,        25.9374246,        25.9374246,        25.9374246,      0.1561387101,      0.2229369129,     -0.9510294509,                 0,                 0,                 0,      -1.090377924,      0.2229369129,     -0.9510294509,                 0,      -4.265912892,  -1.873809113e-14,   6.129831895e-13,                 0
