"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,1.6307189042932355
2.0,1.5420242842049905
3.0,0.5196135357526548
4.0,0.1045760805477262
5.0,-0.4422932493100737
6.0,-0.446486503431622
7.0,-0.46953962490037165
8.0,-0.5259330482906837
9.0,-0.7498137108018212
10.0,-0.9167636860922161
11.0,-0.8956289027393572
12.0,-0.710132041581579
13.0,-0.6876148781731946
14.0,-0.3282055465306306
15.0,-0.2802361146104434
16.0,-0.148564271648918
17.0,-0.1392731801263864
18.0,-0.11379182388571037
19.0,-0.11938933125069359
20.0,-0.1812607659457853
21.0,-0.1949201129445837
22.0,-0.3231860827023475
23.0,-0.3311722517764778
24.0,-0.33533177737003866
25.0,-0.3385932059093049
26.0,-0.3390931095204126
27.0,-0.3352272514802455
28.0,-0.332333749718941
29.0,-0.3239449434270215
30.0,-0.3184086445002534
31.0,-0.3115223175150417
32.0,-0.29626139286605746
33.0,-0.28788554430414126
34.0,-0.27905077558552566
35.0,-0.26270498902109285
36.0,-0.2554416267283521
37.0,-0.24866914387144418
38.0,-0.23750600788526985
39.0,-0.23340377509901605
40.0,-0.23056326908597174
41.0,-0.22846579079938426
42.0,-0.22757633960429943
43.0,-0.22752735607265803
44.0,-0.2282128790764168
45.0,-0.23013670967259886
46.0,-0.2319042605553757
47.0,-0.23500474100973417
48.0,-0.2379832420058544
49.0,-0.24430478106789158
50.0,-0.24760386527115438
51.0,-0.2505423315773105
52.0,-0.25462754204841925
53.0,-0.2561245624317392
54.0,-0.2568368424691041
55.0,-0.2568996928887986
56.0,-0.25613066493673203
57.0,-0.25501756459956576
58.0,-0.2531674390518853
59.0,-0.25017777546258857
60.0,-0.24748813137654418
61.0,-0.2436748917752552
62.0,-0.24039059098300586
63.0,-0.23407928654452195
64.0,-0.23050369128397677
65.0,-0.2238929130974705
66.0,-0.2207553804507172
67.0,-0.21545778248839104
68.0,-0.2111922969925961
69.0,-0.20776161888132122
70.0,-0.20489550214108088
71.0,-0.20264927519011033
72.0,-0.20072693617522322
73.0,-0.19907373803545111
74.0,-0.1982423428714937
75.0,-0.19747515380368494
76.0,-0.1966674910243225
77.0,-0.19482238810940414
78.0,-0.19380144284904496
79.0,-0.19021335455581234
80.0,-0.18823182415626083
81.0,-0.18440538725355232
82.0,-0.18325528087928689
83.0,-0.18052436974628058
84.0,-0.1792698141872987
85.0,-0.17799682584986656
86.0,-0.17701408732462226
87.0,-0.17669042799474216
88.0,-0.17692873671469442
89.0,-0.17812454443188963
90.0,-0.1797775252722227
91.0,-0.18303756697442583
92.0,-0.1871757121368159
93.0,-0.19063064920196277
94.0,-0.1957809529517941
95.0,-0.20138399948278735
96.0,-0.20692317603397173
97.0,-0.2124672700728263
98.0,-0.21806318513056644
99.0,-0.22078294920163954
100.0,-0.22471579203151273
101.0,-0.2276647106593012
102.0,-0.22961606691805805
103.0,-0.23166740872504765
104.0,-0.23270699109727797
105.0,-0.2333768185911905
106.0,-0.2331668721980288
107.0,-0.23205458860463946
108.0,-0.2310953043386695
109.0,-0.2284634514653169
110.0,-0.22688193371890603
111.0,-0.22459836142724818
112.0,-0.222842245324525
113.0,-0.2206991599701114
114.0,-0.219397879259381
115.0,-0.2184424731511946
116.0,-0.2177565492439042
117.0,-0.2176004004002902
118.0,-0.21752164321907902
119.0,-0.21770792843954817
120.0,-0.21820649750826418
121.0,-0.21926510999090523
122.0,-0.21998143974389175
123.0,-0.22118720459652108
124.0,-0.22222055365432583
125.0,-0.22427485657927893
126.0,-0.22591512866056898
127.0,-0.2279552423472057
128.0,-0.2295803358445762
129.0,-0.23065054451330178
130.0,-0.23158204371490515
131.0,-0.2315881022670182
132.0,-0.2311689573252382
133.0,-0.23028568130801172
134.0,-0.22943527759474805
135.0,-0.22760285079466983
136.0,-0.22633442692028835
137.0,-0.22514782313782852
138.0,-0.22347085973376474
139.0,-0.22293629800920248
140.0,-0.22226279590703016
141.0,-0.2217678264462866
142.0,-0.22169297408694713
143.0,-0.22199659261178623
144.0,-0.22271040152984525
145.0,-0.22376290032759455
146.0,-0.22503213798938193
147.0,-0.22648031323683468
148.0,-0.22799989305309604
149.0,-0.2300788306592662
150.0,-0.2314391636029039
151.0,-0.23349498265971097
152.0,-0.23541717415841168
153.0,-0.2371882680988674
154.0,-0.23894006058805725
155.0,-0.24043871614290427
156.0,-0.2416548907329814
157.0,-0.2424682279369435
158.0,-0.24286905928189825
159.0,-0.24318125626048367
160.0,-0.24304643164068623
161.0,-0.24256715407437343
162.0,-0.24196642591583742
163.0,-0.24012519368739668
164.0,-0.23920465516302145
165.0,-0.23844143897002285
166.0,-0.23779449477725179
167.0,-0.23733534594534217
168.0,-0.23717971335493762
169.0,-0.23727383875238106
170.0,-0.2376865605278871
171.0,-0.23847566739346276
172.0,-0.23949556646437578
