"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,1.6307190002661003
2.0,1.5420243457634324
3.0,0.5196135505550563
4.0,0.10457608228632666
5.0,-0.44229326772393757
6.0,-0.4464865240210377
7.0,-0.4695396443584471
8.0,-0.5259330687187879
9.0,-0.7498137408835026
10.0,-0.9167637257615919
11.0,-0.8956289411500545
12.0,-0.7101320717155324
13.0,-0.6876149058011158
14.0,-0.32820556074495166
15.0,-0.28023612740151815
16.0,-0.14856427827472435
17.0,-0.13927318515660372
18.0,-0.11379182966699904
19.0,-0.11938933538132378
20.0,-0.1812607743150895
21.0,-0.1949201219211953
22.0,-0.32318609582255564
23.0,-0.33117226460819593
24.0,-0.3353317910735095
25.0,-0.338593222560044
26.0,-0.33909312471165926
27.0,-0.3352272658826045
28.0,-0.3323337629939001
29.0,-0.32394495717385474
30.0,-0.3184086573395223
31.0,-0.31152233162160514
32.0,-0.2962614059848329
33.0,-0.28788555834522056
34.0,-0.27905078555760376
35.0,-0.2627049998174451
36.0,-0.25544163849465557
37.0,-0.24866915387866445
38.0,-0.23750601956750117
39.0,-0.23340378505035644
40.0,-0.23056327814278182
41.0,-0.22846580114923384
42.0,-0.22757635127421888
43.0,-0.22752736689679035
44.0,-0.2282128891916289
45.0,-0.23013671958154247
46.0,-0.23190426997426533
47.0,-0.23500475074942334
48.0,-0.23798325205209048
49.0,-0.2443047916522796
50.0,-0.2476038770611307
51.0,-0.25054234207577525
52.0,-0.2546275525162824
53.0,-0.2561245747082355
54.0,-0.2568368540891389
55.0,-0.2568997050105533
56.0,-0.2561306759012599
57.0,-0.25501757731474484
58.0,-0.25316745078059955
59.0,-0.2501777862777461
60.0,-0.2474881422348508
61.0,-0.24367490156029792
62.0,-0.240390600716415
63.0,-0.23407929673343156
64.0,-0.23050370193765857
65.0,-0.22389292204116773
66.0,-0.22075538886525062
67.0,-0.21545779201397985
68.0,-0.21119230742750844
69.0,-0.20776162873726786
70.0,-0.20489551190003136
71.0,-0.2026492843003453
72.0,-0.20072694639953595
73.0,-0.19907374693684018
74.0,-0.19824235015435618
75.0,-0.19747516197812837
76.0,-0.19666749726576493
77.0,-0.19482239466074044
78.0,-0.1938014505309704
79.0,-0.19021336318240523
80.0,-0.18823183299692642
81.0,-0.18440539451761973
82.0,-0.18325528939409924
83.0,-0.1805243765621369
84.0,-0.17926982280501494
85.0,-0.17799683293192922
86.0,-0.17701409567030893
87.0,-0.17669043585230906
88.0,-0.17692874618986387
89.0,-0.17812455078306896
90.0,-0.17977753299654683
91.0,-0.18303757668569742
92.0,-0.18717572012832695
93.0,-0.19063065693126166
94.0,-0.19578096299842465
95.0,-0.2013840090543866
96.0,-0.20692318461317397
97.0,-0.21246727845615587
98.0,-0.21806319543909924
99.0,-0.2207829605515409
100.0,-0.22471580115045456
101.0,-0.22766472128486098
102.0,-0.2296160780217518
103.0,-0.2316674178142781
104.0,-0.23270700179442078
105.0,-0.23337682834100254
106.0,-0.2331668827874863
107.0,-0.23205459693710173
108.0,-0.2310953147571898
109.0,-0.2284634630394043
110.0,-0.22688194353228802
111.0,-0.2245983715357401
112.0,-0.22284225557733361
113.0,-0.22069916872276268
114.0,-0.21939788710798633
115.0,-0.21844248343851752
116.0,-0.21775655819689418
117.0,-0.21760041056599963
118.0,-0.21752165297335893
119.0,-0.2177079383142292
120.0,-0.2182065078018477
121.0,-0.21926511828964254
122.0,-0.2199814489655321
123.0,-0.22118721454955734
124.0,-0.22222056346355823
125.0,-0.22427486703369354
126.0,-0.22591513946646727
127.0,-0.2279552520643134
128.0,-0.22958034601322666
129.0,-0.2306505566357597
130.0,-0.2315820525341128
131.0,-0.2315881119677929
132.0,-0.23116896710337687
133.0,-0.23028569148426414
134.0,-0.2294352879383728
135.0,-0.22760286026351417
136.0,-0.22633443670035583
137.0,-0.2251478317409962
138.0,-0.22347086995237528
139.0,-0.2229363087591767
140.0,-0.22226280806413704
141.0,-0.22176783677015188
142.0,-0.22169298547563654
143.0,-0.22199660251371783
144.0,-0.22271041222271393
145.0,-0.22376291077195656
146.0,-0.2250321484613837
147.0,-0.22648032280951366
148.0,-0.22799990338218412
149.0,-0.23007884006938206
150.0,-0.2314391741804757
151.0,-0.233494992368539
152.0,-0.23541718492503133
153.0,-0.2371882788497929
154.0,-0.23894007232828213
155.0,-0.24043872640068842
156.0,-0.24165490119212585
157.0,-0.2424682383033853
158.0,-0.2428690701780478
159.0,-0.2431812665369492
160.0,-0.24304644303402337
161.0,-0.24256716538142334
162.0,-0.24196643538840354
163.0,-0.24012520217350652
164.0,-0.239204665583926
165.0,-0.2384414509711622
166.0,-0.2377945057340859
167.0,-0.23733535539492487
168.0,-0.23717972316616587
169.0,-0.23727384827811676
170.0,-0.23768657087672984
171.0,-0.23847567705489195
172.0,-0.23949557734617222
173.0,-0.2409245669473779
174.0,-0.24367900438044102
175.0,-0.2451018306286167
176.0,-0.24756201010512052
177.0,-0.25148742798582185
178.0,-0.25324706581151213
179.0,-0.2577947591108153
180.0,-0.25964107441609935
181.0,-0.26412733950806716
182.0,-0.2679561385305164
183.0,-0.2710593548455836
184.0,-0.2734260599009008
185.0,-0.2752489517459147
186.0,-0.2763733147230298
