"Iteration","CpT_flap2 Monitor: CpT_flap2 Monitor"
1.0,2.6844434384646174
2.0,1.8421833896415163
3.0,0.5658860285795483
4.0,-0.2875374617233316
5.0,-0.49242177254442016
6.0,-0.5005692214829114
7.0,-1.07038396992429
8.0,-1.0745802612863007
9.0,-1.0688732856788175
10.0,-1.0597484193108984
11.0,-1.0346190970367264
12.0,-0.7933629583479646
13.0,-0.716245200093191
14.0,-0.5891700900563865
15.0,-0.5469867195900102
16.0,-0.13235692999334137
17.0,-0.10756226759632959
18.0,0.04820668706608118
19.0,0.07404371154751851
20.0,0.08146709343631447
21.0,0.07144858741018785
22.0,-0.09081482503461014
23.0,-0.10707432800192397
24.0,-0.2841144567077766
25.0,-0.2978878324550558
26.0,-0.3441035903389417
27.0,-0.35304479283499246
28.0,-0.3754578497912876
29.0,-0.3764164183495286
30.0,-0.3719450465265649
31.0,-0.35279655894052575
32.0,-0.34053146337842016
33.0,-0.28680355023488985
34.0,-0.27486882075195324
35.0,-0.1952537793146511
36.0,-0.18827920562565512
37.0,-0.18316607527841963
38.0,-0.17960538727899714
39.0,-0.17808714497355815
40.0,-0.1802489484029032
41.0,-0.18420725475606686
42.0,-0.1956733348535508
43.0,-0.20317187258980612
44.0,-0.21871743180487918
45.0,-0.22632628720760636
46.0,-0.24176716441387747
47.0,-0.24872276967957124
48.0,-0.2542514409240727
49.0,-0.2626014110662864
50.0,-0.26616329638897696
51.0,-0.2680475057902531
52.0,-0.26850841564190053
53.0,-0.2672652243357707
54.0,-0.2643575943932913
55.0,-0.25649780479548356
56.0,-0.25148030462745097
57.0,-0.2409361389711655
58.0,-0.2349625408897178
59.0,-0.226731236389719
60.0,-0.22065338830639195
61.0,-0.2128324501080152
62.0,-0.2076813746535778
63.0,-0.19926959275996647
64.0,-0.19540230153026045
65.0,-0.1923412866145131
66.0,-0.18965952178140785
67.0,-0.18867093147622463
68.0,-0.1884260892240768
69.0,-0.18885545350846905
70.0,-0.1903273842526134
71.0,-0.19182817269922048
72.0,-0.19351820924639354
73.0,-0.196664947874702
74.0,-0.19834765894077974
75.0,-0.201212886911861
76.0,-0.20346270791575752
77.0,-0.20639192881525653
78.0,-0.20577534864852862
79.0,-0.20210682594232302
80.0,-0.19534769770172838
81.0,-0.18789558746918117
82.0,-0.17573442971833614
83.0,-0.17148691853706155
84.0,-0.16032090521932554
85.0,-0.15661138672493854
86.0,-0.15042187960699774
87.0,-0.14845630609329669
88.0,-0.14624912047853897
89.0,-0.14665020820706837
90.0,-0.15060772741037382
91.0,-0.15195979584913663
92.0,-0.1548668497042326
93.0,-0.15760577486000268
94.0,-0.16241045879630575
95.0,-0.16778417569668125
96.0,-0.17329784018807973
97.0,-0.17944414639339437
98.0,-0.18749686648665556
99.0,-0.19156548753316685
100.0,-0.19834740510142834
101.0,-0.2015539991462797
102.0,-0.20615955628733965
103.0,-0.21151433524724564
104.0,-0.2147242637934609
105.0,-0.2176280184604878
106.0,-0.22118450787660557
107.0,-0.2231867736397721
108.0,-0.22475882655697632
109.0,-0.22602995661985267
110.0,-0.22666639018858392
111.0,-0.22687241206384742
112.0,-0.2263427628813055
113.0,-0.22548860491238562
114.0,-0.22351237775802255
115.0,-0.2218803077459386
116.0,-0.21988785015019835
117.0,-0.21739530617488143
118.0,-0.21368310296790521
119.0,-0.21114317576104952
120.0,-0.20752837289503295
121.0,-0.20560912354947908
122.0,-0.20329908310636025
123.0,-0.20217340694073932
124.0,-0.20153114622252333
125.0,-0.2007620414825401
126.0,-0.20056780521949624
127.0,-0.20080161491620188
128.0,-0.2011919018345456
129.0,-0.20262034211783056
130.0,-0.20419455794204688
131.0,-0.20594893762859595
132.0,-0.20778052993553772
133.0,-0.20910705839832
134.0,-0.21041839233393128
135.0,-0.21156295594083444
136.0,-0.21260155283471507
137.0,-0.21340146853886385
138.0,-0.2140316927061975
139.0,-0.21426938309126103
140.0,-0.21425724875181537
141.0,-0.21384054633443114
142.0,-0.21340223771381064
143.0,-0.21288066641713155
144.0,-0.21247841321949915
145.0,-0.21218375489615604
146.0,-0.21199206637701756
147.0,-0.21193727452820085
148.0,-0.21203516965998717
149.0,-0.21230634741931975
150.0,-0.21266024337900657
151.0,-0.2132630479641775
152.0,-0.2139822016481972
153.0,-0.2146869047519439
154.0,-0.2159141760057979
155.0,-0.21717253857767088
156.0,-0.21866402166872262
157.0,-0.22037054687245067
158.0,-0.22223667571071418
159.0,-0.22429948671908204
160.0,-0.22656944502852713
161.0,-0.2296846752331928
162.0,-0.23110680672903203
163.0,-0.234010467450967
164.0,-0.2365309419723193
165.0,-0.2385544569130566
166.0,-0.24002889695524687
167.0,-0.24095428447436149
168.0,-0.24176266068274688
169.0,-0.24217275835319915
170.0,-0.24295861611466935
171.0,-0.24309227886355364
172.0,-0.24330550789018837
173.0,-0.24342623910553615
174.0,-0.2435724190907842
175.0,-0.24390042299635029
176.0,-0.24429298964243326
177.0,-0.2448896140419952
178.0,-0.24600874889758875
179.0,-0.24702728337956534
180.0,-0.2486846169209459
181.0,-0.25031685174739476
182.0,-0.2518385955545716
183.0,-0.25351479347071854
184.0,-0.2550187792066252
185.0,-0.2567023946885128
186.0,-0.257830842422133
187.0,-0.2586561805055726
188.0,-0.25908088475153435
189.0,-0.25937320183673934
190.0,-0.2593860842536076
191.0,-0.25905339851559805
192.0,-0.2587779410299581
193.0,-0.2581867867372643
194.0,-0.25729154780649055
195.0,-0.2560277537319786
196.0,-0.2550159638748022
197.0,-0.25417934658548624
198.0,-0.2533822479487373
199.0,-0.25273747127813634
200.0,-0.252494487308543
201.0,-0.2521604756955239
202.0,-0.25210446437155454
203.0,-0.2521944637938301
204.0,-0.2527522950191446
205.0,-0.25327747804205825
206.0,-0.25494853487934577
207.0,-0.25589135965109855
208.0,-0.2586201079170369
209.0,-0.2600122455488033
210.0,-0.26376636139376186
211.0,-0.2654145767686516
212.0,-0.2685010335628091
213.0,-0.2715445997633406
214.0,-0.273491965373781
215.0,-0.2780336991152261
216.0,-0.2798591399451744
217.0,-0.28270532184386876
218.0,-0.28442372533254046
219.0,-0.2876306173345793
220.0,-0.2886075610883433
221.0,-0.2905173143915968
222.0,-0.290963964056618
223.0,-0.2913766717200809
224.0,-0.2911966820769518
225.0,-0.2906312763407792
226.0,-0.2896371171833862
227.0,-0.2884254350497759
228.0,-0.2861102540567288
229.0,-0.2852428097662189
230.0,-0.28379045497706906
231.0,-0.2829180611674944
232.0,-0.28186612856094323
233.0,-0.2807776286736754
234.0,-0.2803972123699271
235.0,-0.2801499278709569
236.0,-0.2801438409137759
237.0,-0.2807643167383894
238.0,-0.28122070189105725
239.0,-0.2828642363327743
240.0,-0.2838579716263469
241.0,-0.28654152934870497
242.0,-0.28792696436550386
243.0,-0.29135995745797677
244.0,-0.29300692403748196
245.0,-0.2969196306083645
246.0,-0.30057999381339084
247.0,-0.30218087613840805
248.0,-0.3056497366748132
249.0,-0.3070907552865499
250.0,-0.3101456182533026
251.0,-0.3113595171658584
252.0,-0.3137661729028892
253.0,-0.31467346501559385
254.0,-0.316302714447699
255.0,-0.3169046272942589
256.0,-0.317758864841882
257.0,-0.31833550772474195
258.0,-0.31868169377222244
259.0,-0.3191784082751136
260.0,-0.31931622604899484
261.0,-0.31961492574933537
262.0,-0.31975007376649794
263.0,-0.3198923483149708
264.0,-0.3202590213487789
265.0,-0.32100406266704246
266.0,-0.32131460532799644
267.0,-0.3221157881579687
268.0,-0.3232147751458483
269.0,-0.3238164879072352
270.0,-0.3253925526297766
271.0,-0.32614358255439424
272.0,-0.3279920385431033
273.0,-0.32960618705578854
274.0,-0.33045219651951724
275.0,-0.33232045384341735
276.0,-0.3331574846649332
277.0,-0.33598959679322726
278.0,-0.33660419928774776
279.0,-0.3376152683056853
280.0,-0.33882844269437157
281.0,-0.33943755558497435
282.0,-0.3408889693215605
283.0,-0.341325156330344
284.0,-0.3422522586446403
285.0,-0.3428379851746613
286.0,-0.34334324928280163
287.0,-0.34370268607202736
288.0,-0.3444477795902385
289.0,-0.34480653871390393
290.0,-0.34564450220160586
291.0,-0.3460386650639688
292.0,-0.3472095323865255
293.0,-0.34755630543144544
294.0,-0.34811614766438503
295.0,-0.3492519806855099
296.0,-0.3498365941908634
297.0,-0.35130625454526276
298.0,-0.35200619329862964
299.0,-0.35373861978139676
300.0,-0.3545188399826089
301.0,-0.35640720179877466
302.0,-0.3572199223733458
303.0,-0.35918506385756216
304.0,-0.35999074302920137
305.0,-0.36145750825668066
306.0,-0.3627960403228846
307.0,-0.3641001571304347
308.0,-0.36533450194522205
309.0,-0.3661637001775401
