"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-1.8636760711669922
-0.06,-1.8637454509735107
-0.12,-1.8612797260284424
-0.18,-1.8583476543426514
-0.24,-1.8452229499816895
-0.30000000000000004,-1.850570797920227
-0.36,-1.8395311832427979
-0.42000000000000004,-1.8276827335357666
-0.48,-1.8195295333862305
-0.54,-1.8199578523635864
-0.6000000000000001,-1.8021105527877808
-0.66,-1.7846951484680176
-0.72,-1.7249305248260498
-0.78,-1.5326910018920898
-0.8400000000000001,-1.3717625141143799
-0.8999999999999999,-1.3030922412872314
-0.96,-1.4412487745285034
-1.02,-1.6096762418746948
-1.08,-1.713141918182373
-1.1400000000000001,-1.6983246803283691
-1.2000000000000002,-1.6798028945922852
-1.26,-1.6710976362228394
-1.32,-1.6436258554458618
-1.3800000000000001,-1.6336023807525635
-1.44,-1.607420563697815
-1.5,-1.5863369703292847
-1.56,-1.563731074333191
-1.62,-1.546303153038025
-1.6800000000000002,-1.5248068571090698
-1.7399999999999998,-1.5026534795761108
-1.7999999999999998,-1.4862070083618164
-1.8599999999999999,-1.464512825012207
-1.92,-1.4361027479171753
-1.98,-1.4138282537460327
-2.04,-1.3940926790237427
-2.0999999999999996,-1.3726234436035156
-2.16,-1.3519216775894165
-2.2199999999999998,-1.3235472440719604
-2.2800000000000002,-1.3010104894638062
-2.34,-1.2782776355743408
-2.4000000000000004,-1.2560442686080933
-2.46,-1.234357476234436
-2.52,-1.213165044784546
-2.58,-1.192201852798462
-2.64,-1.1700072288513184
-2.7,-1.1399462223052979
-2.7600000000000002,-1.1182825565338135
-2.82,-1.0950703620910645
-2.88,-1.074920415878296
-2.94,-1.0483644008636475
-3.0,-1.0302785634994507
-3.06,-1.0048155784606934
-3.12,-0.9871279001235962
-3.18,-0.9642524719238281
-3.24,-0.935600221157074
-3.3000000000000003,-0.9155605435371399
-3.3600000000000003,-0.8983210921287537
-3.42,-0.874680757522583
-3.4799999999999995,-0.8536597490310669
-3.54,-0.8358976244926453
-3.5999999999999996,-0.8117395639419556
-3.66,-0.7922171354293823
-3.7199999999999998,-0.7659034132957458
-3.7800000000000002,-0.7509868144989014
-3.84,-0.7288199663162231
-3.9000000000000004,-0.7072417736053467
-3.96,-0.6858214139938354
-4.0200000000000005,-0.6661566495895386
-4.08,-0.6450381278991699
-4.14,-0.6310302019119263
-4.199999999999999,-0.6101276874542236
-4.26,-0.5911241769790649
-4.32,-0.5708962082862854
-4.38,-0.5529903769493103
-4.4399999999999995,-0.533513069152832
-4.5,-0.5100172758102417
-4.5600000000000005,-0.4950345754623413
-4.62,-0.476785272359848
-4.68,-0.45862284302711487
-4.74,-0.4397769570350647
-4.800000000000001,-0.4204375445842743
-4.86,-0.4066295623779297
-4.92,-0.3807675838470459
-4.9799999999999995,-0.36838749051094055
-5.04,-0.3497145473957062
-5.1,-0.3291569650173187
-5.16,-0.30922093987464905
-5.22,-0.29289954900741577
-5.28,-0.27587583661079407
-5.34,-0.25767552852630615
-5.4,-0.24481050670146942
-5.46,-0.22523233294487
-5.5200000000000005,-0.20616191625595093
-5.58,-0.18719010055065155
-5.64,-0.17459416389465332
-5.699999999999999,-0.15576040744781494
-5.76,-0.1369265764951706
-5.82,-0.12440548092126846
-5.88,-0.10566529631614685
-5.9399999999999995,-0.08691827207803726
-6.0,-0.07444801181554794
