"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,0.34314465236713104
2.0,0.27292007674142904
3.0,-0.07929290845627962
4.0,-0.24744176025312822
5.0,-0.4814341726867199
6.0,-0.5094464493016564
7.0,-0.5255949757023689
8.0,-0.5638443449351129
9.0,-0.6421366591104736
10.0,-0.7656307353622677
11.0,-0.7461465142318437
12.0,-0.7424670724431158
13.0,-0.6164145186084312
14.0,-0.5950821744989774
15.0,-0.2806341398199216
16.0,-0.25126039140153544
17.0,-0.13685806529083466
18.0,-0.13225697938763473
19.0,-0.1509001070188749
20.0,-0.1629503206395869
21.0,-0.300112809050287
22.0,-0.3117042621463296
23.0,-0.3328317563322256
24.0,-0.3428351673240534
25.0,-0.4017371917555924
26.0,-0.40721187578955115
27.0,-0.4081800782436932
28.0,-0.4051307557457046
29.0,-0.3982473161317896
30.0,-0.38022944282105686
31.0,-0.36228236433699657
32.0,-0.34381510314087416
33.0,-0.3270721712908211
34.0,-0.3120029949516955
35.0,-0.3052005937294451
36.0,-0.29367348068639987
37.0,-0.2894299238476547
38.0,-0.2839066212610543
39.0,-0.2828777665701751
40.0,-0.28315853634125365
41.0,-0.285023289689433
42.0,-0.28816381423489285
43.0,-0.29541823463414846
44.0,-0.300331411252068
45.0,-0.3093530865270896
46.0,-0.31445857170339
47.0,-0.32273767541446624
48.0,-0.3270389280599136
49.0,-0.33268569750162785
50.0,-0.3347605920080112
51.0,-0.3362648115224416
52.0,-0.3360244130282347
53.0,-0.3328153541483455
54.0,-0.3305163332380176
55.0,-0.32454509867441783
56.0,-0.32094260951269893
57.0,-0.313440215425331
58.0,-0.3081148043722119
59.0,-0.30189513619213953
60.0,-0.29900068694263787
61.0,-0.29442583870306993
62.0,-0.2928817176109059
63.0,-0.2915523094683372
64.0,-0.291223240207782
65.0,-0.291837389012604
66.0,-0.29338676079806103
67.0,-0.29517571089302014
68.0,-0.2982582691171404
69.0,-0.30178765135692315
70.0,-0.30543261907179586
71.0,-0.3104234339252489
72.0,-0.31318274247048633
73.0,-0.31713845420870107
74.0,-0.32012557387621576
75.0,-0.3222339007337157
76.0,-0.3234706207639166
77.0,-0.3236945972503215
78.0,-0.32244146924352773
79.0,-0.3202358221813792
80.0,-0.31686459149836377
81.0,-0.31239577540531965
82.0,-0.30889930577604313
83.0,-0.303807387597597
84.0,-0.30256808516088146
85.0,-0.29978112007475466
86.0,-0.29942866809275137
87.0,-0.2991387505018458
88.0,-0.29934518361167184
89.0,-0.2999372828420289
90.0,-0.3010760112823438
91.0,-0.3032172501594107
92.0,-0.3042103892778115
93.0,-0.3062115343528179
94.0,-0.30743364490118297
95.0,-0.3105630511869783
96.0,-0.31300084854222704
97.0,-0.3162870513044466
98.0,-0.31907057206098133
99.0,-0.32195585705435054
100.0,-0.324907947197226
101.0,-0.3282142000327276
102.0,-0.3314710281762367
103.0,-0.3347357410986318
104.0,-0.3380576578582101
105.0,-0.3413720422378434
106.0,-0.34443307604917495
107.0,-0.34717706366347656
108.0,-0.3500594364096382
109.0,-0.3528201848820939
110.0,-0.35541139296502766
111.0,-0.3577055417463296
112.0,-0.3599167008858983
113.0,-0.3619202737806705
114.0,-0.3633853938866599
115.0,-0.365401367520831
116.0,-0.366835377590622
117.0,-0.36897522056933807
118.0,-0.3706061711246593
119.0,-0.3723097954127363
120.0,-0.37413585631209223
121.0,-0.37595083999013446
122.0,-0.37793118840468526
123.0,-0.38000890880943844
124.0,-0.3821510456737009
125.0,-0.3844145222529563
126.0,-0.38667392041451365
127.0,-0.38890172891431696
128.0,-0.3910518643181056
129.0,-0.3931155501256756
130.0,-0.3951657311496626
131.0,-0.39692560542495403
132.0,-0.3986633217971217
133.0,-0.40063472548156825
134.0,-0.4018954614731743
135.0,-0.4027680023598895
136.0,-0.40315550157545393
137.0,-0.4029272977529499
138.0,-0.402487708555579
139.0,-0.40195020794197
140.0,-0.4007445046846693
141.0,-0.3999539004775249
142.0,-0.39944307442064897
143.0,-0.3991483803409811
144.0,-0.3989337552761025
145.0,-0.3991706887597688
146.0,-0.3998409431405648
147.0,-0.40062698550858306
148.0,-0.4018425101124829
149.0,-0.4034389443696836
150.0,-0.4053276220384847
151.0,-0.40752260553208425
152.0,-0.41073549701619766
153.0,-0.41320125620241965
154.0,-0.4168753181269788
155.0,-0.4196860166862416
156.0,-0.42386272388541885
157.0,-0.42666221264696474
158.0,-0.43040756552854187
159.0,-0.43395770414995843
160.0,-0.4371352942039285
161.0,-0.43999986435376526
162.0,-0.4425215089151253
163.0,-0.4456126565298268
164.0,-0.4464847150713244
165.0,-0.4474437284877521
166.0,-0.4478365210785945
167.0,-0.44804249726818
168.0,-0.4474079822314496
169.0,-0.44731887328472875
170.0,-0.4471398373669436
171.0,-0.4470620367821676
172.0,-0.44672697121963056
173.0,-0.4469049153476616
174.0,-0.44768901757744295
175.0,-0.44865477710530577
176.0,-0.4500337113430618
177.0,-0.4518158034193487
178.0,-0.4535526192320657
179.0,-0.456457115397258
180.0,-0.4594494601533984
181.0,-0.4626713371242035
182.0,-0.4661952403739544
183.0,-0.46967797791228033
184.0,-0.47228293191391296
185.0,-0.47628079395521594
186.0,-0.47897966918075996
187.0,-0.4828159629883832
188.0,-0.48452936647364153
189.0,-0.4882262375663628
190.0,-0.4897668678105671
191.0,-0.49295912894325183
192.0,-0.4942326587113952
193.0,-0.49685650326146624
194.0,-0.49770064073996223
195.0,-0.49960588562950475
196.0,-0.5005357701869967
197.0,-0.5010145400187447
198.0,-0.5016186744395604
199.0,-0.5017369337112817
200.0,-0.5019700178852108
201.0,-0.5025135422550282
202.0,-0.5027625823542451
203.0,-0.5034681263799857
204.0,-0.5037292339481851
205.0,-0.5044866316818964
206.0,-0.5064016912919785
207.0,-0.5071275975267109
208.0,-0.5084630168152464
209.0,-0.5101540248564989
210.0,-0.5129713470472275
211.0,-0.514931454294021
212.0,-0.5173604725152221
213.0,-0.5201474527578674
214.0,-0.5265635252738489
215.0,-0.5289823772747542
