"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,3.12608925405673
2.0,1.5285719326171177
3.0,0.23292211887544256
4.0,-0.3898522828354957
5.0,-0.3440838557871344
6.0,-0.335021346931532
7.0,-0.5206498738881876
8.0,-0.5414600984882425
9.0,-0.5535412746378592
10.0,-0.5674400368103795
11.0,-0.6443077045448371
12.0,-0.6438938704841368
13.0,-0.6363087421192638
14.0,-0.5205760513935078
15.0,-0.5032495073320699
16.0,-0.33437473136274465
17.0,-0.2637867602767226
18.0,-0.14759594615932475
19.0,-0.14156142260227908
20.0,-0.1375615561136111
21.0,-0.1573031178417335
22.0,-0.168172539033471
23.0,-0.2594348601064418
24.0,-0.27364427783545386
25.0,-0.28469001446204306
26.0,-0.3039071636480354
27.0,-0.312044495323879
28.0,-0.3254900426131432
29.0,-0.3301795536046363
30.0,-0.33128698572422566
31.0,-0.3280416414875913
32.0,-0.32489706032556837
33.0,-0.3188640572797714
34.0,-0.3099614094395448
35.0,-0.2906928872492701
36.0,-0.28104623577754145
37.0,-0.2611550481218691
38.0,-0.2515801371245843
39.0,-0.2340304761591645
40.0,-0.22637462790697574
41.0,-0.22007822564527288
42.0,-0.21139666449107977
43.0,-0.20883255053777275
44.0,-0.20811230462239505
45.0,-0.20887000889196894
46.0,-0.2106336498587931
47.0,-0.2130116790791445
48.0,-0.21571068763099274
49.0,-0.21870250151658552
50.0,-0.22205575318854126
51.0,-0.22553620824238513
52.0,-0.23243984649055954
53.0,-0.23649379734624243
54.0,-0.24052745841506848
55.0,-0.2440063699025808
56.0,-0.2467435423294651
57.0,-0.24848551293142052
58.0,-0.24973486904838352
59.0,-0.2500620145158473
60.0,-0.24943334762094363
61.0,-0.24812804684798748
62.0,-0.2458987906972592
63.0,-0.24314510188026545
64.0,-0.23984683378854013
65.0,-0.2354813413211558
66.0,-0.23208001105985923
67.0,-0.22754654041124572
68.0,-0.22412850511656934
69.0,-0.21960828679345762
70.0,-0.21639953622972516
71.0,-0.21242587429401338
72.0,-0.20975082053220473
73.0,-0.20710643419816943
74.0,-0.2051608697726213
75.0,-0.203623724632064
76.0,-0.20232398917988137
77.0,-0.2004878388819523
78.0,-0.19881601432436877
79.0,-0.1962796670394897
80.0,-0.19366708079387404
81.0,-0.1900287443537951
82.0,-0.1856545753641746
83.0,-0.1799099046170955
84.0,-0.17230359525738462
85.0,-0.16997253590748965
86.0,-0.16548572047736473
87.0,-0.16207226742443562
88.0,-0.16127327786004375
89.0,-0.16064132320654317
90.0,-0.16122421309647772
91.0,-0.16599520451658129
92.0,-0.16688237909329665
93.0,-0.16941228816189977
94.0,-0.17326147362774547
95.0,-0.17530359715386412
96.0,-0.17986447601105485
97.0,-0.1823033259256959
98.0,-0.1865487233351717
99.0,-0.18847048203028446
100.0,-0.1915794876643815
101.0,-0.19601854915604233
102.0,-0.2007273302317968
103.0,-0.20651760218496182
104.0,-0.21309734485418183
105.0,-0.21901630883761522
106.0,-0.2239906324955556
107.0,-0.22726944356467715
108.0,-0.23031261888353863
109.0,-0.2325640220561299
110.0,-0.23435167233664222
111.0,-0.2353277341107236
112.0,-0.235705818141819
113.0,-0.23570249947652064
114.0,-0.23551950319796217
115.0,-0.23529422367043323
116.0,-0.23507437260117842
117.0,-0.23465994550425157
118.0,-0.2343222351557017
119.0,-0.23395320959790683
120.0,-0.23370488052616753
121.0,-0.23332045442950264
122.0,-0.23325234131883016
123.0,-0.23293028467690546
124.0,-0.23276578654671973
125.0,-0.2324854284462342
126.0,-0.2323242755124669
127.0,-0.23193479579588888
128.0,-0.23179571619517206
129.0,-0.23159837878780204
130.0,-0.2316450365864334
131.0,-0.23175629161217798
132.0,-0.23193228707746882
133.0,-0.23221744362295293
134.0,-0.23235308140988367
135.0,-0.23262864146452916
136.0,-0.2329563160106942
137.0,-0.2333423004428337
138.0,-0.23360693032531396
139.0,-0.23379233875733005
140.0,-0.23393882119974274
141.0,-0.2341214853010418
142.0,-0.2343156432333583
143.0,-0.23456460007315563
144.0,-0.2348653857077132
145.0,-0.2353741656056394
146.0,-0.23612296960935478
147.0,-0.23681237948589365
148.0,-0.23765882326692733
149.0,-0.23825342839149888
150.0,-0.23898461002882784
151.0,-0.2394757352292576
152.0,-0.2400885693929145
153.0,-0.24049459006883545
154.0,-0.24096020884376487
155.0,-0.24133858548199708
156.0,-0.2419859708725686
157.0,-0.2424311027698979
158.0,-0.24337158630833466
159.0,-0.24406251717883942
160.0,-0.24516226308059547
161.0,-0.24613686460407783
162.0,-0.24712810031954663
163.0,-0.24821230522069432
164.0,-0.24919298976803994
165.0,-0.24983958637769396
166.0,-0.2504136098998131
167.0,-0.25091658795519856
168.0,-0.2511564207664913
169.0,-0.2511524204252543
170.0,-0.2512350771446958
171.0,-0.2512536189517469
172.0,-0.2516059955537528
173.0,-0.2520411150160587
174.0,-0.2526410604793861
175.0,-0.25381790540877686
176.0,-0.2548057840710629
177.0,-0.25596038304043267
178.0,-0.25814176033853065
179.0,-0.25976885926274135
180.0,-0.26260578435196325
181.0,-0.2658731920323498
182.0,-0.26921797989985
183.0,-0.2708614350650978
184.0,-0.2744699845170265
185.0,-0.2767388535405968
186.0,-0.2798765171518674
187.0,-0.28124282705274395
188.0,-0.28391680082628906
189.0,-0.28544444851546497
190.0,-0.2871269377148569
191.0,-0.28802092767592546
192.0,-0.2887950074445038
193.0,-0.2890243363899504
194.0,-0.2891581298553321
195.0,-0.28889762242131983
196.0,-0.28804245817173324
197.0,-0.28654096067332285
198.0,-0.2858444922840859
199.0,-0.28395511607967133
200.0,-0.28318813513949426
201.0,-0.2813056730938437
202.0,-0.28056363296117676
203.0,-0.27921435518676246
204.0,-0.2787529185898716
205.0,-0.2785934348640859
206.0,-0.27874516043442
207.0,-0.2790161616238859
208.0,-0.2795444265040798
209.0,-0.2811003123051759
210.0,-0.2817635642615629
211.0,-0.28280811268887834
212.0,-0.2840555812660828
213.0,-0.2855334601996095
214.0,-0.2879759279878243
215.0,-0.2895302108424293
216.0,-0.2912745362888449
217.0,-0.2940997487868202
218.0,-0.2957822795754043
219.0,-0.29759299810467205
220.0,-0.2994478807648963
221.0,-0.30128790099054165
222.0,-0.30317919599445564
223.0,-0.30608384529390764
224.0,-0.3076267860643856
225.0,-0.31096561505450365
226.0,-0.31209763973042753
227.0,-0.31334671190864444
228.0,-0.3146199026237247
229.0,-0.3163342890516019
230.0,-0.3172278120928647
231.0,-0.31819427467703026
232.0,-0.3194317572681119
233.0,-0.32007095254316814
234.0,-0.32078632867173756
235.0,-0.3217427777338405
236.0,-0.32215128971149415
237.0,-0.32280576492332863
238.0,-0.3229551399262274
239.0,-0.3232240048417601
240.0,-0.32326062543473055
241.0,-0.3229445721672517
242.0,-0.32288893162108423
243.0,-0.3230868400174492
244.0,-0.3235025945159015
245.0,-0.3239833282109005
246.0,-0.3246503609423822
247.0,-0.32543240907963705
248.0,-0.32638285304749365
249.0,-0.32749930243933456
250.0,-0.3288291722122806
251.0,-0.33030685779800123
252.0,-0.3324620574243672
253.0,-0.33349658260008164
254.0,-0.33545384578842363
255.0,-0.3381142000579955
256.0,-0.33931478166400436
257.0,-0.34228577030076224
258.0,-0.34350826430250914
259.0,-0.3464507943335467
260.0,-0.34760320106762926
261.0,-0.3501268443459171
262.0,-0.3510643512057985
263.0,-0.35306202162663336
264.0,-0.3537625329929771
265.0,-0.3554089315027708
266.0,-0.3557617596833474
267.0,-0.3563102868487916
268.0,-0.35674806872487064
269.0,-0.3569363877914877
270.0,-0.3571522379154875
271.0,-0.35717105564494944
272.0,-0.3574318790991289
273.0,-0.3577090974261585
274.0,-0.357940103694336
275.0,-0.35866118889656856
276.0,-0.3590613960288302
277.0,-0.3602337905776946
278.0,-0.361231205950283
279.0,-0.3618851687320912
280.0,-0.36349916222912737
281.0,-0.36500366984100435
282.0,-0.3661785243602092
283.0,-0.3679429248200698
284.0,-0.3692060032311078
285.0,-0.37110337437861235
286.0,-0.3723569427881997
287.0,-0.37419033120231715
288.0,-0.3753624177589044
289.0,-0.37700470491317356
290.0,-0.378043433968114
291.0,-0.37946911039705417
292.0,-0.38037307720878766
293.0,-0.3813426501620433
294.0,-0.3827406786716039
295.0,-0.38320055531904607
296.0,-0.38403481685068425
297.0,-0.3847832214770754
298.0,-0.385537960982368
299.0,-0.38625524337021844
300.0,-0.38696849256892035
301.0,-0.3877185693411098
302.0,-0.38846104747130944
303.0,-0.38925252456276
304.0,-0.39009241477584017
305.0,-0.39097713203965434
306.0,-0.39189359947667446
307.0,-0.3928618038403925
308.0,-0.3938865700100479
309.0,-0.39499265291566893
310.0,-0.39616701614135547
311.0,-0.3973865238800082
312.0,-0.3986562927774587
313.0,-0.3999860065313106
314.0,-0.4012948109261168
315.0,-0.4026313717438663
316.0,-0.40399849038483177
317.0,-0.40538041373012496
318.0,-0.4067367637862195
319.0,-0.40808722332434816
320.0,-0.4102561446166898
321.0,-0.4106967192682187
322.0,-0.4133078650809309
323.0,-0.41365572352748187
324.0,-0.4146193574047634
325.0,-0.4154792203317024
326.0,-0.4163835949082375
327.0,-0.41770244171848947
328.0,-0.41830551293197665
329.0,-0.4190755366294413
330.0,-0.42024693772269467
331.0,-0.42082524206498306
332.0,-0.4215897127655974
