"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,3.126089403408521
2.0,1.5285720275329038
3.0,0.2329221282500758
4.0,-0.38985230326551723
5.0,-0.3440838722518389
6.0,-0.3350213598250048
7.0,-0.5206498951999516
8.0,-0.5414601195165907
9.0,-0.5535412986430253
10.0,-0.567440060680591
11.0,-0.6443077336212923
12.0,-0.6438938952857156
13.0,-0.6363087696147501
14.0,-0.5205760760539107
15.0,-0.5032495276311254
16.0,-0.33437474666297534
17.0,-0.2637867724073087
18.0,-0.14759595092629096
19.0,-0.14156142859637647
20.0,-0.13756156100974884
21.0,-0.15730312557275336
22.0,-0.16817254547461225
23.0,-0.2594348731451859
24.0,-0.2736442896706928
25.0,-0.28469002779398617
26.0,-0.30390717640123943
27.0,-0.31204450978051473
28.0,-0.3254900563904785
29.0,-0.3301795663415607
30.0,-0.3312870006890691
31.0,-0.3280416565765266
32.0,-0.32489707389741884
33.0,-0.31886407196892197
34.0,-0.3099614258501396
35.0,-0.29069290009272414
36.0,-0.28104624646303156
37.0,-0.26115505908410713
38.0,-0.2515801479782621
39.0,-0.23403048587976935
40.0,-0.22637463923787876
41.0,-0.2200782358588828
42.0,-0.21139667325963743
43.0,-0.20883255936883757
44.0,-0.20811231452372916
45.0,-0.20887001860141824
46.0,-0.21063365981099422
47.0,-0.21301168860768993
48.0,-0.21571069741598972
49.0,-0.2187025108881159
50.0,-0.22205576181187534
51.0,-0.2255362183515691
52.0,-0.23243985679760784
53.0,-0.23649380932489714
54.0,-0.2405274690375497
55.0,-0.244006381801963
56.0,-0.2467435526599441
57.0,-0.24848552339271057
58.0,-0.2497348794328011
59.0,-0.2500620241340628
60.0,-0.24943335776000294
61.0,-0.24812805710029606
62.0,-0.24589880047541576
63.0,-0.24314511201299702
64.0,-0.23984684505239126
65.0,-0.23548135140570978
66.0,-0.23208002090176766
67.0,-0.22754654914041642
68.0,-0.2241285145424181
69.0,-0.2196082973150585
70.0,-0.21639954366972539
71.0,-0.21242588358804954
72.0,-0.20975082916568247
73.0,-0.20710644314241616
74.0,-0.205160879168038
75.0,-0.2036237330957219
76.0,-0.20232399755332345
77.0,-0.20048784839650105
78.0,-0.19881602127416287
79.0,-0.1962796738383752
80.0,-0.19366708809397548
81.0,-0.1900287537695594
