"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,3.6012937359307946
2.0,2.8614704659350694
3.0,0.3863374363462433
4.0,-0.3890966479622461
5.0,-0.41040086851991997
6.0,-0.6347217537092581
7.0,-0.6590322989620035
8.0,-0.671538500619328
9.0,-0.7677634173546299
10.0,-0.8062058724407878
11.0,-0.6928309114109353
12.0,-0.6244418578046098
13.0,-0.41675900596071597
14.0,-0.3918260812774627
15.0,-0.2738923842149103
16.0,-0.13624432452068153
17.0,-0.12497607431782215
18.0,-0.10256183637352385
19.0,-0.10570553301767385
20.0,-0.11112799027781274
21.0,-0.13088435997017106
22.0,-0.14647416985367967
23.0,-0.3184366392320972
24.0,-0.33075381050119923
25.0,-0.33630678197509345
26.0,-0.3364630468449046
27.0,-0.33006565037358393
28.0,-0.3252178899267407
29.0,-0.2997434621841153
30.0,-0.2945048620088478
31.0,-0.2860989560807149
32.0,-0.26680177581137665
33.0,-0.2555880561709682
34.0,-0.2337427469671578
35.0,-0.22350996235822146
36.0,-0.2064250095878134
37.0,-0.19996140602681983
38.0,-0.19520702095417838
39.0,-0.1907942798499224
40.0,-0.18874100508892708
41.0,-0.18841039685485403
42.0,-0.18885567693808766
43.0,-0.1919225108756772
44.0,-0.1951134550229958
45.0,-0.19910850689806664
46.0,-0.2069837241523332
47.0,-0.21351692292841648
48.0,-0.21795747126706375
49.0,-0.22517823833033365
50.0,-0.22884249666182732
51.0,-0.23149692159243868
52.0,-0.23412150279552546
53.0,-0.23483745704288228
54.0,-0.23512329202066132
55.0,-0.2347319437499532
56.0,-0.23352577539073807
57.0,-0.23114927718651188
58.0,-0.229058779954742
59.0,-0.2261322073155091
60.0,-0.22174367732204278
61.0,-0.2184717075597109
62.0,-0.21380584018115034
63.0,-0.21078202993629355
64.0,-0.20840369835268377
65.0,-0.20571600676732735
66.0,-0.20405146259713222
67.0,-0.20287111354799964
68.0,-0.20190380189557022
69.0,-0.20129735954009487
70.0,-0.20138197646190595
