"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,-0.665924379245214
2.0,-0.1374729560020859
3.0,-0.481968914240541
4.0,-0.618762053772488
5.0,-0.6040441104091048
6.0,-0.5300350791750097
7.0,-0.5290375924460833
8.0,-0.5063839266203576
9.0,-0.4865913988915258
10.0,-0.46991787994439593
11.0,-0.439055546577026
12.0,-0.43395703908698713
13.0,-0.4132500766058124
14.0,-0.3679605301086096
15.0,-0.35508258777561086
16.0,-0.339441309772373
17.0,-0.314207056511521
18.0,-0.24001903826486076
19.0,-0.2368532877798707
20.0,-0.23438831573156477
21.0,-0.23434150933587272
22.0,-0.23770350364882842
23.0,-0.274830273200114
24.0,-0.28403009260838147
25.0,-0.2992222059399176
26.0,-0.3054306576252644
27.0,-0.3243223471358253
28.0,-0.32963575864136935
29.0,-0.33239247458036225
30.0,-0.33274442582741515
31.0,-0.3316106811632616
32.0,-0.329073753750611
33.0,-0.3257876336520957
34.0,-0.32166237959656147
35.0,-0.3130738111112057
36.0,-0.3084799961106547
37.0,-0.30279496841762976
38.0,-0.29109841736948605
39.0,-0.2854440755850107
40.0,-0.2797960579424688
41.0,-0.27389309978662907
42.0,-0.26861137896081166
43.0,-0.2641864841754793
44.0,-0.2609009700215074
45.0,-0.25858695145822885
46.0,-0.25729317061709406
47.0,-0.2568874839531254
48.0,-0.2573520769374465
49.0,-0.25859216500233606
50.0,-0.25997229960545687
51.0,-0.2627932108879475
52.0,-0.2649491901027651
53.0,-0.26880200922307523
54.0,-0.27119286299551854
55.0,-0.27416023755538294
56.0,-0.27696623766409445
57.0,-0.28029830429331154
58.0,-0.2817016062152858
59.0,-0.28265034190544885
60.0,-0.28296677938716364
61.0,-0.28282305547079895
62.0,-0.28220083910848925
63.0,-0.28126729737781275
64.0,-0.28020811337864787
65.0,-0.27896882775162
66.0,-0.2776265131883145
67.0,-0.2763663972289101
68.0,-0.27468154540760714
69.0,-0.2730376168942249
70.0,-0.271559113048842
71.0,-0.26996206097616865
72.0,-0.2694892679067941
73.0,-0.26943974336968085
74.0,-0.2700776603788114
75.0,-0.27100114024620225
76.0,-0.27169250691581215
77.0,-0.2721504136645581
78.0,-0.27331208195304896
79.0,-0.27365825887678974
80.0,-0.27449130399921673
81.0,-0.2749124446267361
82.0,-0.2763517249493205
83.0,-0.27679917144400373
84.0,-0.2774999245936135
85.0,-0.278401514754446
86.0,-0.27931070785986556
87.0,-0.2811904712183772
88.0,-0.28234074045646895
89.0,-0.28428907181139407
90.0,-0.28534531091138976
91.0,-0.2871895656255937
92.0,-0.2880982196159461
93.0,-0.2892687308338809
94.0,-0.29005203589971085
95.0,-0.29101120146458515
96.0,-0.29153138358979175
97.0,-0.2923823676864244
98.0,-0.2928906787661551
99.0,-0.29396900049059194
100.0,-0.29460725221223377
101.0,-0.2961483325399858
102.0,-0.2971586103271648
103.0,-0.29865276866986135
104.0,-0.29999113493721785
105.0,-0.302294879844042
106.0,-0.30429130251537606
107.0,-0.3064842065660353
108.0,-0.30885435037929004
109.0,-0.31141223677529245
110.0,-0.314798961387515
111.0,-0.31776323121689126
112.0,-0.3204935364318898
113.0,-0.3231449210280667
114.0,-0.32402138596628477
115.0,-0.32438539242367875
116.0,-0.32440046417763346
117.0,-0.3241231576768364
118.0,-0.323557038443961
119.0,-0.32226279080445885
120.0,-0.3216805605261648
121.0,-0.3208719534566422
122.0,-0.32037124574734976
123.0,-0.3196639744657049
124.0,-0.31937842671295924
125.0,-0.3190644571666482
126.0,-0.3190729787718212
127.0,-0.3193841926184412
128.0,-0.3199297945574033
129.0,-0.32062933143450684
130.0,-0.3220123232947866
131.0,-0.3237490240992636
132.0,-0.32565118419769057
133.0,-0.32772071382936835
134.0,-0.32930647560490983
135.0,-0.33300740268144935
136.0,-0.33451840282373074
137.0,-0.33695514639787577
138.0,-0.3384989568550231
139.0,-0.3415717250306102
140.0,-0.34273606396355777
141.0,-0.34398128212014434
142.0,-0.3456552222648541
143.0,-0.3465408398899622
144.0,-0.34767952276202674
145.0,-0.3483276589769989
146.0,-0.3491394500801036
147.0,-0.34963138778412745
148.0,-0.35020375832010986
149.0,-0.3505437224274614
150.0,-0.35104483081106
151.0,-0.3512703468598703
152.0,-0.35174510628500527
153.0,-0.3521000627967252
154.0,-0.3530751620028946
155.0,-0.35402742575692
156.0,-0.3547940424129146
157.0,-0.35653597588670133
158.0,-0.3574336470501291
159.0,-0.35970675964388366
160.0,-0.360622721497784
161.0,-0.3628597231133765
162.0,-0.364213844103082
163.0,-0.365742658912841
164.0,-0.3676821672621408
165.0,-0.36851858991140346
166.0,-0.3695528709835751
167.0,-0.37147312947443
168.0,-0.3722258876521104
169.0,-0.3736626986334289
170.0,-0.3756139904015047
171.0,-0.3765483609371096
172.0,-0.3777948967594396
173.0,-0.380414700821241
174.0,-0.38151314447130275
175.0,-0.384395687855009
176.0,-0.3857332266165077
177.0,-0.38891293982765907
178.0,-0.3910091664469837
179.0,-0.3940987531085403
180.0,-0.39617079061976385
181.0,-0.39928266898219206
182.0,-0.4020340051072495
183.0,-0.403870392612273
184.0,-0.40629403668864944
185.0,-0.4086878597571834
186.0,-0.40967942683174824
187.0,-0.41093826504999337
188.0,-0.41117035965231985
189.0,-0.41125537263370177
190.0,-0.41113265449954617
191.0,-0.410992485426951
192.0,-0.4108832790460508
193.0,-0.4106905487184867
