"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,1.7343971964610243
2.0,1.0525727845925301
3.0,-0.060524590529228636
4.0,-0.592580643008087
5.0,-0.5901434774130864
6.0,-0.579871560592806
7.0,-0.5791251851758865
8.0,-0.5585465774682522
9.0,-0.5318503535389859
10.0,-0.46774313752162744
11.0,-0.41600047235791826
12.0,-0.4075359992659666
13.0,-0.37882888808110193
14.0,-0.32346508220513026
15.0,-0.30974728644439614
16.0,-0.29360266704852306
17.0,-0.269154857186079
18.0,-0.206033993065602
19.0,-0.2027807932854228
20.0,-0.19969839251547095
21.0,-0.1988036795406389
22.0,-0.20140666073717148
23.0,-0.23760877978869574
24.0,-0.24676859944652063
25.0,-0.2609140845725274
26.0,-0.26605077698909047
27.0,-0.28208523841822714
28.0,-0.28683982219582377
29.0,-0.28889472131179483
30.0,-0.28846731256336217
31.0,-0.28651934583411914
32.0,-0.2833376020076287
33.0,-0.2792005008464871
34.0,-0.27367870307865994
35.0,-0.26194805848601405
36.0,-0.2552766237612496
37.0,-0.24722312170649777
38.0,-0.23186934977910312
39.0,-0.2242610996077397
40.0,-0.21674527741175448
41.0,-0.20927716979515118
42.0,-0.20297769382335273
43.0,-0.19813494356061623
44.0,-0.19496413012112182
45.0,-0.19282448955476544
46.0,-0.19147030217036154
47.0,-0.19102722085932172
48.0,-0.19113212131182278
49.0,-0.19204977323970815
50.0,-0.19297974645454438
51.0,-0.19546611057772484
52.0,-0.1973230645300615
53.0,-0.20066986101396705
54.0,-0.2025621730489474
55.0,-0.20472397343402068
56.0,-0.2064991619324633
57.0,-0.20809234590208087
58.0,-0.20808822772924593
59.0,-0.20703285773360214
60.0,-0.20590261806212828
61.0,-0.2046800598263049
62.0,-0.20335402441962
63.0,-0.2019851849246782
64.0,-0.20063113651514694
65.0,-0.19930061600266824
66.0,-0.19810871404795435
67.0,-0.1972244941352173
68.0,-0.19616812010297222
69.0,-0.19485310145608012
70.0,-0.19275577039268216
71.0,-0.18891687483080483
72.0,-0.1855893267150524
73.0,-0.18213253431530965
74.0,-0.17805952455405571
75.0,-0.1772221000155391
76.0,-0.1734961943964332
77.0,-0.17223183050476235
78.0,-0.1699454728056875
79.0,-0.1690804566073731
80.0,-0.16763177230885937
81.0,-0.1672100478945115
82.0,-0.16591248502625744
83.0,-0.16611136159270376
84.0,-0.16653457628184043
85.0,-0.16735033765551266
86.0,-0.1683243502050456
87.0,-0.17058665495995393
88.0,-0.17177183725059886
89.0,-0.17320672943759297
90.0,-0.17333249607120615
91.0,-0.17297313460812902
92.0,-0.1723861848970884
93.0,-0.17142082184858923
94.0,-0.1707582767366682
95.0,-0.16970893484510502
96.0,-0.1694876258356728
97.0,-0.16961306092198622
