"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-1.7999999999999998,-1.3959234952926636
-1.8599999999999999,-1.3770695924758911
-1.92,-1.353652834892273
-1.98,-1.331355094909668
-2.04,-1.3119927644729614
-2.0999999999999996,-1.293516993522644
-2.16,-1.2688965797424316
-2.2199999999999998,-1.246985912322998
-2.2800000000000002,-1.2309244871139526
-2.34,-1.207697868347168
-2.4000000000000004,-1.183706521987915
-2.46,-1.1588938236236572
-2.52,-1.1423794031143188
-2.58,-1.1199642419815063
-2.64,-1.0974094867706299
-2.7,-1.075796127319336
-2.7600000000000002,-1.0558518171310425
-2.82,-1.0345832109451294
-2.88,-1.0137680768966675
-2.94,-0.9867907166481018
-3.0,-0.9664914608001709
-3.06,-0.9466061592102051
-3.12,-0.9271175265312195
-3.18,-0.9027639627456665
-3.24,-0.8843058347702026
-3.3000000000000003,-0.8663070201873779
-3.3600000000000003,-0.8425906896591187
-3.42,-0.824658989906311
-3.4799999999999995,-0.8028546571731567
-3.54,-0.7801985144615173
-3.5999999999999996,-0.7656248211860657
-3.66,-0.7426726222038269
-3.7199999999999998,-0.7198176383972168
-3.7800000000000002,-0.7054212093353271
-3.84,-0.6826845407485962
-3.9000000000000004,-0.6657812595367432
-3.96,-0.6429159045219421
-4.0200000000000005,-0.6285914778709412
-4.08,-0.6114341020584106
-4.14,-0.5884956121444702
-4.199999999999999,-0.5741115808486938
-4.26,-0.5566700100898743
-4.32,-0.5337157845497131
-4.38,-0.5164458155632019
-4.4399999999999995,-0.5023911595344543
-4.5,-0.4799051284790039
-4.5600000000000005,-0.4628949463367462
-4.62,-0.44913750886917114
-4.68,-0.4270819127559662
-4.74,-0.4103732109069824
-4.800000000000001,-0.39693981409072876
-4.86,-0.37533891201019287
-4.92,-0.3588770627975464
-4.9799999999999995,-0.34456631541252136
-5.04,-0.32348179817199707
-5.1,-0.30272579193115234
-5.16,-0.2901126444339752
-5.22,-0.27761250734329224
-5.28,-0.2652530372142792
-5.34,-0.24466252326965332
-5.4,-0.22238415479660034
-5.46,-0.21155832707881927
-5.5200000000000005,-0.19000406563282013
-5.58,-0.1792881041765213
-5.64,-0.1607103794813156
-5.699999999999999,-0.14917561411857605
-5.76,-0.12673397362232208
-5.82,-0.11601369827985764
-5.88,-0.10120879858732224
-5.9399999999999995,-0.07964646816253662
-6.0,-0.06905926764011383
0.0,-1.7402814626693726
-0.06,-1.7399275302886963
-0.12,-1.7350775003433228
-0.18,-1.7307018041610718
-0.24,-1.7363249063491821
-0.30000000000000004,-1.7298884391784668
-0.36,-1.7243623733520508
-0.42000000000000004,-1.709342122077942
-0.48,-1.701841950416565
-0.54,-1.6979423761367798
-0.6000000000000001,-1.6896871328353882
-0.66,-1.6680452823638916
-0.72,-1.5348613262176514
-0.78,-1.3625363111495972
-0.8400000000000001,-1.2958859205245972
-0.8999999999999999,-1.3748706579208374
-0.96,-1.568110466003418
-1.02,-1.6374423503875732
-1.08,-1.6229392290115356
-1.1400000000000001,-1.6043459177017212
-1.2000000000000002,-1.5883692502975464
-1.26,-1.578371286392212
-1.32,-1.5578241348266602
-1.3800000000000001,-1.5389902591705322
-1.44,-1.5188238620758057
-1.5,-1.499057650566101
-1.56,-1.480083703994751
-1.62,-1.4617048501968384
-1.6800000000000002,-1.442813754081726
-1.7399999999999998,-1.4237388372421265
