"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,2.097512225091452
2.0,1.4398444222185631
3.0,0.4020889329108045
4.0,-0.27763031397160876
5.0,-0.2870521460610509
6.0,-0.4189083496126896
7.0,-0.4770322421425286
8.0,-0.5843857799317499
9.0,-0.7268680524462471
10.0,-0.805635584683731
11.0,-0.743688618911231
12.0,-0.7254633850848562
13.0,-0.4223264867931358
14.0,-0.40356421748768667
15.0,-0.18684600453288777
16.0,-0.17070011527675272
17.0,-0.11783163368919694
18.0,-0.1212856686910059
19.0,-0.17166436009843358
20.0,-0.1795257612183937
21.0,-0.2444493927045159
22.0,-0.2570229049321264
23.0,-0.3149365482626727
24.0,-0.3196496482103278
25.0,-0.31978829503944234
26.0,-0.3152216090596327
27.0,-0.31249158507990044
28.0,-0.3072939413772013
29.0,-0.29416276362892946
30.0,-0.28734427871325946
31.0,-0.2789057122866706
32.0,-0.2622167420170073
33.0,-0.2541684302647665
34.0,-0.24601321275095797
35.0,-0.232505577818704
36.0,-0.22661751354380552
37.0,-0.22149933629524582
38.0,-0.21444476132779708
39.0,-0.21174965593571413
40.0,-0.2102437342523827
41.0,-0.209683147549973
42.0,-0.21014243798547697
43.0,-0.21126825900978682
44.0,-0.21287610881281438
45.0,-0.21490931682722095
46.0,-0.21969924704254074
47.0,-0.22216928595305385
48.0,-0.22422485791281946
49.0,-0.22691511198123412
50.0,-0.2276833935881398
51.0,-0.22696547310709642
52.0,-0.22452784005733
53.0,-0.22332214120679506
54.0,-0.2210725669679966
55.0,-0.21791258578356254
56.0,-0.21538058695713344
57.0,-0.2126883263033699
58.0,-0.20918129969829852
59.0,-0.20673934460807294
60.0,-0.20424461675478353
61.0,-0.19907709488111985
62.0,-0.19632877709335902
63.0,-0.19332192146159075
64.0,-0.18779837026368695
65.0,-0.18287016185347033
66.0,-0.18023007505404043
67.0,-0.17595705084607585
68.0,-0.17335336278722835
69.0,-0.17224081306522085
70.0,-0.17239297779441287
71.0,-0.1732869428863472
72.0,-0.1749461120388307
73.0,-0.1760376914526862
74.0,-0.17807719621462653
75.0,-0.17857936948434455
76.0,-0.17739723844617908
77.0,-0.17537949214967202
78.0,-0.17162617652304119
79.0,-0.16671721194773248
80.0,-0.16220681740925172
81.0,-0.1579958521625378
82.0,-0.15447345998470463
83.0,-0.15254086840523814
84.0,-0.14737015760047906
85.0,-0.14551814368292423
86.0,-0.1417219992430489
87.0,-0.14054513091842197
88.0,-0.13817231522329537
89.0,-0.13585340274115662
90.0,-0.13507847487707866
91.0,-0.1340396755259483
92.0,-0.13420035712945622
93.0,-0.13582133959518794
94.0,-0.13866772608659675
95.0,-0.14393375810629036
96.0,-0.14750345468339338
97.0,-0.15588226783936182
98.0,-0.16055556831268533
99.0,-0.1657140388724236
100.0,-0.17098141568078742
101.0,-0.17633254019079223
102.0,-0.18123238267447633
103.0,-0.18568112609769769
104.0,-0.18826281931189484
105.0,-0.19066932648119292
106.0,-0.19332853017359128
107.0,-0.19478778429198937
108.0,-0.19632374201887165
109.0,-0.19724994180024924
110.0,-0.19748595525968565
111.0,-0.19702205997202712
112.0,-0.1958633388155703
113.0,-0.19399688449921618
114.0,-0.1915626861958195
115.0,-0.1885715801884144
116.0,-0.18521012501300493
117.0,-0.18172739436961038
118.0,-0.17927799598577124
119.0,-0.17595389113919396
120.0,-0.1746646612188997
121.0,-0.17221974568610973
122.0,-0.17144960207368082
123.0,-0.17071513807917332
124.0,-0.17033610229389862
125.0,-0.17035838706757386
126.0,-0.17058190326910955
127.0,-0.17117167341933626
128.0,-0.17198353038196534
129.0,-0.17310076156094337
130.0,-0.17499425114887926
131.0,-0.17604608980624714
132.0,-0.17844278150201723
133.0,-0.17958025093542723
134.0,-0.18207392015412865
135.0,-0.18316668486455553
136.0,-0.18541835374536236
137.0,-0.18626106798740175
138.0,-0.18767535426348253
139.0,-0.18823217711872528
140.0,-0.18903210124239664
141.0,-0.189951056624149
142.0,-0.19037499298517258
143.0,-0.19127035537543774
144.0,-0.1917087859362028
145.0,-0.19273027450975735
146.0,-0.19314681923566357
147.0,-0.19392719999731703
148.0,-0.1948867989902456
149.0,-0.1953212189417324
150.0,-0.1964043384936706
151.0,-0.19692683954308832
152.0,-0.19833160822900528
153.0,-0.19878848490345277
154.0,-0.19999559868383246
155.0,-0.20043776969771074
156.0,-0.20183216558553316
157.0,-0.20202756597411436
158.0,-0.2023799883452831
159.0,-0.20305445932057437
160.0,-0.2033406497003591
161.0,-0.2042533225029444
162.0,-0.20467988397158002
163.0,-0.20588048668839193
164.0,-0.20650884497694164
165.0,-0.2079404443545913
166.0,-0.20875766718395236
167.0,-0.21081642600185568
168.0,-0.21272206138178107
169.0,-0.21451045807234145
170.0,-0.2161176857844275
171.0,-0.21732849647312055
172.0,-0.21786026588559312
173.0,-0.21887612129240347
174.0,-0.219226263381214
175.0,-0.21938223056729397
176.0,-0.21953880892746586
177.0,-0.21951923899218792
178.0,-0.2196207630951667
179.0,-0.219626799373251
180.0,-0.2197123527466864
181.0,-0.21970475924092403
182.0,-0.2197487155163678
183.0,-0.21983799386283598
184.0,-0.22028668949524496
185.0,-0.22045649683569074
186.0,-0.22090405930212495
187.0,-0.22107497547782115
188.0,-0.22163564420803758
189.0,-0.2218714879533603
190.0,-0.2225002561613681
191.0,-0.22264556195582805
