"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-1.7893120050430298
-0.06,-1.7833529710769653
-0.12,-1.7926020622253418
-0.18,-1.7897076606750488
-0.24,-1.7788187265396118
-0.30000000000000004,-1.7697057723999023
-0.36,-1.772099256515503
-0.42000000000000004,-1.7573537826538086
-0.48,-1.7532835006713867
-0.54,-1.7468997240066528
-0.6000000000000001,-1.7394025325775146
-0.66,-1.7083979845046997
-0.72,-1.6116477251052856
-0.78,-1.4291207790374756
-0.8400000000000001,-1.3284639120101929
-0.8999999999999999,-1.3242640495300293
-0.96,-1.5571863651275635
-1.02,-1.6656783819198608
-1.08,-1.658450961112976
-1.1400000000000001,-1.6436632871627808
-1.2000000000000002,-1.6293131113052368
-1.26,-1.614288091659546
-1.32,-1.5894895792007446
-1.3800000000000001,-1.572754979133606
-1.44,-1.5495972633361816
-1.5,-1.530922293663025
-1.56,-1.5070767402648926
-1.62,-1.488901138305664
-1.6800000000000002,-1.4736295938491821
-1.7399999999999998,-1.4471161365509033
-1.7999999999999998,-1.428771734237671
-1.8599999999999999,-1.4088895320892334
-1.92,-1.3920537233352661
-1.98,-1.3616596460342407
-2.04,-1.3488484621047974
-2.0999999999999996,-1.321412205696106
-2.16,-1.305020809173584
-2.2199999999999998,-1.277313232421875
-2.2800000000000002,-1.254691243171692
-2.34,-1.2334601879119873
-2.4000000000000004,-1.2097363471984863
-2.46,-1.189433217048645
-2.52,-1.1684311628341675
-2.58,-1.139052391052246
-2.64,-1.1239527463912964
-2.7,-1.0966349840164185
-2.7600000000000002,-1.0746550559997559
-2.82,-1.054107427597046
-2.88,-1.032139778137207
-2.94,-1.0065691471099854
-3.0,-0.9884074926376343
-3.06,-0.9684838056564331
-3.12,-0.9442659020423889
-3.18,-0.9244500398635864
-3.24,-0.9066057801246643
-3.3000000000000003,-0.881263017654419
-3.3600000000000003,-0.8620197176933289
-3.42,-0.8434489369392395
-3.4799999999999995,-0.8158360123634338
-3.54,-0.7963050007820129
-3.5999999999999996,-0.7778498530387878
-3.66,-0.7594122886657715
-3.7199999999999998,-0.7394673228263855
-3.7800000000000002,-0.7211443185806274
-3.84,-0.6997113227844238
-3.9000000000000004,-0.6812720894813538
-3.96,-0.6592755913734436
-4.0200000000000005,-0.6397939324378967
-4.08,-0.6254124641418457
-4.14,-0.6027440428733826
-4.199999999999999,-0.5833891034126282
-4.26,-0.563617467880249
-4.32,-0.5481950044631958
-4.38,-0.5282953381538391
-4.4399999999999995,-0.513059675693512
-4.5,-0.4908342957496643
-4.5600000000000005,-0.47121697664260864
-4.62,-0.4555628001689911
-4.68,-0.4377462863922119
-4.74,-0.41896358132362366
-4.800000000000001,-0.39869454503059387
-4.86,-0.38984259963035583
-4.92,-0.36975595355033875
-4.9799999999999995,-0.3510066568851471
-5.04,-0.33238455653190613
-5.1,-0.31392642855644226
-5.16,-0.3042135238647461
-5.22,-0.28491589426994324
-5.28,-0.2656066417694092
-5.34,-0.24574445188045502
-5.4,-0.23526091873645782
-5.46,-0.21531926095485687
-5.5200000000000005,-0.1959196776151657
-5.58,-0.1861499398946762
-5.64,-0.16701917350292206
-5.699999999999999,-0.14802134037017822
-5.76,-0.1291428953409195
-5.82,-0.11964895576238632
-5.88,-0.1009233295917511
-5.9399999999999995,-0.08238229155540466
-6.0,-0.07315175235271454
