"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,3.438864577566658
2.0,4.1893435171274485
3.0,1.44596398692697
4.0,-0.395037555463948
5.0,-0.6379703160314012
6.0,-0.7681932554484208
7.0,-0.876454408053824
8.0,-1.024497637700386
9.0,-1.0460686883785537
10.0,-1.2163981142534352
11.0,-1.19968295543432
12.0,-1.0896362984058572
13.0,-0.8136509633341164
14.0,-0.7736517116398002
15.0,-0.25302043315645456
16.0,-0.1918305677069408
17.0,-0.004580475804485161
18.0,-5.886072568960756E-4
19.0,-0.027149279687303622
20.0,-0.047301773383933925
21.0,-0.22787156801022315
22.0,-0.25793997809224123
23.0,-0.4475029020079541
24.0,-0.46782931031352526
25.0,-0.4818642535538221
26.0,-0.4902588188524769
27.0,-0.49820644707729167
28.0,-0.49950217622601034
29.0,-0.4763253257232096
30.0,-0.4730275842403353
31.0,-0.4635164583193155
32.0,-0.43568426353220946
33.0,-0.4052049609081922
34.0,-0.3733393940130322
35.0,-0.3456997803849447
36.0,-0.32501166434914547
37.0,-0.30902600135368885
38.0,-0.29847950303966636
39.0,-0.2935330733332707
40.0,-0.2931408039676563
41.0,-0.2950674209583628
42.0,-0.2987194125068528
43.0,-0.30421573693004655
44.0,-0.31142619557551027
45.0,-0.3275014069773157
46.0,-0.33708203318645175
47.0,-0.3468704390920125
48.0,-0.3658261031537842
49.0,-0.37489975884485205
50.0,-0.3828558488816017
51.0,-0.38983805906237634
52.0,-0.3957139265500465
53.0,-0.4002114440896849
54.0,-0.40364462244909705
55.0,-0.40573786942798035
56.0,-0.4064398643891449
57.0,-0.40616448025110646
58.0,-0.40463983130742565
59.0,-0.4020365265124619
60.0,-0.39847983315571367
61.0,-0.3939674086113103
62.0,-0.3894130842502754
63.0,-0.3844377838372925
64.0,-0.37927619965645504
65.0,-0.37446140750188306
66.0,-0.3701668562985538
67.0,-0.36633723731297957
68.0,-0.3632695456968527
69.0,-0.3609866489182204
70.0,-0.35977206297714737
71.0,-0.35931204906896796
72.0,-0.3596959000241727
73.0,-0.36094124749871687
74.0,-0.36292885174460576
75.0,-0.36622260504950366
76.0,-0.36945737137258644
77.0,-0.37433690514121665
78.0,-0.37831354530388006
79.0,-0.38242541755514786
80.0,-0.38665599688654845
81.0,-0.3906815892538183
82.0,-0.3944091083370698
83.0,-0.3990426735441366
84.0,-0.40302488900567984
85.0,-0.4055311345869599
86.0,-0.4082065234638131
87.0,-0.4097676899869653
88.0,-0.41120963645744285
89.0,-0.4115822911758501
90.0,-0.4111587273693294
91.0,-0.4099349608885677
92.0,-0.4078460534839858
93.0,-0.4058540923350061
94.0,-0.4011245620608159
95.0,-0.3957094023946794
96.0,-0.38748929182784236
97.0,-0.38467552300376656
98.0,-0.37561925680091574
99.0,-0.3748220056114965
100.0,-0.3725212923985
101.0,-0.37184480504938566
102.0,-0.37325120329192907
103.0,-0.37650376592195206
104.0,-0.3803713324209623
105.0,-0.38285285505310807
106.0,-0.3899887248224123
107.0,-0.39180097467224634
108.0,-0.3940249008343641
109.0,-0.3981541362302496
110.0,-0.4026366190073505
111.0,-0.4077821500436772
112.0,-0.41331370897489883
113.0,-0.419364413857934
114.0,-0.4257449704082324
115.0,-0.433056752759887
116.0,-0.4411548368109337
117.0,-0.4525979306222067
118.0,-0.46070640865489987
119.0,-0.4720160889468958
120.0,-0.47828501061665524
121.0,-0.4894221089148836
122.0,-0.4950201528233142
123.0,-0.5047122225898444
124.0,-0.5094052450973753
125.0,-0.5160019043295503
126.0,-0.5194766927269567
127.0,-0.5249258985751523
128.0,-0.5273121434178506
129.0,-0.5307227893596749
130.0,-0.5322658175061113
131.0,-0.5341147150102639
132.0,-0.5361740458317377
133.0,-0.5379296310730584
134.0,-0.5399018077994412
135.0,-0.5417603518036782
136.0,-0.5437287798765352
137.0,-0.5460635961202897
138.0,-0.5485258936622
139.0,-0.551080332178872
140.0,-0.5539377105921914
141.0,-0.5568472167593552
142.0,-0.559790150274603
143.0,-0.5626188166335618
144.0,-0.5655500511951941
145.0,-0.5682177397601359
146.0,-0.5721213750642259
147.0,-0.5735731561203711
148.0,-0.5750022605327747
149.0,-0.5762596500929555
150.0,-0.5773042943781058
151.0,-0.5783703224676118
152.0,-0.5792837066628698
153.0,-0.5803637739242486
154.0,-0.5816098570132296
155.0,-0.5832443926529615
156.0,-0.5853817153127984
157.0,-0.587714745971377
158.0,-0.5905202783683733
159.0,-0.5939897901351374
160.0,-0.5978085608717569
161.0,-0.6024205955578571
162.0,-0.6075403456144692
163.0,-0.6134193644887209
164.0,-0.6195901861718395
165.0,-0.6260459417715448
166.0,-0.6324868504745035
167.0,-0.6436445274675244
168.0,-0.6491594596454783
169.0,-0.6542325850434197
170.0,-0.6588697411599334
171.0,-0.6649074546969712
172.0,-0.6674579157899244
173.0,-0.6692681237197105
174.0,-0.6700426012070834
175.0,-0.6695591027134423
176.0,-0.6671531059968756
177.0,-0.6649382184243087
178.0,-0.6593135218519192
179.0,-0.6563579483700555
180.0,-0.650237280669277
181.0,-0.6474147447144324
182.0,-0.6452256654943682
183.0,-0.6435452613139402
184.0,-0.6425603377681165
185.0,-0.642349904917
186.0,-0.642988339577217
187.0,-0.644660533810659
188.0,-0.6477295087494432
189.0,-0.6509476041512953
190.0,-0.6550788467607774
191.0,-0.6597718729165349
192.0,-0.6650918204268408
193.0,-0.6710333764772803
194.0,-0.6790697877477173
195.0,-0.6849674339796786
196.0,-0.6910828420574553
197.0,-0.6971778310952255
198.0,-0.7029177609594075
199.0,-0.708262412264277
200.0,-0.7149075514858119
201.0,-0.7190137697665584
202.0,-0.7247763990578363
203.0,-0.7272650163806125
204.0,-0.7301802854286916
205.0,-0.7322951346427259
206.0,-0.7341458658426047
207.0,-0.7355815701692765
208.0,-0.7369649374483257
209.0,-0.738402125980723
210.0,-0.7401324396177501
211.0,-0.741997884194659
212.0,-0.744194502956297
213.0,-0.7468993322121098
214.0,-0.74932946982541
215.0,-0.7540409757208277
216.0,-0.7568962203543245
217.0,-0.760242533275351
218.0,-0.7640503196963425
219.0,-0.7680945334743935
220.0,-0.7723514105602303
221.0,-0.7766714202563905
222.0,-0.7813639973766546
223.0,-0.7874771945866129
224.0,-0.7918330913553966
225.0,-0.7997499351144084
226.0,-0.8034378774168257
227.0,-0.8087103872797969
228.0,-0.8122207331237322
229.0,-0.8172368547964128
230.0,-0.8205370299201579
231.0,-0.8239596119880533
232.0,-0.8274545859294661
233.0,-0.8308853080480356
234.0,-0.8349804111915555
235.0,-0.8375994504180583
236.0,-0.8408373631312331
237.0,-0.8434197554505107
238.0,-0.84542777958874
239.0,-0.8472931065846312
240.0,-0.8486288987670687
241.0,-0.8498263291831045
242.0,-0.8511491957371496
243.0,-0.8529625433753133
244.0,-0.8541691050806118
245.0,-0.855744989177264
246.0,-0.8573200703681974
247.0,-0.8591409391964189
248.0,-0.8613115301407437
249.0,-0.8635889106860858
250.0,-0.8660625255429342
251.0,-0.8686718930850337
252.0,-0.8714382774866072
253.0,-0.8743233704236398
254.0,-0.8773628221111227
255.0,-0.880431731843343
256.0,-0.883435811456811
257.0,-0.8865006822864262
258.0,-0.8902658787558385
259.0,-0.8927354161976209
260.0,-0.8954175833551405
261.0,-0.897939382430006
262.0,-0.900392989792924
263.0,-0.9026373693104999
264.0,-0.9049768474965837
265.0,-0.9061089596820476
266.0,-0.9074030973426651
267.0,-0.9083666409855341
268.0,-0.9088837031160552
269.0,-0.9089143335497989
270.0,-0.9093232672969621
271.0,-0.9095397975106416
272.0,-0.9100709445443006
273.0,-0.9107281581663096
274.0,-0.9115721834440106
275.0,-0.9125806770520424
276.0,-0.9136641334277641
277.0,-0.9149505804801203
278.0,-0.9164448596033368
279.0,-0.9180277703387945
280.0,-0.9193986345543942
281.0,-0.9218255007648971
282.0,-0.9240645655896119
283.0,-0.9263674518408859
284.0,-0.9287279857547862
285.0,-0.9313361219942615
286.0,-0.9340199004798612
287.0,-0.9360426457699049
288.0,-0.9403668957973476
289.0,-0.9420571731210524
290.0,-0.9461418624258989
291.0,-0.9477160514938693
292.0,-0.9514799105551786
293.0,-0.9542033779418637
294.0,-0.9560479111804931
295.0,-0.9580088303097634
296.0,-0.9604257483563906
297.0,-0.9615373835906909
298.0,-0.96398008777572
299.0,-0.9649501268979989
300.0,-0.9676284918439948
301.0,-0.9683004142021862
302.0,-0.970212062546508
303.0,-0.9717646437110714
304.0,-0.9730916927351264
305.0,-0.9755065447940859
306.0,-0.976350514453251
307.0,-0.9783429879469148
308.0,-0.981487511387152
309.0,-0.9823439714052049
310.0,-0.9854450514213989
311.0,-0.9859030593191185
312.0,-0.9867400003307003
313.0,-0.9882377509256011
314.0,-0.9894543488792847
315.0,-0.9906780826764966
316.0,-0.9919182487138266
317.0,-0.9931540359341485
318.0,-0.9945151316863149
319.0,-0.9958701734608876
320.0,-0.9973904376058856
321.0,-0.9980777511341624
322.0,-1.0021973223606813
323.0,-1.0026581244220363
324.0,-1.0048692980903093
325.0,-1.0071789735945145
326.0,-1.0095578517237864
