"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,7.811812788846763
2.0,6.278241306985612
3.0,1.466025001960583
4.0,-0.35861925402107114
5.0,-0.5581535007676572
6.0,-0.7329824931270091
7.0,-0.9099362990584619
8.0,-1.1546887426645913
9.0,-1.1755372373744744
10.0,-1.3355739353170812
11.0,-1.3008239231096104
12.0,-1.1464443733036902
13.0,-0.8043618194677942
14.0,-0.7553192556606472
15.0,-0.19300224411973177
16.0,-0.12336087515422692
17.0,0.05187545136165297
18.0,0.05820075212097124
19.0,0.02302507542012964
20.0,0.001771735149424873
21.0,-0.19620310780089137
22.0,-0.2243841625669698
23.0,-0.4169309182700206
24.0,-0.43476338078557203
25.0,-0.44532270530893664
26.0,-0.449509169178719
27.0,-0.44869373266040447
28.0,-0.4458681517664691
29.0,-0.40439055123797923
30.0,-0.40029681537683165
31.0,-0.3883858040797031
32.0,-0.3581355587837644
33.0,-0.3268560019171683
34.0,-0.29489245993409285
35.0,-0.2681268880811378
36.0,-0.2479317875089973
37.0,-0.23227110973570408
38.0,-0.22164877496114013
39.0,-0.2150208158797018
40.0,-0.21261830978049587
41.0,-0.2117875529381782
42.0,-0.2130914146434357
43.0,-0.216315948320501
44.0,-0.221912277324872
45.0,-0.23630460445351661
46.0,-0.2451813682731326
47.0,-0.2546845435353486
48.0,-0.27296850581379234
49.0,-0.2810388246282363
50.0,-0.2882440802888074
51.0,-0.29461482222793545
52.0,-0.29971666669906605
53.0,-0.30372040066814576
54.0,-0.30620907756019805
55.0,-0.307153841359239
56.0,-0.30676239024197655
57.0,-0.3053549179846797
58.0,-0.3029384418079207
59.0,-0.2989012486109448
60.0,-0.2936541946924944
61.0,-0.2870733213884764
62.0,-0.28004024750053763
63.0,-0.2721438852950252
64.0,-0.2637731398326895
65.0,-0.25553187053859955
66.0,-0.2481315241120322
67.0,-0.24149372771087993
68.0,-0.23593800471399565
69.0,-0.23141813016084886
70.0,-0.2281400519441081
71.0,-0.22596306949920614
72.0,-0.2248347371818672
73.0,-0.22464894150997156
74.0,-0.22534168877746924
75.0,-0.2274796593401017
76.0,-0.22977285752858637
77.0,-0.23332606907186743
78.0,-0.23616053318525335
79.0,-0.23889157638258193
80.0,-0.24153143055438525
81.0,-0.24361787945890123
82.0,-0.2450792714990897
83.0,-0.24637759087759523
84.0,-0.24712881001267537
85.0,-0.24724024241048964
86.0,-0.24688609892498312
87.0,-0.24617685419139365
88.0,-0.24356304889248773
89.0,-0.2417582173257366
90.0,-0.23726011001872924
91.0,-0.23215338230135035
92.0,-0.22652795019022784
93.0,-0.2205178415621131
94.0,-0.20945532289340457
95.0,-0.19802245624603693
96.0,-0.18175660549568223
97.0,-0.17631805800621594
98.0,-0.15820282485406947
99.0,-0.15570037714909904
100.0,-0.14969598245790675
101.0,-0.14600841962450004
102.0,-0.14497661768096315
103.0,-0.1469424607091249
104.0,-0.15017591421655482
105.0,-0.1524473970157469
106.0,-0.1586634026213773
107.0,-0.16014995986713265
108.0,-0.16220968977407219
