"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,11.715559569434602
2.0,8.622225942190527
3.0,2.2506804418528614
4.0,0.12273308383713238
5.0,0.050088004481999765
6.0,-0.8521944738122368
7.0,-1.167646439577452
8.0,-1.2595683790283898
9.0,-1.6626464105900627
10.0,-2.097452333082127
11.0,-2.054598302913411
12.0,-1.7788973578081593
13.0,-1.4342897101155676
14.0,-0.5985855837170159
15.0,-0.46583822371305467
16.0,-0.0061414223700478054
17.0,0.040800625233828415
18.0,0.1995075493571043
19.0,0.19854903365119947
20.0,0.07737422961107912
21.0,0.047592441474043234
22.0,-0.31005625010008087
23.0,-0.3267647730348582
24.0,-0.34229858515399536
25.0,-0.4029073201678994
26.0,-0.4171495225573813
27.0,-0.42203910826705915
28.0,-0.4215539212471469
29.0,-0.41606576425968766
30.0,-0.4129339366840954
31.0,-0.40531598235233934
32.0,-0.3937892116829326
33.0,-0.3797273105599841
34.0,-0.36414198587933055
35.0,-0.3344140725286453
36.0,-0.31784183585249265
37.0,-0.2856529072582898
38.0,-0.2712489457470719
39.0,-0.25095569943038126
40.0,-0.2372961441133892
41.0,-0.22633029480483136
42.0,-0.21506647520710112
43.0,-0.20995429404896354
44.0,-0.20808315516206663
45.0,-0.20882970852539967
46.0,-0.21197027258351886
47.0,-0.2171951174510223
48.0,-0.22467175538146658
49.0,-0.23308127225788697
50.0,-0.24307959412765343
51.0,-0.26401336196038194
52.0,-0.27536587311227
53.0,-0.2864692323577659
54.0,-0.30069608816670546
55.0,-0.30910258825916065
56.0,-0.315995798311571
57.0,-0.3213138348011214
58.0,-0.3252070578140137
59.0,-0.3271385701148661
60.0,-0.3267830813626583
61.0,-0.3244477534811439
62.0,-0.32042106058917763
63.0,-0.31496694493341443
64.0,-0.30835882587375035
65.0,-0.3015320294256238
66.0,-0.29410326062323405
67.0,-0.286404070421554
68.0,-0.2786944730303828
69.0,-0.27114470403349517
70.0,-0.26429778950978344
71.0,-0.255092685717256
72.0,-0.2491794468542471
73.0,-0.24439056674165188
74.0,-0.24039995080682683
75.0,-0.23812302383071565
76.0,-0.23699159833421996
77.0,-0.2370534866070654
78.0,-0.2382743594489415
79.0,-0.24055682476187126
80.0,-0.2440478651609689
81.0,-0.24773344059224592
82.0,-0.2515292290634936
83.0,-0.25533878907397484
84.0,-0.25867041694659326
85.0,-0.2615841796540269
86.0,-0.2643429675809818
87.0,-0.2671469811970225
88.0,-0.2693784017629704
89.0,-0.2714001277068692
90.0,-0.2726973233204212
91.0,-0.27337685241220666
92.0,-0.2735199141278681
93.0,-0.2730794989886427
94.0,-0.2720500736305239
95.0,-0.27035857056105894
96.0,-0.26680618033976927
97.0,-0.26338910987883013
98.0,-0.25717069274406584
99.0,-0.25046338329155887
100.0,-0.24320900732104303
101.0,-0.2362010439352661
102.0,-0.22547237933961767
103.0,-0.2184322276943013
104.0,-0.20877318540919632
105.0,-0.20152642454239933
106.0,-0.19732791026235935
107.0,-0.19621894732681067
108.0,-0.19649829356525658
109.0,-0.19797753086495112
110.0,-0.2023039981820814
