"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-0.12,-3.942772388458252
-0.18,-4.0403265953063965
-0.24,-4.141013145446777
-0.30000000000000004,-4.349240779876709
-0.36,-4.432564735412598
-0.42000000000000004,-4.4975762367248535
-0.48,-4.644508361816406
-0.54,-4.681804180145264
-0.6000000000000001,-4.7840352058410645
-0.66,-4.944314479827881
-0.72,-5.068668365478516
-0.78,-5.148046970367432
-0.8400000000000001,-4.123439311981201
-0.8999999999999999,-1.993950366973877
-0.96,-1.3198668956756592
-1.02,-0.4556887149810791
-1.08,0.18118640780448914
-1.1400000000000001,0.6583048105239868
-1.2000000000000002,1.2875103950500488
-1.26,1.661126732826233
-1.32,1.992434024810791
-1.3800000000000001,2.0616977214813232
-1.44,1.9910093545913696
-1.5,1.696527123451233
-1.56,1.481742262840271
-1.62,1.1544090509414673
-1.6800000000000002,0.829839825630188
-1.7399999999999998,0.4991825819015503
-1.7999999999999998,0.3217479884624481
-1.8599999999999999,0.06859036535024643
-1.92,-0.1402483433485031
-1.98,-0.2824428379535675
-2.04,-0.3758554458618164
-2.0999999999999996,-0.4766213893890381
-2.16,-0.501528799533844
-2.2199999999999998,-0.5614270567893982
-2.2800000000000002,-0.568731427192688
-2.34,-0.5830915570259094
-2.4000000000000004,-0.6171144843101501
-2.46,-0.6218161582946777
-2.52,-0.6094629764556885
-2.58,-0.605344831943512
-2.64,-0.5889655947685242
-2.7,-0.5726667642593384
-2.7600000000000002,-0.5551555156707764
-2.82,-0.5364497303962708
-2.88,-0.5217365622520447
-2.94,-0.5059603452682495
-3.0,-0.4962151348590851
-3.06,-0.5047833323478699
-3.12,-0.5012887120246887
-3.18,-0.49464648962020874
-3.24,-0.4944838881492615
-3.3000000000000003,-0.4962778091430664
-3.3600000000000003,-0.49304699897766113
-3.42,-0.49576976895332336
-3.4799999999999995,-0.49107056856155396
-3.54,-0.48625892400741577
-3.5999999999999996,-0.4844643175601959
-3.66,-0.465227872133255
-3.7199999999999998,-0.4486910104751587
-3.7800000000000002,-0.4338860809803009
-3.84,-0.41956382989883423
-3.9000000000000004,-0.4034927189350128
-3.96,-0.38888394832611084
-4.0200000000000005,-0.37372535467147827
-4.08,-0.3577784299850464
-4.14,-0.3414613902568817
-4.199999999999999,-0.3326820135116577
-4.26,-0.3165665566921234
-4.32,-0.3081163763999939
-4.38,-0.294910192489624
-4.4399999999999995,-0.2894924581050873
-4.5,-0.28132277727127075
-4.5600000000000005,-0.2702786922454834
-4.62,-0.2577821910381317
-4.68,-0.2426970899105072
-4.74,-0.2321038842201233
-4.800000000000001,-0.22073416411876678
-4.86,-0.2147393673658371
-4.92,-0.20069605112075806
-4.9799999999999995,-0.18820872902870178
-5.04,-0.1760152131319046
-5.1,-0.16398462653160095
-5.16,-0.15797868371009827
-5.22,-0.14601871371269226
-5.28,-0.13473965227603912
-5.34,-0.12318647652864456
-5.4,-0.11174892634153366
-5.46,-0.10049763321876526
-5.5200000000000005,-0.09358285367488861
-5.58,-0.0817488357424736
-5.64,-0.07023922353982925
-5.699999999999999,-0.06518200784921646
-5.76,-0.056071311235427856
-5.82,-0.04671316593885422
-5.88,-0.040318287909030914
-5.9399999999999995,-0.03182701766490936
-6.0,-0.02400193363428116
0.0,-3.75132417678833
-0.06,-3.8477048873901367
