"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,8.952398521454468
2.0,6.844856322852538
3.0,2.0157322896016305
4.0,0.3265828555330926
5.0,-0.5743822404637686
6.0,-0.6358903417552617
7.0,-1.2022614888722334
8.0,-1.4738504501452858
9.0,-1.5240004745434117
10.0,-1.8169570637992498
11.0,-1.9887284491387927
12.0,-1.6268044873563703
13.0,-1.5849760705067661
14.0,-1.0204423157602145
15.0,-0.656524554277922
16.0,-0.16468855828509482
17.0,-0.05628389512064283
18.0,0.15221799743531633
19.0,0.16133687303199262
20.0,0.08521531562999247
21.0,0.06679835258200181
22.0,-0.17900723830152573
23.0,-0.2126944360803328
24.0,-0.4257602272681795
25.0,-0.4445077407028349
26.0,-0.45324456997022705
27.0,-0.45586968715763276
28.0,-0.4546176668853288
29.0,-0.4467075041359174
30.0,-0.44276978438739
31.0,-0.432349365860922
32.0,-0.40482578744924724
33.0,-0.3878668745060608
34.0,-0.3667210282948024
35.0,-0.32391664825002103
36.0,-0.305520339878715
37.0,-0.269130324631115
38.0,-0.2536451244816499
39.0,-0.2383767596967734
40.0,-0.21313027205560572
41.0,-0.20476469201822645
42.0,-0.19940769460189284
43.0,-0.1972872381782051
44.0,-0.1981399177210803
45.0,-0.2039661578243521
46.0,-0.21017106427715493
47.0,-0.21828165043333814
48.0,-0.22779143575133526
49.0,-0.24721387751492746
50.0,-0.25806831874761654
51.0,-0.27201998825512885
52.0,-0.2816246719457294
53.0,-0.2972637004131145
54.0,-0.30398786473245104
55.0,-0.30920675501027445
56.0,-0.31233824905875124
57.0,-0.3136022203471661
58.0,-0.3132035720567469
59.0,-0.31068497863634564
60.0,-0.30684870193895614
61.0,-0.29971606558071207
62.0,-0.2934799500792496
63.0,-0.2867577656732793
64.0,-0.2793496236426773
65.0,-0.26629097312104755
66.0,-0.25942186811500345
67.0,-0.2536452293016666
68.0,-0.24832183761372376
69.0,-0.24292682760754145
70.0,-0.23830916252191264
71.0,-0.23413412588745552
72.0,-0.23074310679299062
73.0,-0.22832762362205122
74.0,-0.22668865882383432
75.0,-0.22576907741073488
76.0,-0.22532154260422743
77.0,-0.2255367126617503
78.0,-0.2265324022692526
79.0,-0.22787373874668587
80.0,-0.23160347086699928
81.0,-0.23584620867697326
82.0,-0.24170335737315776
83.0,-0.24718522179602567
84.0,-0.25029555726011693
85.0,-0.2526868997126697
86.0,-0.25373477328047206
87.0,-0.2536011487776687
88.0,-0.2526083923997898
89.0,-0.2500914178501134
90.0,-0.2482493062741451
91.0,-0.24630965622073164
92.0,-0.24455794980711418
93.0,-0.24340587820875295
94.0,-0.2407368837855097
95.0,-0.23684014073414658
96.0,-0.2309514182039431
97.0,-0.2247756290588446
98.0,-0.21748401400993675
99.0,-0.20762965919801982
100.0,-0.1982618051984796
101.0,-0.18961913965786797
102.0,-0.1749624532707783
103.0,-0.1697913247157213
104.0,-0.1602964275138905
105.0,-0.15814674705030032
106.0,-0.1547703872333039
107.0,-0.1518362624539355
108.0,-0.14941716578010436
109.0,-0.14622263688025686
110.0,-0.14672935366271228
111.0,-0.1460086857532982
112.0,-0.14674914985116086
113.0,-0.1505842610828554
114.0,-0.15279225848180814
115.0,-0.1591807588552762
116.0,-0.16655621233766885
117.0,-0.17285164866177855
118.0,-0.18182086573288556
119.0,-0.18797507057907956
120.0,-0.19470799780945092
121.0,-0.20208785663289772
122.0,-0.21213187787911103
123.0,-0.21987564716949598
124.0,-0.22853848974900814
125.0,-0.239295568603609
126.0,-0.2445883347583791
127.0,-0.2550471189613724
128.0,-0.2645733424816481
129.0,-0.2735767158373168
130.0,-0.28134236806610335
131.0,-0.28936775219793515
132.0,-0.2964315202272633
133.0,-0.30035257623258066
134.0,-0.3076281621001892
135.0,-0.3110117121405602
136.0,-0.31645415296296164
137.0,-0.31917132710135204
138.0,-0.3232557806972781
139.0,-0.3305649946556828
140.0,-0.33483066757533836
141.0,-0.34009865078586937
142.0,-0.3450572653405741
143.0,-0.3501010860140965
144.0,-0.35599000748880943
145.0,-0.3597102949198031
146.0,-0.36313209647698674
147.0,-0.3659509465956387
148.0,-0.368745180613477
149.0,-0.37025355233575785
150.0,-0.3712588657372063
151.0,-0.37162963687146944
152.0,-0.3714833416070673
153.0,-0.3710056367492188
154.0,-0.3702287456731897
155.0,-0.36960649229898496
156.0,-0.3692170916257423
157.0,-0.36933175574830124
158.0,-0.3698369257815134
159.0,-0.37069020521272766
160.0,-0.3720576667256828
161.0,-0.3739311437461983
162.0,-0.37611576318768997
163.0,-0.37868408941863047
164.0,-0.3814368805777786
165.0,-0.3844477625127177
166.0,-0.3876195657512069
167.0,-0.3909950319228182
168.0,-0.39418102108348324
169.0,-0.3973033416096203
170.0,-0.4000800186522816
171.0,-0.4025695482307412
172.0,-0.4044937962699704
173.0,-0.4060199156393034
174.0,-0.4067309628939025
175.0,-0.4071314857868968
176.0,-0.40718949456790104
177.0,-0.4052488247686004
178.0,-0.40343043805073087
179.0,-0.4011267325936941
180.0,-0.3989319744013198
181.0,-0.39517291541123095
182.0,-0.39147350394007024
183.0,-0.38805328706808656
184.0,-0.38523137729587076
185.0,-0.38299248403080016
186.0,-0.38137310787272866
187.0,-0.38072321396766307
188.0,-0.3806022075254934
189.0,-0.3811873722861973
190.0,-0.38262538712245087
191.0,-0.3847328579845847
192.0,-0.388027491492886
193.0,-0.39089107948594803
194.0,-0.3947739444218059
195.0,-0.39797117986164665
196.0,-0.4019894157546969
197.0,-0.4049491145111203
198.0,-0.408409662952099
199.0,-0.4103884346608196
200.0,-0.4133028007350699
201.0,-0.4147032242071462
202.0,-0.41652123099431776
203.0,-0.41730981998003275
204.0,-0.4180957936717249
205.0,-0.418411026784185
206.0,-0.4182926724179541
207.0,-0.41833021248415925
208.0,-0.4179396294578263
