"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-1.92,-1.7650355100631714
-1.98,-1.6760324239730835
-2.04,-1.5882867574691772
-2.0999999999999996,-1.5084259510040283
-2.16,-1.4573310613632202
-2.2199999999999998,-1.382883071899414
-2.2800000000000002,-1.3383073806762695
-2.34,-1.271201491355896
-2.4000000000000004,-1.2296710014343262
-2.46,-1.1824842691421509
-2.52,-1.1468620300292969
-2.58,-1.097530722618103
-2.64,-1.0671385526657104
-2.7,-1.0264322757720947
-2.7600000000000002,-0.9972567558288574
-2.82,-0.9625668525695801
-2.88,-0.9344006180763245
-2.94,-0.9077820777893066
-3.0,-0.8831388354301453
-3.06,-0.8680857419967651
-3.12,-0.8459388017654419
-3.18,-0.8262090086936951
-3.24,-0.8082714676856995
-3.3000000000000003,-0.7919465899467468
-3.3600000000000003,-0.7791460156440735
-3.42,-0.7704057097434998
-3.4799999999999995,-0.758984386920929
-3.54,-0.7523605227470398
-3.5999999999999996,-0.7438109517097473
-3.66,-0.7293328642845154
-3.7199999999999998,-0.7131140232086182
-3.7800000000000002,-0.695604145526886
-3.84,-0.6774266958236694
-3.9000000000000004,-0.6576364040374756
-3.96,-0.644982635974884
-4.0200000000000005,-0.6230015158653259
-4.08,-0.6041525602340698
-4.14,-0.588560938835144
-4.199999999999999,-0.5695148706436157
-4.26,-0.5550122261047363
-4.32,-0.5391712784767151
-4.38,-0.5194877982139587
-4.4399999999999995,-0.5016506910324097
-4.5,-0.4804549813270569
-4.5600000000000005,-0.46903395652770996
-4.62,-0.44641780853271484
-4.68,-0.42427968978881836
-4.74,-0.4137686789035797
-4.800000000000001,-0.39705690741539
-4.86,-0.37971559166908264
-4.92,-0.36049047112464905
-4.9799999999999995,-0.34789296984672546
-5.04,-0.32541441917419434
-5.1,-0.30909016728401184
-5.16,-0.28831765055656433
-5.22,-0.27784475684165955
-5.28,-0.2569597065448761
-5.34,-0.24655139446258545
-5.4,-0.22850877046585083
-5.46,-0.2078271210193634
-5.5200000000000005,-0.19776606559753418
-5.58,-0.17961610853672028
-5.64,-0.16638495028018951
-5.699999999999999,-0.143192857503891
-5.76,-0.12774017453193665
-5.82,-0.11466924846172333
-5.88,-0.09673409163951874
-5.9399999999999995,-0.086692214012146
-6.0,-0.06620258837938309
0.0,-3.415621519088745
-0.06,-3.4783506393432617
-0.12,-3.6086294651031494
-0.18,-3.7033722400665283
-0.24,-3.8014743328094482
-0.30000000000000004,-3.904675245285034
-0.36,-4.015036582946777
-0.42000000000000004,-4.130725860595703
-0.48,-4.3053412437438965
-0.54,-4.405764102935791
-0.6000000000000001,-4.543631076812744
-0.66,-4.641787528991699
-0.72,-4.661628723144531
-0.78,-4.721287250518799
-0.8400000000000001,-4.712769985198975
-0.8999999999999999,-4.723499774932861
-0.96,-4.60217809677124
-1.02,-4.404915809631348
-1.08,-4.233744144439697
-1.1400000000000001,-4.008064270019531
-1.2000000000000002,-3.7393479347229004
-1.26,-3.4952380657196045
-1.32,-3.3314199447631836
-1.3800000000000001,-3.1115128993988037
-1.44,-2.9239630699157715
-1.5,-2.728133201599121
-1.56,-2.501152276992798
-1.62,-2.367833375930786
-1.6800000000000002,-2.2391576766967773
-1.7399999999999998,-2.0762557983398438
-1.7999999999999998,-1.981173038482666
-1.8599999999999999,-1.8714650869369507
