"Line Probe 2: Direction [0,1,0] (m)","Line Probe 2: Velocity[j] (m/s)"
-1.6800000000000002,-1.5075087547302246
-1.7399999999999998,-1.424326777458191
-1.7999999999999998,-1.3780629634857178
-1.8599999999999999,-1.3273873329162598
-1.92,-1.2857732772827148
-1.98,-1.2339451313018799
-2.04,-1.184903860092163
-2.0999999999999996,-1.154758334159851
-2.16,-1.1090943813323975
-2.2199999999999998,-1.0674892663955688
-2.2800000000000002,-1.0424336194992065
-2.34,-1.0062530040740967
-2.4000000000000004,-0.9837896227836609
-2.46,-0.9512891173362732
-2.52,-0.9230438470840454
-2.58,-0.899972677230835
-2.64,-0.8801371455192566
-2.7,-0.8521587252616882
-2.7600000000000002,-0.8331719636917114
-2.82,-0.8116645812988281
-2.88,-0.7932734489440918
-2.94,-0.7691534161567688
-3.0,-0.7525149583816528
-3.06,-0.7370648384094238
-3.12,-0.7165771722793579
-3.18,-0.7027482390403748
-3.24,-0.6895450949668884
-3.3000000000000003,-0.6742237210273743
-3.3600000000000003,-0.6572850942611694
-3.42,-0.6457018256187439
-3.4799999999999995,-0.6345171928405762
-3.54,-0.6195587515830994
-3.5999999999999996,-0.6080104112625122
-3.66,-0.5926377773284912
-3.7199999999999998,-0.5762414932250977
-3.7800000000000002,-0.5575962662696838
-3.84,-0.5398451685905457
-3.9000000000000004,-0.5282589793205261
-3.96,-0.511163055896759
-4.0200000000000005,-0.49434781074523926
-4.08,-0.48000508546829224
-4.14,-0.46349847316741943
-4.199999999999999,-0.44708365201950073
-4.26,-0.4362477660179138
-4.32,-0.4200293719768524
-4.38,-0.4022163450717926
-4.4399999999999995,-0.3915872871875763
-4.5,-0.37393930554389954
-4.5600000000000005,-0.3594019412994385
-4.62,-0.34672945737838745
-4.68,-0.33861324191093445
-4.74,-0.32324841618537903
-4.800000000000001,-0.3058101236820221
-4.86,-0.29289165139198303
-4.92,-0.2783298194408417
-4.9799999999999995,-0.2667524516582489
-5.04,-0.25584807991981506
-5.1,-0.23886026442050934
-5.16,-0.2286166548728943
-5.22,-0.21534454822540283
-5.28,-0.201570525765419
-5.34,-0.18748235702514648
-5.4,-0.17872025072574615
-5.46,-0.16484768688678741
-5.5200000000000005,-0.15291164815425873
-5.58,-0.14023253321647644
-5.64,-0.1266821324825287
-5.699999999999999,-0.11770402640104294
-5.76,-0.0989016592502594
-5.82,-0.08950351923704147
-5.88,-0.07666298747062683
-5.9399999999999995,-0.06753935664892197
-6.0,-0.050096385180950165
0.0,-3.0342438220977783
-0.06,-3.136934518814087
-0.12,-3.225149631500244
-0.18,-3.295520305633545
-0.24,-3.3930628299713135
-0.30000000000000004,-3.531501054763794
-0.36,-3.6362600326538086
-0.42000000000000004,-3.7758994102478027
-0.48,-3.872659206390381
-0.54,-3.9512813091278076
-0.6000000000000001,-3.919445276260376
-0.66,-3.7578752040863037
-0.72,-3.54152250289917
-0.78,-3.297398090362549
-0.8400000000000001,-2.9649434089660645
-0.8999999999999999,-2.7585456371307373
-0.96,-2.633934736251831
-1.02,-2.528944730758667
-1.08,-2.4922587871551514
-1.1400000000000001,-2.392537832260132
-1.2000000000000002,-2.2400994300842285
-1.26,-2.0911319255828857
-1.32,-2.0057291984558105
-1.3800000000000001,-1.909399151802063
-1.44,-1.8024687767028809
-1.5,-1.7296336889266968
-1.56,-1.6401184797286987
-1.62,-1.5765162706375122
