"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,3.13347912551928
2.0,3.999346997752012
3.0,0.4978100297744665
4.0,-1.419522530200958
5.0,-1.43107986838911
6.0,-1.323781623503529
7.0,-1.200194454308647
8.0,-1.0335976900728652
9.0,-0.7853328822370231
10.0,-0.5449967941422815
11.0,-0.43727532561056026
12.0,-0.428126588304166
13.0,-0.4020530814189728
14.0,-0.3765615508143276
15.0,-0.37462959781732336
16.0,-0.3681730384769454
17.0,-0.34182845724812566
18.0,-0.34059813218161294
19.0,-0.3067018430852761
20.0,-0.30836906548367893
21.0,-0.3077896876477326
22.0,-0.31799245980921403
23.0,-0.3310457927560847
24.0,-0.3426621285443604
25.0,-0.3644704152080415
26.0,-0.37715522033483223
27.0,-0.46029398492542317
28.0,-0.47383281423197116
29.0,-0.4816592509407306
30.0,-0.48431491179509406
31.0,-0.4824158040190989
32.0,-0.4755096779289087
33.0,-0.4636520948747358
34.0,-0.45407140445624766
35.0,-0.43079136023483233
36.0,-0.40683504565521006
37.0,-0.394100468444259
38.0,-0.3699816918866386
39.0,-0.35830299017925754
40.0,-0.3373148434056759
41.0,-0.32899695017010816
42.0,-0.32220630777939374
43.0,-0.3136110268076822
44.0,-0.3118334064653878
45.0,-0.3112215399709429
46.0,-0.3128521224511783
47.0,-0.31598206629298303
48.0,-0.3211723716277341
49.0,-0.3283695101043929
50.0,-0.33752210728284293
51.0,-0.35656551090799443
52.0,-0.36757267545316263
53.0,-0.3782160409923195
54.0,-0.3886568980366564
55.0,-0.3980577074326421
56.0,-0.40591130279967896
57.0,-0.41250820755127116
58.0,-0.41724747500523085
59.0,-0.4203629652982565
60.0,-0.4219334035263569
61.0,-0.4212624682978617
62.0,-0.4194178392755394
63.0,-0.41631003644879533
64.0,-0.41203690693323375
65.0,-0.40722511593684446
66.0,-0.4014951326487127
67.0,-0.39561893873958887
68.0,-0.3896849799112855
69.0,-0.3821151184096932
70.0,-0.3771157112376472
71.0,-0.372763470530317
72.0,-0.36786830694266875
73.0,-0.36524733927816594
74.0,-0.3633479869418298
75.0,-0.3620925195269157
76.0,-0.362437014124129
77.0,-0.3638889387273609
78.0,-0.3658261984258782
79.0,-0.36862574854609165
80.0,-0.3731289216115113
81.0,-0.3768857146000438
82.0,-0.38252452469559955
83.0,-0.3882160506660844
84.0,-0.3938811129982758
85.0,-0.3990463279412171
86.0,-0.40486651624589376
87.0,-0.4075786646881828
88.0,-0.4113134924342099
89.0,-0.4139009269224365
90.0,-0.4146643132046682
91.0,-0.4140221561353906
92.0,-0.40958599272669316
93.0,-0.40355100080321643
94.0,-0.3962682202985749
95.0,-0.38955428155400484
96.0,-0.3860695773975989
97.0,-0.3804610210559446
98.0,-0.37952034724319667
99.0,-0.3799924471521912
100.0,-0.38125449332913186
101.0,-0.3832411468915846
102.0,-0.3876808816495807
103.0,-0.3897207357490123
104.0,-0.39799392652366544
105.0,-0.39956567549286204
106.0,-0.4025976986853548
107.0,-0.4070698779017765
108.0,-0.4112267894186464
109.0,-0.41483673134511934
110.0,-0.42054211516197004
111.0,-0.42456485433606944
112.0,-0.43007185705952683
113.0,-0.4333062066438955
114.0,-0.4394165610564552
115.0,-0.4426857087636124
116.0,-0.44892651807687106
117.0,-0.4552726857860986
118.0,-0.4613250906296516
119.0,-0.4678529977005333
120.0,-0.4747152338885188
121.0,-0.48200168441893837
122.0,-0.4863121946729767
123.0,-0.49629240960800153
124.0,-0.5016424887255168
125.0,-0.5098318298175155
126.0,-0.5163708675538213
