"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,7.261934954797005
2.0,5.662504250658224
3.0,0.5291168515984183
4.0,-1.369603246011736
5.0,-1.3383497024858866
6.0,-1.2777358232022178
7.0,-1.2479006234295595
8.0,-1.182063932849417
9.0,-1.0149789186990155
10.0,-0.7343646940911593
11.0,-0.5551978677278103
12.0,-0.5322464640880319
13.0,-0.4632609685251334
14.0,-0.3711425829466165
15.0,-0.35212881292308984
16.0,-0.331832526215014
17.0,-0.27461353029390134
18.0,-0.2705691820262294
19.0,-0.2626814614942637
20.0,-0.26303363840286936
21.0,-0.2627252475849362
22.0,-0.28755228445899805
23.0,-0.3043436748168409
24.0,-0.31585398339024984
25.0,-0.33775947308160476
26.0,-0.3508741499633438
27.0,-0.4373512334138924
28.0,-0.44919277297774035
29.0,-0.4529890596031947
30.0,-0.45018696471030456
31.0,-0.43799677010891735
32.0,-0.4225656704001656
33.0,-0.40334239369168756
34.0,-0.38995252842717715
35.0,-0.3606904407748118
36.0,-0.3330491138819941
37.0,-0.3191246659000425
38.0,-0.29422513228958525
39.0,-0.2828193090468669
40.0,-0.26440385312884634
41.0,-0.2566299716126879
42.0,-0.25029557466424124
43.0,-0.24202798179733961
44.0,-0.23956479744438447
45.0,-0.23746552815611002
46.0,-0.23702003798414828
47.0,-0.2381817896091731
48.0,-0.24195736347514987
49.0,-0.248405882322441
50.0,-0.2573266720304264
51.0,-0.2760652350518668
52.0,-0.28615802957485714
53.0,-0.2959260892372831
54.0,-0.30502303862000996
55.0,-0.3124015925885598
56.0,-0.3179143196839811
57.0,-0.321732237229816
58.0,-0.32340991331948954
59.0,-0.3234715271828072
60.0,-0.32226944001378166
61.0,-0.31930810803934884
62.0,-0.31548196800233563
63.0,-0.3108772131006124
64.0,-0.3050546294077363
65.0,-0.2989540595608774
66.0,-0.2920530123515069
67.0,-0.2851974298016897
68.0,-0.27836996763380645
69.0,-0.26972282922040575
70.0,-0.26388772950678246
71.0,-0.2588902921059523
72.0,-0.2530553830343281
73.0,-0.24940738171964477
74.0,-0.24607994443842307
75.0,-0.24207819279707243
76.0,-0.24029376691222168
77.0,-0.2387677129031909
78.0,-0.23855874409854
79.0,-0.23925301379625938
80.0,-0.2408560566544361
81.0,-0.24236602740510568
