"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-3.441368341445923
-0.06,-3.5994982719421387
-0.12,-3.6961941719055176
-0.18,-3.79302716255188
-0.24,-3.8997228145599365
-0.30000000000000004,-4.031971454620361
-0.36,-4.168703079223633
-0.42000000000000004,-4.296292781829834
-0.48,-4.440056324005127
-0.54,-4.565055847167969
-0.6000000000000001,-4.6000542640686035
-0.66,-4.693771839141846
-0.72,-4.816428184509277
-0.78,-4.883900165557861
-0.8400000000000001,-5.011481285095215
-0.8999999999999999,-5.092747688293457
-0.96,-5.076496601104736
-1.02,-4.948905944824219
-1.08,-4.863264560699463
-1.1400000000000001,-4.648449420928955
-1.2000000000000002,-3.79548716545105
-1.26,-3.327343702316284
-1.32,-3.1640703678131104
-1.3800000000000001,-3.0532596111297607
-1.44,-2.922717571258545
-1.5,-2.745781898498535
-1.56,-2.6204962730407715
-1.62,-2.4800360202789307
-1.6800000000000002,-2.3516786098480225
-1.7399999999999998,-2.217374086380005
-1.7999999999999998,-2.105121612548828
-1.8599999999999999,-2.015730142593384
-1.92,-1.8894627094268799
-1.98,-1.796590805053711
-2.04,-1.6888823509216309
-2.0999999999999996,-1.6103726625442505
-2.16,-1.5559110641479492
-2.2199999999999998,-1.4877811670303345
-2.2800000000000002,-1.423459768295288
-2.34,-1.349802851676941
-2.4000000000000004,-1.297088623046875
-2.46,-1.2485255002975464
-2.52,-1.2138742208480835
-2.58,-1.161028265953064
-2.64,-1.1186968088150024
-2.7,-1.0747026205062866
-2.7600000000000002,-1.0487415790557861
-2.82,-1.01060950756073
-2.88,-0.9755046367645264
-2.94,-0.9456050992012024
-3.0,-0.9257439970970154
-3.06,-0.8974011540412903
-3.12,-0.8716785907745361
-3.18,-0.8494901657104492
-3.24,-0.8260546326637268
-3.3000000000000003,-0.8121548295021057
-3.3600000000000003,-0.7864742279052734
-3.42,-0.7735467553138733
-3.4799999999999995,-0.7472850680351257
-3.54,-0.7345498204231262
-3.5999999999999996,-0.7166379690170288
-3.66,-0.7057147026062012
-3.7199999999999998,-0.6831863522529602
-3.7800000000000002,-0.6633380055427551
-3.84,-0.6363160610198975
-3.9000000000000004,-0.6185212731361389
-3.96,-0.600993275642395
-4.0200000000000005,-0.5764366388320923
-4.08,-0.5535436868667603
-4.14,-0.5369089245796204
-4.199999999999999,-0.5206596255302429
-4.26,-0.49429258704185486
-4.32,-0.47780588269233704
-4.38,-0.46141326427459717
-4.4399999999999995,-0.4359988570213318
-4.5,-0.4207196533679962
-4.5600000000000005,-0.39595529437065125
-4.62,-0.3778648376464844
-4.68,-0.36237990856170654
-4.74,-0.3473844826221466
-4.800000000000001,-0.33446311950683594
-4.86,-0.3181276321411133
-4.92,-0.3048364222049713
-4.9799999999999995,-0.2894226312637329
-5.04,-0.2742537558078766
-5.1,-0.2617623209953308
-5.16,-0.2472180724143982
-5.22,-0.22657711803913116
-5.28,-0.2205561399459839
-5.34,-0.20064030587673187
-5.4,-0.1863127201795578
-5.46,-0.17908737063407898
-5.5200000000000005,-0.15845663845539093
-5.58,-0.14748939871788025
-5.64,-0.13179072737693787
-5.699999999999999,-0.12140937149524689
-5.76,-0.10605946183204651
-5.82,-0.09609904140233994
-5.88,-0.08141627162694931
-5.9399999999999995,-0.06652383506298065
-6.0,-0.056556638330221176
