"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,4.476040592664656
2.0,4.94518935458972
3.0,1.400385590778463
4.0,-0.5828963144563838
5.0,-0.6291321206564537
6.0,-0.6983288966114531
7.0,-0.9315319770411646
8.0,-0.9703492934022735
9.0,-1.1055659884026598
10.0,-1.2901717608843364
11.0,-1.277048865202689
12.0,-1.0323212580016865
13.0,-0.9497905238297182
14.0,-0.5521350378554254
15.0,-0.20001045035132886
16.0,-0.1516366919079375
17.0,0.09267163576380387
18.0,0.09704071758753337
19.0,0.08179522444488734
20.0,0.06201975259645598
21.0,-0.13926591635561167
22.0,-0.17387271483969832
23.0,-0.3922231594632641
24.0,-0.4136767559598557
25.0,-0.4281943858567469
26.0,-0.4517282359603768
27.0,-0.4578278913195655
28.0,-0.46044838067824556
29.0,-0.45897921965326705
30.0,-0.4475838433939992
31.0,-0.43750958534187795
32.0,-0.42457729164081515
33.0,-0.39582732516760194
34.0,-0.38034401110325033
35.0,-0.34926880436188684
36.0,-0.33417640254823544
37.0,-0.2838898096250214
38.0,-0.27562014777683547
39.0,-0.2701646887358589
40.0,-0.2666676168484125
41.0,-0.2663299403368787
42.0,-0.26897232468125426
43.0,-0.2742346976421685
44.0,-0.28244540118692013
45.0,-0.29988132866419875
46.0,-0.31119836065791195
47.0,-0.3346628242499364
48.0,-0.34751864287079476
49.0,-0.369655565462333
50.0,-0.3796804532070343
51.0,-0.38851255601590373
52.0,-0.40127971373593135
53.0,-0.4060349785223881
54.0,-0.40858424986695735
55.0,-0.4090095068025524
56.0,-0.4066788541477733
57.0,-0.4030843139650956
58.0,-0.39810044486671264
59.0,-0.38970961931843934
60.0,-0.38258498741685193
61.0,-0.36869638361640167
62.0,-0.3614818231442908
63.0,-0.35236581224649216
64.0,-0.34378531406626
65.0,-0.33762815636061866
66.0,-0.33317525661790537
67.0,-0.3313964908711647
68.0,-0.3312346377191985
69.0,-0.3325908158365025
70.0,-0.33526880121977376
71.0,-0.3404002092700868
72.0,-0.34519704214992786
73.0,-0.35118999509309284
74.0,-0.3622948238483134
75.0,-0.3688717126756431
76.0,-0.3779271665928523
77.0,-0.3842185590239978
78.0,-0.39019761072531794
79.0,-0.3979364642853758
80.0,-0.4031112356411757
81.0,-0.40769793248982683
82.0,-0.41155540217125597
83.0,-0.4146367174611314
84.0,-0.41697835943133416
85.0,-0.41833351833940374
86.0,-0.4192310423471432
87.0,-0.4188939452288638
88.0,-0.4168463461112762
89.0,-0.4132780736532926
90.0,-0.4096425152566019
91.0,-0.405135133572053
92.0,-0.4007824283491867
93.0,-0.3976325886437474
94.0,-0.3912311901104432
95.0,-0.38815183777915235
96.0,-0.3858099612623272
97.0,-0.38265745405990165
98.0,-0.37976831040519493
99.0,-0.3799225389132597
100.0,-0.38300822199557133
101.0,-0.38408585150744495
102.0,-0.3870738849490755
103.0,-0.390271938634391
104.0,-0.39442764629794763
105.0,-0.39760882386157215
106.0,-0.40472738243015965
107.0,-0.4067184141528256
108.0,-0.41289072388031745
109.0,-0.4154611703259233
110.0,-0.42255602884892673
111.0,-0.4256499425659778
112.0,-0.43229261534302627
113.0,-0.4363467910781408
114.0,-0.4442204729906022
115.0,-0.4501927828395591
116.0,-0.45706155552735134
117.0,-0.46475823926077675
118.0,-0.4728612982456073
119.0,-0.48478192465703934
120.0,-0.4935874009402843
121.0,-0.5060710673713372
122.0,-0.5157904176832006
123.0,-0.5288505310192847
124.0,-0.5400609115047497
125.0,-0.5489864233159762
126.0,-0.5604147731757811
127.0,-0.5708484564552041
128.0,-0.5772795666485793
129.0,-0.5860074151545434
130.0,-0.5938035239755971
131.0,-0.6003427875767272
132.0,-0.6064272728713493
133.0,-0.611957302583633
134.0,-0.6147045701802839
135.0,-0.619115860866193
136.0,-0.6213277968723826
137.0,-0.6250058250730676
138.0,-0.6270374753381275
139.0,-0.6296534431855537
140.0,-0.6321057294266491
141.0,-0.6340117777909108
142.0,-0.6368711767809198
143.0,-0.6384170273873705
144.0,-0.6402186686535304
145.0,-0.6422795911956778
146.0,-0.6443344144527808
147.0,-0.6464917322814142
148.0,-0.6502363517332034
149.0,-0.6520868786526794
150.0,-0.6546173700431361
151.0,-0.6593448477390991
152.0,-0.6617123746177612
153.0,-0.664755425871699
154.0,-0.6680985365703139
155.0,-0.6715190425922829
156.0,-0.6751927528129812
157.0,-0.6793931373157165
158.0,-0.6833859544968692
159.0,-0.6899478912133771
160.0,-0.6932167686082142
161.0,-0.6967481521884398
162.0,-0.7013712819260765
163.0,-0.7035397864950108
164.0,-0.7055205539581105
165.0,-0.7073330990761371
166.0,-0.7088457372488904
167.0,-0.7100045405276649
168.0,-0.7112701171681767
169.0,-0.7125301918589768
170.0,-0.7138321259710146
171.0,-0.7153492229528973
172.0,-0.7170037082929023
173.0,-0.719130197638206
174.0,-0.7216313552180447
175.0,-0.7245401079065877
176.0,-0.7278286432580013
177.0,-0.7315750955068275
178.0,-0.7355832497877409
179.0,-0.7399433180531431
180.0,-0.7446449925174565
181.0,-0.7496886923660759
182.0,-0.7548039323723594
183.0,-0.7600196215748827
184.0,-0.7680495407327983
185.0,-0.7718661208139513
186.0,-0.7756533929477146
187.0,-0.780745471057017
188.0,-0.7827735422464989
189.0,-0.7856318086505825
190.0,-0.7866480562944179
191.0,-0.7878227151353779
192.0,-0.7879557165450027
193.0,-0.7871284646229799
194.0,-0.7867897444661855
195.0,-0.7870703191635661
196.0,-0.7869956724975907
197.0,-0.7874512823985865
198.0,-0.7885479842669911
199.0,-0.7904387836253822
200.0,-0.792036864344216
201.0,-0.7946340458536948
202.0,-0.7993548627282198
203.0,-0.8023334229048481
204.0,-0.8067737930008155
205.0,-0.8104829684143461
206.0,-0.815846733411678
207.0,-0.8199401414788833
208.0,-0.8255390962787268
209.0,-0.8296659172945519
210.0,-0.834909496655454
211.0,-0.8387002005449059
212.0,-0.8444094485326825
213.0,-0.8474013197342711
214.0,-0.8518655578461498
215.0,-0.8541138167754377
216.0,-0.857246536589469
217.0,-0.8592066896160695
218.0,-0.8606610482584158
219.0,-0.8619990199496018
220.0,-0.8631757154883307
221.0,-0.8641332654646755
222.0,-0.8655583604409037
223.0,-0.8674434659523119
224.0,-0.8698663972153438
225.0,-0.8728252591775479
226.0,-0.8764139581059707
227.0,-0.8805114998761876
228.0,-0.8851770540339153
229.0,-0.8900524850322177
230.0,-0.8953065114666202
231.0,-0.9006376866926837
232.0,-0.9056331460016132
233.0,-0.9104413897041516
234.0,-0.9151415367341944
235.0,-0.9180402352787035
236.0,-0.9229809323296565
237.0,-0.9255453983303867
238.0,-0.9293434275975508
239.0,-0.932820202024984
240.0,-0.9365227527341756
241.0,-0.9386313440447686
242.0,-0.9422277645886792
243.0,-0.9442074099678773
244.0,-0.9476069686355398
245.0,-0.9495761944236917
246.0,-0.9528173220690586
247.0,-0.9547681789949088
248.0,-0.9580429622164813
249.0,-0.9600848270292546
250.0,-0.9633061870080488
251.0,-0.9653556001495057
252.0,-0.968702976909063
253.0,-0.9708304995320906
254.0,-0.9742813970902302
255.0,-0.976416226663299
256.0,-0.979654295694395
257.0,-0.9827520089648447
258.0,-0.9853501613468504
259.0,-0.9888188124869702
260.0,-0.991595329698444
261.0,-0.9947638611884704
262.0,-0.9980034916877647
263.0,-1.0014575955995524
264.0,-1.0050692435682098
265.0,-1.0088151878081904
266.0,-1.0126353389521427
267.0,-1.0166687690279699
268.0,-1.0208920014761746
269.0,-1.0252488068225662
270.0,-1.0296535953074926
271.0,-1.034491221026127
272.0,-1.039159864082959
273.0,-1.0438196367747148
274.0,-1.0485171710079713
275.0,-1.0531930608771016
276.0,-1.0580059628942862
277.0,-1.062477541621478
278.0,-1.0667688669661908
279.0,-1.0708805408351179
280.0,-1.0747823267988421
281.0,-1.0783563303670294
282.0,-1.0815376417827325
283.0,-1.0850043370112719
284.0,-1.0871579179574844
285.0,-1.088291346705356
286.0,-1.0888736213196575
287.0,-1.0883939602279369
288.0,-1.0879528215649332
289.0,-1.0855925582007695
290.0,-1.0842368177915975
291.0,-1.0834524946890876
292.0,-1.0825045263787063
293.0,-1.081897664406608
294.0,-1.0817865341893675
295.0,-1.0819513184864915
296.0,-1.0822762752501571
297.0,-1.0830399974634535
298.0,-1.083929785567647
299.0,-1.0858798249777992
300.0,-1.087327821898969
301.0,-1.0898687276491406
302.0,-1.0915224625892364
303.0,-1.09481279270983
304.0,-1.0972845044728718
305.0,-1.0990397423444824
306.0,-1.100930104725165
307.0,-1.101788025120264
308.0,-1.1041274020070373
309.0,-1.1055481699025322
310.0,-1.1060003570433234
311.0,-1.1074015372297075
312.0,-1.1076689592571909
313.0,-1.1086741403266513
314.0,-1.109212531463299
315.0,-1.1099294229213752
316.0,-1.1107553696011132
317.0,-1.1118706063621324
318.0,-1.1132697613163367
319.0,-1.1150980579811187
320.0,-1.117484314881513
321.0,-1.1203064301690788
322.0,-1.1226846473741459
323.0,-1.1277697427555005
324.0,-1.129277417000452
325.0,-1.1359352905385942
326.0,-1.1371081388602882
327.0,-1.1418596767443612
328.0,-1.1426453446984308
329.0,-1.1444555009116264
330.0,-1.1463893370569067
331.0,-1.1467259346291183
332.0,-1.1476964616320378
333.0,-1.1483245875656782
334.0,-1.1488776836220904
335.0,-1.1493162880052359
336.0,-1.1498185066713815
337.0,-1.15036551279623
338.0,-1.1509970625946406
339.0,-1.1514275302779704
340.0,-1.153637482596403
341.0,-1.1550257748091117
342.0,-1.1556662288066586
343.0,-1.1596764701365792
344.0,-1.1600254978146056
345.0,-1.1621018181577203
346.0,-1.1643478918433114
347.0,-1.1668127519520153
348.0,-1.169401906767473
349.0,-1.172094700677623
350.0,-1.1748890078430152
351.0,-1.177690624102278
352.0,-1.1804973683100226
353.0,-1.183223605276446
354.0,-1.1857960166032246
355.0,-1.1883113639704261
356.0,-1.1906519716656436
357.0,-1.1928784870777358
