"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,5.141667179188998
2.0,3.7753496704449465
3.0,1.2972548813737965
4.0,0.1245823034031468
5.0,-0.7278913886111614
6.0,-0.7530753680887571
7.0,-0.9440689619920526
8.0,-0.9812862866225938
9.0,-1.2171092921710136
10.0,-1.4762240787262266
11.0,-1.4222177645275385
12.0,-1.1349400460436883
13.0,-1.0889834586297693
14.0,-0.4128796794654883
15.0,-0.32459841361987585
16.0,-0.027655532165556277
17.0,-0.005988127935298586
18.0,0.0409125414181018
19.0,0.03170884051908579
20.0,-0.1640559755514215
21.0,-0.17921037503569345
22.0,-0.36456896871910766
23.0,-0.37909524280094203
24.0,-0.38787240220010605
25.0,-0.3908157937360917
26.0,-0.3936088425619878
27.0,-0.39419882328704214
28.0,-0.3907643850065459
29.0,-0.3834752704268187
30.0,-0.37436437994331473
31.0,-0.36411756861286826
32.0,-0.3525672597613448
33.0,-0.33930542398493285
34.0,-0.3247315188264602
35.0,-0.2992381841921622
36.0,-0.28817759235291257
37.0,-0.2776235503100236
38.0,-0.267451887103353
39.0,-0.2579844546923662
40.0,-0.25003236605689416
41.0,-0.2447494716941459
42.0,-0.24080044397367764
43.0,-0.23711882362475536
44.0,-0.23759241969787975
45.0,-0.2393869198933249
46.0,-0.24213879952399597
47.0,-0.24576284741888174
48.0,-0.250869691264151
49.0,-0.2570298296716903
50.0,-0.26372042670809825
51.0,-0.2717439299722281
52.0,-0.2794381564241919
53.0,-0.2928513397911998
54.0,-0.29848120891395696
55.0,-0.3052833063940416
56.0,-0.3088108344786303
57.0,-0.3082790540640801
58.0,-0.303882286918673
59.0,-0.2999585789850823
60.0,-0.29369773133767335
61.0,-0.28406964995289796
62.0,-0.2781922382921147
63.0,-0.2670512773794253
64.0,-0.2554588250732278
65.0,-0.24418120761366302
66.0,-0.2341429193925753
67.0,-0.22787926262722102
68.0,-0.22249926401077813
69.0,-0.21828777000383257
70.0,-0.21585751394990588
71.0,-0.215366629491447
72.0,-0.2165661273268302
73.0,-0.21875574561202737
74.0,-0.2226291849861112
75.0,-0.2267545465085903
76.0,-0.2310772982878656
77.0,-0.23500550219392022
78.0,-0.2376674342023459
79.0,-0.24082424543245928
80.0,-0.24297683038953832
81.0,-0.24339606295962027
82.0,-0.24213438907993007
83.0,-0.23973246143678667
84.0,-0.2324191740471382
85.0,-0.22139535614637884
86.0,-0.2116463820152048
87.0,-0.19663441894161102
88.0,-0.18280396375670033
89.0,-0.1756143055154745
90.0,-0.16531730023135735
91.0,-0.15992266816609962
92.0,-0.1562370798226573
93.0,-0.15623465763783562
94.0,-0.15776834990207395
95.0,-0.15796770400781948
96.0,-0.16000866791775903
97.0,-0.1627791973246775
98.0,-0.1648125671305837
99.0,-0.16988763763657197
100.0,-0.17307202355096243
101.0,-0.1796741444781287
102.0,-0.18371254793707428
103.0,-0.19100666592100266
104.0,-0.1951514034851306
105.0,-0.2030078842158834
106.0,-0.20770617951833606
107.0,-0.21787978055719034
108.0,-0.22281360598737351
109.0,-0.2309178213259429
110.0,-0.23439963584256865
111.0,-0.24105007017078608
112.0,-0.24445356998992712
113.0,-0.2507290268931148
114.0,-0.2534635586480744
115.0,-0.2588207432082417
116.0,-0.2607550658893764
117.0,-0.26504971033025804
118.0,-0.2669571634388498
119.0,-0.26985189030722717
120.0,-0.2708219148500439
121.0,-0.27138608429708994
122.0,-0.2715861461808111
123.0,-0.27160214516413195
124.0,-0.2714917789482931
125.0,-0.2701089036084722
126.0,-0.2692991013529736
127.0,-0.26852773087926185
