"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-1.7399999999999998,-1.3838688135147095
-1.7999999999999998,-1.3477637767791748
-1.8599999999999999,-1.310996651649475
-1.92,-1.2804964780807495
-1.98,-1.2433581352233887
-2.04,-1.2089470624923706
-2.0999999999999996,-1.1864194869995117
-2.16,-1.150377631187439
-2.2199999999999998,-1.117505431175232
-2.2800000000000002,-1.0968291759490967
-2.34,-1.0671895742416382
-2.4000000000000004,-1.048721194267273
-2.46,-1.02066171169281
-2.52,-1.0020025968551636
-2.58,-0.9705179333686829
-2.64,-0.9516632556915283
-2.7,-0.9362534880638123
-2.7600000000000002,-0.9131503105163574
-2.82,-0.8914709091186523
-2.88,-0.8713762164115906
-2.94,-0.8532282114028931
-3.0,-0.8298245668411255
-3.06,-0.8127321004867554
-3.12,-0.7977418899536133
-3.18,-0.7805882692337036
-3.24,-0.7581655383110046
-3.3000000000000003,-0.7420145273208618
-3.3600000000000003,-0.7283505201339722
-3.42,-0.7076451182365417
-3.4799999999999995,-0.6920186281204224
-3.54,-0.677950382232666
-3.5999999999999996,-0.6585856676101685
-3.66,-0.6435205936431885
-3.7199999999999998,-0.6260049343109131
-3.7800000000000002,-0.608636736869812
-3.84,-0.5945985913276672
-3.9000000000000004,-0.5774495005607605
-3.96,-0.5628470778465271
-4.0200000000000005,-0.5459046363830566
-4.08,-0.5311409831047058
-4.14,-0.512728214263916
-4.199999999999999,-0.49593764543533325
-4.26,-0.4827420115470886
-4.32,-0.46916264295578003
-4.38,-0.453020304441452
-4.4399999999999995,-0.43784210085868835
-4.5,-0.42272570729255676
-4.5600000000000005,-0.4114576578140259
-4.62,-0.3979165554046631
-4.68,-0.38442569971084595
-4.74,-0.36066630482673645
-4.800000000000001,-0.3507768511772156
-4.86,-0.33489298820495605
-4.92,-0.31737351417541504
-4.9799999999999995,-0.3063504099845886
-5.04,-0.29519128799438477
-5.1,-0.2733219265937805
-5.16,-0.256558358669281
-5.22,-0.2447265386581421
-5.28,-0.23341280221939087
-5.34,-0.21572747826576233
-5.4,-0.20212335884571075
-5.46,-0.18716421723365784
-5.5200000000000005,-0.1736200749874115
-5.58,-0.15988284349441528
-5.64,-0.14701832830905914
-5.699999999999999,-0.12865674495697021
-5.76,-0.1160677820444107
-5.82,-0.10056434571743011
-5.88,-0.08813942223787308
-5.9399999999999995,-0.06924454867839813
-6.0,-0.059746380895376205
0.0,-2.8024888038635254
-0.06,-2.843280553817749
-0.12,-2.890514850616455
-0.18,-2.938222885131836
-0.24,-3.010014295578003
-0.30000000000000004,-3.0605361461639404
-0.36,-3.1397666931152344
-0.42000000000000004,-3.2006874084472656
-0.48,-3.2291452884674072
-0.54,-3.056574583053589
-0.6000000000000001,-2.818739175796509
-0.66,-2.5380454063415527
-0.72,-2.2004194259643555
-0.78,-1.8311201333999634
-0.8400000000000001,-1.626696228981018
-0.8999999999999999,-1.4993325471878052
-0.96,-1.4729357957839966
-1.02,-1.5314452648162842
-1.08,-1.7751045227050781
-1.1400000000000001,-2.040245294570923
-1.2000000000000002,-2.0485637187957764
-1.26,-1.9190665483474731
-1.32,-1.8268145322799683
-1.3800000000000001,-1.759804606437683
-1.44,-1.6693910360336304
-1.5,-1.5998032093048096
-1.56,-1.5356999635696411
-1.62,-1.4923762083053589
-1.6800000000000002,-1.4440687894821167
