"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,5.853933203117154
2.0,4.077341430493487
3.0,1.3908733801471895
4.0,-0.8047880491904588
5.0,-0.7577153296873921
6.0,-0.7010913932319282
7.0,-0.8189290726747133
8.0,-0.9338186067128401
9.0,-1.102641215698699
10.0,-1.3175422444135263
11.0,-1.3222592489257017
12.0,-1.2080033587791879
13.0,-1.108282176716893
14.0,-0.7394641875524857
15.0,-0.6951718657294915
16.0,-0.15508722085737556
17.0,-0.1248918748269212
18.0,-0.07192598388169397
19.0,-0.008436608985385083
20.0,-0.014403094874079383
21.0,-0.04483891978025222
22.0,-0.15841925133821352
23.0,-0.34859629579903284
24.0,-0.3639217945982979
25.0,-0.3755557598492884
26.0,-0.42819905666922115
27.0,-0.4401166518060244
28.0,-0.4442497362081389
29.0,-0.4407867933689568
30.0,-0.42769302626690897
31.0,-0.41950727594386433
32.0,-0.40708419129770407
33.0,-0.3782638599107212
34.0,-0.36302403505797604
35.0,-0.33143708234127367
36.0,-0.31485046230784364
37.0,-0.28436099504039036
38.0,-0.27029585511104137
39.0,-0.2457724152510184
40.0,-0.2358427168414191
41.0,-0.22488009573633108
42.0,-0.219862605474051
43.0,-0.21757517248105798
44.0,-0.2184602605897554
45.0,-0.22144552031639328
46.0,-0.22649052354519675
47.0,-0.23223905964769093
48.0,-0.2463875695744009
49.0,-0.2543419350467722
50.0,-0.26145481788894254
51.0,-0.27307317634118466
52.0,-0.2780915708107159
53.0,-0.28190165553459984
54.0,-0.2848508717544201
55.0,-0.28557611208516553
56.0,-0.28461372248175915
57.0,-0.2821538331768085
58.0,-0.278561622346752
59.0,-0.27377316350251574
60.0,-0.267594566683712
61.0,-0.2554937351549154
62.0,-0.24880221677790307
63.0,-0.24169260992809982
64.0,-0.23439737818056272
65.0,-0.22575535110657033
66.0,-0.21807552828421073
67.0,-0.2136441046690879
68.0,-0.21063065293313266
69.0,-0.20909236440698234
70.0,-0.20861207021552403
71.0,-0.2098127597842442
72.0,-0.21204447859902137
73.0,-0.2145451800371365
74.0,-0.21704859326808798
75.0,-0.21931461351516135
76.0,-0.22220330453754517
77.0,-0.22471784632437
78.0,-0.23050133489359573
79.0,-0.2352046433017507
80.0,-0.23910673099242324
81.0,-0.24272331099108935
82.0,-0.24412611948342194
83.0,-0.24510916477154138
84.0,-0.24569255367978077
85.0,-0.2446888070189942
86.0,-0.23970376859960757
87.0,-0.23409038609962038
88.0,-0.21545092373456343
89.0,-0.2080583085323062
90.0,-0.1845388702995883
91.0,-0.17692243714959419
92.0,-0.14934122616449202
93.0,-0.14651046912516077
94.0,-0.14018517045783124
95.0,-0.13864017697431644
96.0,-0.13751265413835542
97.0,-0.13845503664038872
98.0,-0.14215126696708807
99.0,-0.1493264980012759
100.0,-0.15584790180291241
101.0,-0.16217529000287104
102.0,-0.16891788064843868
103.0,-0.17446687347255502
104.0,-0.18219523516881622
105.0,-0.1894931326518773
106.0,-0.19902772135863445
107.0,-0.2034512045183826
108.0,-0.2104394553118599
109.0,-0.21322909228111597
110.0,-0.21811974510945067
111.0,-0.22104191565930184
112.0,-0.22252769336322825
113.0,-0.22288259051713216
114.0,-0.22335509707046852
115.0,-0.22390863468449182
116.0,-0.22538126514912316
117.0,-0.22619144999378887
118.0,-0.2277333820943576
119.0,-0.22851876998377327
120.0,-0.23066243586552135
121.0,-0.23174686949375256
122.0,-0.23333216222103093
123.0,-0.23526772872013949
124.0,-0.23892968480301122
125.0,-0.2412423084116289
126.0,-0.24382207650378832
127.0,-0.2468238653805613
128.0,-0.250188999709308
129.0,-0.25392535744448735
130.0,-0.2578359085792455
131.0,-0.26223261364968703
132.0,-0.2667634693988826
133.0,-0.2711046142057989
134.0,-0.27769711425007065
135.0,-0.28090258073858243
136.0,-0.28383080377101183
137.0,-0.28794210690880595
138.0,-0.28890816696195865
139.0,-0.2897893666261179
140.0,-0.28980911239394463
141.0,-0.2889449644758857
142.0,-0.28704000395890955
143.0,-0.2850960850242721
144.0,-0.2817839351206584
145.0,-0.27763692474876
146.0,-0.27462030494166867
147.0,-0.2689093398327818
148.0,-0.26632448799686187
149.0,-0.2636723166110926
150.0,-0.26264304968319824
151.0,-0.2623966774412223
152.0,-0.26320785868119656
153.0,-0.2648238951967314
154.0,-0.26726596343587006
155.0,-0.2713599621956215
156.0,-0.27474297483088933
157.0,-0.2794688684151364
158.0,-0.283169901150377
159.0,-0.2881984638172957
160.0,-0.2917760028071995
161.0,-0.2950732018219231
162.0,-0.2980727746022673
163.0,-0.30123408783765543
164.0,-0.3029404678398488
165.0,-0.30440749050261556
166.0,-0.3056433486797446
167.0,-0.30616386439365884
168.0,-0.3064197932192203
169.0,-0.30647032833771665
170.0,-0.30632944961891784
171.0,-0.30593547365697465
172.0,-0.305536148522473
173.0,-0.30513263206703095
174.0,-0.30476951516815065
175.0,-0.30430905362171173
176.0,-0.30406890262048014
177.0,-0.3037741644732046
178.0,-0.30387326432622297
179.0,-0.30397352207855427
180.0,-0.304512290101356
181.0,-0.30532847364436105
182.0,-0.30598863880694904
183.0,-0.30731316789216284
184.0,-0.3082447866865953
185.0,-0.31004310162909654
186.0,-0.311125702301306
187.0,-0.31298487223443644
188.0,-0.3139268629412163
189.0,-0.31557222869166185
190.0,-0.3165546329757899
191.0,-0.3182787176072978
192.0,-0.31915293161700214
193.0,-0.3205870801379218
194.0,-0.32175058346265
195.0,-0.32294550734228
196.0,-0.3243500543773617
197.0,-0.3258315320706097
198.0,-0.3273369341090164
199.0,-0.32880751766886784
200.0,-0.330093631527748
201.0,-0.33143593182179404
202.0,-0.3325262826357595
203.0,-0.33340532485032565
204.0,-0.3339302042847279
205.0,-0.3344192974054814
206.0,-0.33490964467642403
207.0,-0.33568768158539863
208.0,-0.3362033667788738
209.0,-0.33702588179745774
210.0,-0.33804480504544526
211.0,-0.3393818939558267
212.0,-0.34130837964183747
213.0,-0.34287069386470054
214.0,-0.3453919866889433
215.0,-0.3474577670570568
216.0,-0.35071802304141936
217.0,-0.35333334583720766
218.0,-0.35649791349516263
219.0,-0.36108119016408985
220.0,-0.36440441363194925
221.0,-0.3693109989841059
222.0,-0.3725229120453687
