"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,4.575910085922394
2.0,3.5479456298471943
3.0,1.3823762839530134
4.0,-0.17929176714927517
5.0,-0.719881912799105
6.0,-0.7452203856464277
7.0,-0.8280558462586399
8.0,-0.9398840011823054
9.0,-1.0728314295316963
10.0,-1.0656469251381402
11.0,-1.0404720152017082
12.0,-0.7644346822707375
13.0,-0.7347450207667239
14.0,-0.3968906135662836
15.0,-0.13054977496736722
16.0,-0.056820842785480365
17.0,-0.0010864922790193186
18.0,-0.011663274592336112
19.0,-0.021803587907338096
20.0,-0.15660116124260298
21.0,-0.17980494149095888
22.0,-0.3442921042887449
23.0,-0.3587979112557861
24.0,-0.3663043479795231
25.0,-0.3692402054922655
26.0,-0.3730601761377445
27.0,-0.3754085238081628
28.0,-0.3741481921634247
29.0,-0.370615054708465
30.0,-0.3633837507487708
31.0,-0.3533224027034885
32.0,-0.3307528457389909
33.0,-0.3190723166202279
34.0,-0.29502242686060337
35.0,-0.2719913561151921
36.0,-0.26057880563056424
37.0,-0.24062033310941028
38.0,-0.23170050968446546
39.0,-0.2221838488502842
40.0,-0.21234808186471274
41.0,-0.2092063429738263
42.0,-0.20779861498100496
43.0,-0.20860400906130697
44.0,-0.21101287579735037
45.0,-0.21684786170138107
46.0,-0.22224143293605483
47.0,-0.2340861748490836
48.0,-0.2431160180879523
49.0,-0.2552337460494417
50.0,-0.2617895633997809
51.0,-0.2668435391223249
52.0,-0.27046364711698656
53.0,-0.2725259707252013
54.0,-0.2733082030129958
55.0,-0.2731429683563484
56.0,-0.2723555857376536
57.0,-0.27086358252082
58.0,-0.268545446339441
59.0,-0.26578400426699816
60.0,-0.2624282194809358
61.0,-0.2584939283697197
62.0,-0.25399348820376677
63.0,-0.24905461275380245
64.0,-0.24399143391360062
65.0,-0.23804274279789445
66.0,-0.2323624703654079
67.0,-0.22632054639545113
68.0,-0.22121076621081273
69.0,-0.2169028901529594
70.0,-0.21359466830584153
71.0,-0.21120401372387224
72.0,-0.21031350007846078
73.0,-0.21042425077163984
74.0,-0.2113279632485365
75.0,-0.21249904700355315
76.0,-0.21386954166000033
77.0,-0.21550415687187774
78.0,-0.21799594905293926
79.0,-0.22131400742072826
80.0,-0.22346066959685215
81.0,-0.22582866061417572
82.0,-0.2276786849760868
83.0,-0.22953509664932722
84.0,-0.23048873742944545
85.0,-0.2309617016750888
86.0,-0.23039728801141274
87.0,-0.22895690884244835
88.0,-0.2269871366143251
89.0,-0.22278713913064413
90.0,-0.21673479208728452
91.0,-0.21031579031330347
92.0,-0.20373539994958462
93.0,-0.19783105640037324
94.0,-0.1928524052330708
95.0,-0.1891219652763485
96.0,-0.18568278623090634
97.0,-0.18389627802028144
98.0,-0.18255342131324268
99.0,-0.1827445322560145
100.0,-0.18291724019540115
101.0,-0.18429658004671118
102.0,-0.18506150521966652
103.0,-0.18724456647734192
104.0,-0.1880183118943612
105.0,-0.18972280313643805
106.0,-0.1910564982211631
107.0,-0.19140684455391677
108.0,-0.19185840342685134
109.0,-0.191993702413993
110.0,-0.1919564215723485
111.0,-0.19281005777122173
112.0,-0.1940614746712776
113.0,-0.19643030516992838
114.0,-0.19984625839457357
115.0,-0.20402386842691705
116.0,-0.20883646609579454
117.0,-0.21433259250529596
118.0,-0.2201897065646498
119.0,-0.2234344292567954
120.0,-0.22942747865297516
121.0,-0.2354099755430708
122.0,-0.2381506056442525
123.0,-0.24170635278048488
124.0,-0.2441842568256573
125.0,-0.24657913499063813
126.0,-0.2488106518111268
127.0,-0.2508986424713378
128.0,-0.2528883432242878
129.0,-0.25444794311475843
130.0,-0.2557981782897326
131.0,-0.2568171851530621
132.0,-0.25714780743373555
133.0,-0.25718163309531056
134.0,-0.2568055539927959
135.0,-0.25634684983397077
136.0,-0.25518707247557143
137.0,-0.2539713626727851
138.0,-0.2524651494597348
139.0,-0.2508844027878412
140.0,-0.2491170654202711
141.0,-0.24773079850125526
142.0,-0.24651030482458663
143.0,-0.24556502211137804
144.0,-0.2449043218958608
145.0,-0.2446331359316004
146.0,-0.24482291391022007
147.0,-0.2455390382885995
148.0,-0.24681063726120783
149.0,-0.24855600948214884
150.0,-0.25090970015274433
151.0,-0.25373703218522115
152.0,-0.2570851824862957
153.0,-0.2606761729505649
154.0,-0.264668731900359
