"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-2.203641414642334
-0.06,-2.1984119415283203
-0.12,-2.2013320922851562
-0.18,-2.206202268600464
-0.24,-2.2016637325286865
-0.30000000000000004,-2.197545051574707
-0.36,-2.196025848388672
-0.42000000000000004,-2.1758320331573486
-0.48,-2.1733856201171875
-0.54,-2.1650452613830566
-0.6000000000000001,-2.159327507019043
-0.66,-2.1310956478118896
-0.72,-2.0188355445861816
-0.78,-1.8193820714950562
-0.8400000000000001,-1.559356927871704
-0.8999999999999999,-1.3770121335983276
-0.96,-1.2807618379592896
-1.02,-1.2897541522979736
-1.08,-1.4419294595718384
-1.1400000000000001,-1.7076826095581055
-1.2000000000000002,-1.7530517578125
-1.26,-1.7336931228637695
-1.32,-1.7163422107696533
-1.3800000000000001,-1.6971094608306885
-1.44,-1.6750582456588745
-1.5,-1.661702036857605
-1.56,-1.6342319250106812
-1.62,-1.6082521677017212
-1.6800000000000002,-1.5933526754379272
-1.7399999999999998,-1.5681040287017822
-1.7999999999999998,-1.5521403551101685
-1.8599999999999999,-1.524343490600586
-1.92,-1.5083225965499878
-1.98,-1.4780943393707275
-2.04,-1.4612243175506592
-2.0999999999999996,-1.4302198886871338
-2.16,-1.412705421447754
-2.2199999999999998,-1.3909536600112915
-2.2800000000000002,-1.3631689548492432
-2.34,-1.3449774980545044
-2.4000000000000004,-1.3126429319381714
-2.46,-1.2938469648361206
-2.52,-1.2747540473937988
-2.58,-1.2554010152816772
-2.64,-1.2218623161315918
-2.7,-1.2018390893936157
-2.7600000000000002,-1.1816184520721436
-2.82,-1.1537286043167114
-2.88,-1.133129596710205
-2.94,-1.1054182052612305
-3.0,-1.0847797393798828
-3.06,-1.0638867616653442
-3.12,-1.0361248254776
-3.18,-1.0140661001205444
-3.24,-0.9967597126960754
-3.3000000000000003,-0.9660049676895142
-3.3600000000000003,-0.9444898962974548
-3.42,-0.9231049418449402
-3.4799999999999995,-0.9028717875480652
-3.54,-0.8816136121749878
-3.5999999999999996,-0.8536629676818848
-3.66,-0.8324205875396729
-3.7199999999999998,-0.8128838539123535
-3.7800000000000002,-0.7921827435493469
-3.84,-0.7731842398643494
-3.9000000000000004,-0.7527615427970886
-3.96,-0.7261687517166138
-4.0200000000000005,-0.7059180736541748
-4.08,-0.6876373291015625
-4.14,-0.6677106022834778
-4.199999999999999,-0.6419366598129272
-4.26,-0.6225534677505493
-4.32,-0.6033223867416382
-4.38,-0.5860637426376343
-4.4399999999999995,-0.566218912601471
-4.5,-0.5446147918701172
-4.5600000000000005,-0.5219645500183105
-4.62,-0.5050787329673767
-4.68,-0.4863688051700592
-4.74,-0.4633263051509857
-4.800000000000001,-0.44669216871261597
-4.86,-0.42825713753700256
-4.92,-0.40987271070480347
-4.9799999999999995,-0.3915640413761139
-5.04,-0.37334585189819336
-5.1,-0.35521239042282104
-5.16,-0.3265547454357147
-5.22,-0.308615505695343
-5.28,-0.2907474637031555
-5.34,-0.27294647693634033
-5.4,-0.25520622730255127
-5.46,-0.23752261698246002
-5.5200000000000005,-0.2198939025402069
-5.58,-0.20223648846149445
-5.64,-0.18389345705509186
-5.699999999999999,-0.1640661060810089
-5.76,-0.1434403657913208
-5.82,-0.13311222195625305
-5.88,-0.11256038397550583
-5.9399999999999995,-0.09210146218538284
-6.0,-0.07157567888498306
