"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,8.667402730963104
2.0,6.546691378725798
3.0,2.3053249819538544
4.0,-0.05666470855473649
5.0,-0.09066017095121673
6.0,-0.12322582404354908
7.0,-1.026314578149521
8.0,-1.170024997395501
9.0,-1.66417044017016
10.0,-2.411676265086547
11.0,-2.5482782289827717
12.0,-2.1407065983101194
13.0,-1.2307142968404943
14.0,-1.1498738830310122
15.0,0.1185273587107127
16.0,0.15244815680142867
17.0,0.21031127908498354
18.0,0.2583784324854683
19.0,0.24676981174255713
20.0,0.09673569364107602
21.0,0.05985372527275352
22.0,-0.2839961553503152
23.0,-0.3114177859315311
24.0,-0.35344728854534746
25.0,-0.42705008860569166
26.0,-0.4382362625101587
27.0,-0.4387256614748008
28.0,-0.422221889861191
29.0,-0.41707885262547584
30.0,-0.40488264532332324
31.0,-0.3637852735897316
32.0,-0.2820529760183471
33.0,-0.2637189715645686
34.0,-0.22678741699245805
35.0,-0.20996110847639146
36.0,-0.18112751873085994
37.0,-0.17011354631433556
38.0,-0.155392423565799
39.0,-0.15250236709367568
40.0,-0.15397166644828356
41.0,-0.15754987716702773
42.0,-0.16442466296587915
43.0,-0.182084383165562
44.0,-0.1930784809283512
45.0,-0.21857688538069506
46.0,-0.23158964300402446
47.0,-0.25686900470970364
48.0,-0.269437425454966
49.0,-0.2797082174174407
50.0,-0.2958248857911723
51.0,-0.30281701875556755
52.0,-0.3081589626736535
53.0,-0.3116982418858568
54.0,-0.31368382426403857
55.0,-0.3135710684007172
56.0,-0.3116090587178305
57.0,-0.3074205551548537
58.0,-0.30227527182210406
59.0,-0.2955215192609899
60.0,-0.28135110484477094
61.0,-0.27400801658652857
62.0,-0.2655393064824419
63.0,-0.24998710471355431
64.0,-0.24172714353014138
65.0,-0.23284815156431724
66.0,-0.22411512228111824
67.0,-0.21707545291162117
68.0,-0.21211230038001258
69.0,-0.20931383791730657
70.0,-0.20850804451423977
71.0,-0.20935042646319008
72.0,-0.21114053063484875
73.0,-0.21358222875893954
74.0,-0.21690480111629876
75.0,-0.22076578577454534
76.0,-0.22659583212321113
77.0,-0.23111770122409392
78.0,-0.23694115325833087
79.0,-0.24229749548197288
80.0,-0.24623738439967455
81.0,-0.25160839211422964
82.0,-0.2551479696853718
83.0,-0.25856269945803306
84.0,-0.2621187347181858
85.0,-0.2642348750276273
86.0,-0.26566336716915967
87.0,-0.26633209334761754
88.0,-0.2657227803658923
89.0,-0.26434025435951697
90.0,-0.2609726345864498
91.0,-0.2578265514951523
92.0,-0.25114658312741406
93.0,-0.24630943124430243
94.0,-0.24188218597949743
95.0,-0.23571985718255428
96.0,-0.22978833360484122
97.0,-0.2247056558736142
98.0,-0.2204613652141338
99.0,-0.21688560816914573
