"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,8.667403123107771
2.0,6.5466916522659115
3.0,2.3053250975222968
4.0,-0.056664705258242305
5.0,-0.09066017557319042
6.0,-0.12322582583618355
7.0,-1.0263146233196303
8.0,-1.1700250459173671
9.0,-1.664170514964693
10.0,-2.4116763723052403
11.0,-2.548278340923359
12.0,-2.140706690747922
13.0,-1.2307143519216366
14.0,-1.14987393290969
15.0,0.11852736615223712
16.0,0.15244816173374473
17.0,0.21031128771978036
18.0,0.2583784425468292
19.0,0.24676982478231513
20.0,0.09673569750116012
21.0,0.059853727316145036
22.0,-0.2839961655589499
23.0,-0.31141779874852404
24.0,-0.3534473068991846
25.0,-0.42705010849180314
26.0,-0.43823628052452956
27.0,-0.43872568008193075
28.0,-0.4222219066218237
29.0,-0.4170788708520218
30.0,-0.40488266469268935
31.0,-0.3637852915885312
32.0,-0.28205298701348075
33.0,-0.2637189811036647
34.0,-0.22678742612772548
35.0,-0.20996111732198183
36.0,-0.1811275274560465
37.0,-0.17011355517421933
38.0,-0.1553924279448803
39.0,-0.1525023738714204
40.0,-0.15397167309517376
41.0,-0.15754988304292347
42.0,-0.16442466992864987
43.0,-0.18208439136343926
44.0,-0.19307849174419878
45.0,-0.21857689497489968
46.0,-0.23158965255307865
47.0,-0.2568690144409081
48.0,-0.26943743785995133
49.0,-0.2797082302998171
50.0,-0.295824898531636
51.0,-0.3028170323966511
52.0,-0.3081589766748024
53.0,-0.3116982549762686
54.0,-0.3136838362345855
55.0,-0.31357108353523794
56.0,-0.3116090730187232
57.0,-0.307420568524755
58.0,-0.30227528347238697
59.0,-0.2955215324352737
60.0,-0.28135111714436545
61.0,-0.274008029165049
62.0,-0.2655393179464551
63.0,-0.2499871144044587
64.0,-0.24172715377372797
65.0,-0.23284816110758633
66.0,-0.22411513062232266
67.0,-0.21707546375829798
68.0,-0.212112309075299
69.0,-0.20931384766737285
70.0,-0.20850805228274133
71.0,-0.2093504373363468
72.0,-0.21114053922234852
73.0,-0.2135822369781132
74.0,-0.2169048094315342
75.0,-0.22076579610360705
76.0,-0.22659584280077297
77.0,-0.23111771014790708
78.0,-0.23694116407432972
79.0,-0.24229750435103997
80.0,-0.24623739672884004
81.0,-0.2516084021594811
82.0,-0.2551479807442768
83.0,-0.2585627128040324
84.0,-0.2621187448916635
85.0,-0.2642348870073368
86.0,-0.2656633794132028
87.0,-0.26633210636885996
88.0,-0.2657227905346023
89.0,-0.26434026615239964
90.0,-0.26097264823096367
91.0,-0.25782655991670245
92.0,-0.2511465955586254
93.0,-0.24630944255006337
94.0,-0.24188219699020846
95.0,-0.23571986807683834
96.0,-0.22978834319697838
97.0,-0.22470566739359743
98.0,-0.22046137354345732
99.0,-0.216885619644183
100.0,-0.21225861254023162
101.0,-0.20974803269035264
102.0,-0.20503367411174672
103.0,-0.2034698542652909
104.0,-0.19719778447419378
105.0,-0.18989922642110843
106.0,-0.1854111633546838
107.0,-0.17464056925829552
108.0,-0.171370262148009
109.0,-0.15991952769148837
110.0,-0.15840872004758247
111.0,-0.15348181621631612
112.0,-0.15282064976668783
113.0,-0.15211433537180408
114.0,-0.15279122377222984
115.0,-0.15529960702044118
116.0,-0.1566565482821764
117.0,-0.15996973683299073
118.0,-0.16424494095270215
119.0,-0.16937505880643433
120.0,-0.1744528559635682
121.0,-0.1794878419278259
122.0,-0.1830035691735547
123.0,-0.18710980521184525
124.0,-0.19013282015617805
125.0,-0.19299106613546532
126.0,-0.1958324771860546
127.0,-0.19907808383444744
128.0,-0.20362805221140934
129.0,-0.20935544585951207
130.0,-0.21638490160439613
131.0,-0.22551949829875587
132.0,-0.24423438906335826
133.0,-0.2504947055254266
134.0,-0.26328637157547957
135.0,-0.27729314697818724
136.0,-0.2928186722679773
137.0,-0.3013560896020692
138.0,-0.31558453448197515
139.0,-0.32305240761907983
140.0,-0.33559352387439906
141.0,-0.3412781222547143
142.0,-0.3468454650208127
143.0,-0.35389744168161363
144.0,-0.35655919231512023
145.0,-0.3582193558796652
146.0,-0.3592272050855816
147.0,-0.3594504554827362
148.0,-0.3589349009103605
149.0,-0.3571250825202169
150.0,-0.3559367477756655
151.0,-0.35467284138645583
152.0,-0.3535596206748484
153.0,-0.3523165332289721
154.0,-0.3499589933134576
155.0,-0.3486556745391035
156.0,-0.3458563782763883
157.0,-0.3431003611457166
158.0,-0.3407071663413504
159.0,-0.33804650835042743
160.0,-0.33637263893403224
161.0,-0.3350911746421509
162.0,-0.3345237726305317
163.0,-0.3346419498092349
164.0,-0.33518086520184137
165.0,-0.33626348793558514
166.0,-0.33757093545390665
167.0,-0.3394727261268285
168.0,-0.3417571221813901
169.0,-0.34424487164342954
170.0,-0.34720528272366113
171.0,-0.3502813825529928
172.0,-0.3534904112321836
173.0,-0.35653648374584035
174.0,-0.3595485891241318
175.0,-0.36281402361428855
