"Line Probe 2: Direction [0,1,0] (m)","Line Probe 2: Velocity[j] (m/s)"
0.0,-1.9858441352844238
-0.06,-1.985791563987732
-0.12,-1.9820852279663086
-0.18,-1.9748120307922363
-0.24,-1.9719765186309814
-0.30000000000000004,-1.958219289779663
-0.36,-1.9525951147079468
-0.42000000000000004,-1.938733458518982
-0.48,-1.9337981939315796
-0.54,-1.917801022529602
-0.6000000000000001,-1.9020516872406006
-0.66,-1.8784500360488892
-0.72,-1.8004168272018433
-0.78,-1.5938189029693604
-0.8400000000000001,-1.4605658054351807
-0.8999999999999999,-1.347699761390686
-0.96,-1.4209085702896118
-1.02,-1.5880824327468872
-1.08,-1.7602790594100952
-1.1400000000000001,-1.768717646598816
-1.2000000000000002,-1.7458902597427368
-1.26,-1.7214865684509277
-1.32,-1.7059903144836426
-1.3800000000000001,-1.6868754625320435
-1.44,-1.6587446928024292
-1.5,-1.6372973918914795
-1.56,-1.6190211772918701
-1.62,-1.5969963073730469
-1.6800000000000002,-1.5688912868499756
-1.7399999999999998,-1.547229528427124
-1.7999999999999998,-1.5223571062088013
-1.8599999999999999,-1.5064443349838257
-1.92,-1.4812572002410889
-1.98,-1.455986499786377
-2.04,-1.435305118560791
-2.0999999999999996,-1.4107307195663452
-2.16,-1.3873257637023926
-2.2199999999999998,-1.3644014596939087
-2.2800000000000002,-1.337388277053833
-2.34,-1.3156379461288452
-2.4000000000000004,-1.2927486896514893
-2.46,-1.2700542211532593
-2.52,-1.241959810256958
-2.58,-1.222049593925476
-2.64,-1.1984292268753052
-2.7,-1.1678540706634521
-2.7600000000000002,-1.1507078409194946
-2.82,-1.1231622695922852
-2.88,-1.1042205095291138
-2.94,-1.075121283531189
-3.0,-1.055739402770996
-3.06,-1.0290114879608154
-3.12,-1.0111695528030396
-3.18,-0.9884730577468872
-3.24,-0.9614792466163635
-3.3000000000000003,-0.9426838755607605
-3.3600000000000003,-0.9223808646202087
-3.42,-0.8996942043304443
-3.4799999999999995,-0.8767207860946655
-3.54,-0.8526679277420044
-3.5999999999999996,-0.8360626697540283
-3.66,-0.8113052845001221
-3.7199999999999998,-0.7905920147895813
-3.7800000000000002,-0.7709389925003052
-3.84,-0.7470399737358093
-3.9000000000000004,-0.7268173098564148
-3.96,-0.7091624736785889
-4.0200000000000005,-0.6833666563034058
-4.08,-0.6663931608200073
-4.14,-0.6493471264839172
-4.199999999999999,-0.6237642168998718
-4.26,-0.6062184572219849
-4.32,-0.5857353210449219
-4.38,-0.5645180940628052
-4.4399999999999995,-0.546930730342865
-4.5,-0.5265010595321655
-4.5600000000000005,-0.5104288458824158
-4.62,-0.4845637381076813
-4.68,-0.4689829647541046
-4.74,-0.4491572082042694
-4.800000000000001,-0.4296465516090393
-4.86,-0.4101964235305786
-4.92,-0.39091870188713074
-4.9799999999999995,-0.37128543853759766
-5.04,-0.36034107208251953
-5.1,-0.340505987405777
-5.16,-0.32066094875335693
-5.22,-0.3005564510822296
-5.28,-0.2802487015724182
-5.34,-0.26922816038131714
-5.4,-0.24873919785022736
-5.46,-0.22808492183685303
-5.5200000000000005,-0.21834109723567963
-5.58,-0.19736920297145844
-5.64,-0.17621594667434692
-5.699999999999999,-0.15486836433410645
-5.76,-0.14453664422035217
-5.82,-0.12281950563192368
-5.88,-0.10098421573638916
-5.9399999999999995,-0.09029386937618256
-6.0,-0.06801099330186844
