"Iteration","Cp_both Monitor: Cp_both Monitor"
1.0,5.048358221272378
2.0,3.9423270761285183
3.0,1.5337765795818177
4.0,0.2894678305587212
5.0,-0.457668008147501
6.0,-0.5146028471463263
7.0,-0.8168549566976896
8.0,-1.119964504261131
9.0,-1.4442693137462894
10.0,-1.470063098967004
11.0,-1.4446024067320882
12.0,-0.9175557819013902
13.0,-0.8771995493433357
14.0,-0.4613925622098567
15.0,-0.04385829048154329
16.0,-0.005348959734419994
17.0,0.01052171950701905
18.0,0.0037442691047209885
19.0,-0.011549304508668612
20.0,-0.16406599485812945
21.0,-0.18802028871213708
22.0,-0.418439682641793
23.0,-0.43207613193785044
24.0,-0.43998935236932557
25.0,-0.4426138826684255
26.0,-0.439980755193771
27.0,-0.4362360854080402
28.0,-0.42008631520484463
29.0,-0.40955348845652084
30.0,-0.38297359589459107
31.0,-0.3684055236990007
32.0,-0.3366114495081459
33.0,-0.3224077805904864
34.0,-0.29470449283616035
35.0,-0.282406745797342
36.0,-0.2702398488282214
37.0,-0.25935840856598746
38.0,-0.24979335785166507
39.0,-0.23839570115181158
40.0,-0.23575263883670386
41.0,-0.23559452046236376
42.0,-0.23662653829525118
43.0,-0.23890290090196648
44.0,-0.24273556378996294
45.0,-0.24763787647571397
46.0,-0.2591607742206162
47.0,-0.2688558251489606
48.0,-0.27839400676384307
49.0,-0.2875997383975482
50.0,-0.2956655412084279
51.0,-0.30068424619741757
52.0,-0.3040489879938053
53.0,-0.30603875573525746
54.0,-0.3058503511699632
55.0,-0.30398452999818876
56.0,-0.301063647917416
57.0,-0.29536237221816486
58.0,-0.29220512062964416
59.0,-0.288724639126139
60.0,-0.28211296596595725
61.0,-0.27793264004877477
62.0,-0.27210435401860666
63.0,-0.2657654743577964
64.0,-0.26104814660826736
65.0,-0.25440287048057153
66.0,-0.2503379585833455
67.0,-0.2455996853414603
68.0,-0.24310007950670517
69.0,-0.24083827065667052
70.0,-0.24014819779522115
71.0,-0.24044565613436086
72.0,-0.24178383637903397
73.0,-0.2440932898914336
74.0,-0.2468726850473037
75.0,-0.24941262983018542
76.0,-0.2523892602011076
77.0,-0.25405516389591376
78.0,-0.2563662430129527
79.0,-0.2585924830087648
80.0,-0.26107951068630597
81.0,-0.2633541265226862
82.0,-0.2655203476824883
83.0,-0.2679459514984277
84.0,-0.2692824073012838
85.0,-0.27044710708213365
86.0,-0.27026356212708763
87.0,-0.2691247661952471
88.0,-0.26727972822404117
89.0,-0.2646738289784158
90.0,-0.26101758100210476
91.0,-0.25711968758282416
92.0,-0.25269333121602344
93.0,-0.24754132702781914
94.0,-0.24311857186491054
95.0,-0.23908961132938913
96.0,-0.23367652671926606
97.0,-0.23167074885671565
98.0,-0.22933815002840088
99.0,-0.22800742511781324
100.0,-0.22464742307266358
101.0,-0.22246426298590785
102.0,-0.2155007689409378
103.0,-0.21202185542815286
104.0,-0.20590545102738114
105.0,-0.203766044118816
106.0,-0.19923856080500285
107.0,-0.1970071117505554
108.0,-0.19256061872633434
109.0,-0.19142912611922336
110.0,-0.1875702911980497
111.0,-0.18691226455880922
112.0,-0.18614255375304323
113.0,-0.18608071843869234
114.0,-0.18664367120716693
115.0,-0.18927962224855752
116.0,-0.1912302411565218
117.0,-0.19625168349916364
118.0,-0.20101382522945233
119.0,-0.20664986915794245
120.0,-0.21281788332917592
121.0,-0.2194822062442083
122.0,-0.22619218255319723
123.0,-0.23270084917702288
124.0,-0.2395816307577428
125.0,-0.24602301575332505
126.0,-0.25214861382654596
127.0,-0.25848704739684086
128.0,-0.2638656990373391
129.0,-0.26852691163916664
130.0,-0.27273276224152904
131.0,-0.27642583366699236
132.0,-0.27940858604797836
133.0,-0.28484082531856847
134.0,-0.2874953828369467
135.0,-0.29272317951973637
136.0,-0.29513790144237567
137.0,-0.29861209284630796
138.0,-0.30110937761584206
139.0,-0.3041656998228045
140.0,-0.30594031560667867
141.0,-0.3081000631803341
142.0,-0.3093112908030458
143.0,-0.310776236925295
144.0,-0.3116621270100212
145.0,-0.3122073653014105
146.0,-0.3128241659281904
147.0,-0.31312812971013965
148.0,-0.31347859039748127
149.0,-0.3133750187912111
150.0,-0.31301352158781304
151.0,-0.31269885888764193
152.0,-0.31166754697259097
153.0,-0.3109215561292577
154.0,-0.30889617972269434
155.0,-0.30802001308233623
156.0,-0.30601208050078593
157.0,-0.3037934178154177
158.0,-0.3026186937277286
159.0,-0.30053884191785485
160.0,-0.29946666274089473
161.0,-0.2977372073519968
162.0,-0.2971488211465589
163.0,-0.29661126577768915
164.0,-0.2968795935246061
165.0,-0.2979307015329052
166.0,-0.2989813458184849
167.0,-0.3013639584586148
168.0,-0.30294038620181507
169.0,-0.3059595600731546
170.0,-0.30786570581511646
171.0,-0.3112271352781611
172.0,-0.3141320092997628
173.0,-0.3158633690920535
174.0,-0.31871066482732396
175.0,-0.3202290461609232
176.0,-0.3227410746825197
177.0,-0.3239474449100699
178.0,-0.32589873753276927
179.0,-0.3268581599631867
180.0,-0.3281384869405087
181.0,-0.3289656534056388
182.0,-0.33016726543947744
183.0,-0.33098816047163654
184.0,-0.33161324944210685
185.0,-0.3321770327849546
186.0,-0.3329700356987293
187.0,-0.3335104199332584
188.0,-0.3341932998883996
189.0,-0.33516762599784483
190.0,-0.3362179247467588
191.0,-0.3373312595151328
192.0,-0.3386423630191061
193.0,-0.3401881893964639
194.0,-0.3420513812963406
195.0,-0.34360307926195316
196.0,-0.3459129006092733
197.0,-0.3477351889618798
198.0,-0.34992015630953216
199.0,-0.3527005329135528
200.0,-0.3546593959823873
201.0,-0.35713262902826254
202.0,-0.3590681753674705
203.0,-0.3607211665069359
204.0,-0.361976488754871
205.0,-0.3626599687732542
206.0,-0.36280667976987413
207.0,-0.3624546823237716
208.0,-0.3616762793660434
209.0,-0.3607170498317107
210.0,-0.3595894950427583
211.0,-0.35884011481121864
212.0,-0.3578907522458614
213.0,-0.3572279332113148
214.0,-0.3570286549174218
215.0,-0.35715108252574224
216.0,-0.35779522060693897
217.0,-0.3586770378690557
218.0,-0.36060273212916155
219.0,-0.36237687661190976
220.0,-0.3657013647178504
221.0,-0.36841012071953566
222.0,-0.3724681540028043
223.0,-0.3768277987245792
224.0,-0.38015626995972296
225.0,-0.38478817687730427
226.0,-0.3880950339907267
227.0,-0.3928916208038386
228.0,-0.39597957487065677
229.0,-0.4000606892237286
230.0,-0.40258671778427263
231.0,-0.40570425631390733
232.0,-0.40750410072327053
233.0,-0.4096024117687788
234.0,-0.4106536446829755
235.0,-0.4115634750503127
236.0,-0.4118019017107148
237.0,-0.41103046054904785
238.0,-0.4098242021593116
239.0,-0.4060347671743293
240.0,-0.4046468503536963
241.0,-0.39983640916015734
242.0,-0.39812767354786627
243.0,-0.3927224776441812
244.0,-0.3910430262667426
245.0,-0.38636619765066593
246.0,-0.3851765896448733
247.0,-0.3843438041074086
248.0,-0.3836021649959942
249.0,-0.3834724692492938
250.0,-0.3838045234457382
251.0,-0.38494413222744844
252.0,-0.3858202908656923
253.0,-0.38835566493126883
254.0,-0.38964016977905164
255.0,-0.39320750899116974
256.0,-0.3949144753974182
257.0,-0.39928687774157506
258.0,-0.4012302534641398
259.0,-0.40591088238667755
260.0,-0.40797750618423584
261.0,-0.41241046355032734
262.0,-0.4153600630123571
263.0,-0.41918351797280323
264.0,-0.42085936073101204
265.0,-0.4240727156206521
266.0,-0.4263857374599705
267.0,-0.4281128776232333
268.0,-0.4292466658307062
269.0,-0.4296876319480532
270.0,-0.4295296000684734
271.0,-0.4282459067693772
272.0,-0.42798782154227866
273.0,-0.4262117224506338
274.0,-0.42596038279453974
275.0,-0.42467527381356324
276.0,-0.42466827362352916
277.0,-0.4246645350414076
278.0,-0.42497492945582344
279.0,-0.42652672031683525
280.0,-0.42714807605223987
281.0,-0.42986371523501926
282.0,-0.43068517029681785
283.0,-0.43398418911581904
284.0,-0.43483665557627127
285.0,-0.43798420444071084
286.0,-0.4387768447161774
287.0,-0.4410106026913036
288.0,-0.4417219275207526
289.0,-0.4439512793251442
290.0,-0.4444275846007873
291.0,-0.44543611727842014
292.0,-0.4461425117400063
293.0,-0.44669570757954463
294.0,-0.4471691295399463
295.0,-0.4475596347152271
296.0,-0.44789992080331403
297.0,-0.4482561258249497
