"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
0.0,-1.535495638847351
-0.06,-1.560800313949585
-0.12,-1.5786060094833374
-0.18,-1.619787573814392
-0.24,-1.6395310163497925
-0.30000000000000004,-1.6747010946273804
-0.36,-1.7090671062469482
-0.42000000000000004,-1.7256816625595093
-0.48,-1.7381181716918945
-0.54,-1.7507073879241943
-0.6000000000000001,-1.7636363506317139
-0.66,-1.762500524520874
-0.72,-1.7670276165008545
-0.78,-1.763017177581787
-0.8400000000000001,-1.7541048526763916
-0.8999999999999999,-1.688515067100525
-0.96,-1.5766345262527466
-1.02,-1.4463825225830078
-1.08,-1.4581761360168457
-1.1400000000000001,-1.710339069366455
-1.2000000000000002,-1.9018752574920654
-1.26,-1.9473557472229004
-1.32,-1.947054147720337
-1.3800000000000001,-1.9392173290252686
-1.44,-1.9346086978912354
-1.5,-1.921712875366211
-1.56,-1.9095603227615356
-1.62,-1.8908793926239014
-1.6800000000000002,-1.8706501722335815
-1.7399999999999998,-1.8407299518585205
-1.7999999999999998,-1.8397315740585327
-1.8599999999999999,-1.8075478076934814
-1.92,-1.8007018566131592
-1.98,-1.7671277523040771
-2.04,-1.7553009986877441
-2.0999999999999996,-1.7344915866851807
-2.16,-1.7034375667572021
-2.2199999999999998,-1.6838386058807373
-2.2800000000000002,-1.6639045476913452
-2.34,-1.6345151662826538
-2.4000000000000004,-1.6076667308807373
-2.46,-1.590221881866455
-2.52,-1.5670324563980103
-2.58,-1.542357325553894
-2.64,-1.5132211446762085
-2.7,-1.4894202947616577
-2.7600000000000002,-1.4583369493484497
-2.82,-1.434153437614441
-2.88,-1.409827470779419
-2.94,-1.3774267435073853
-3.0,-1.3527555465698242
-3.06,-1.3279993534088135
-3.12,-1.3031558990478516
-3.18,-1.2781710624694824
-3.24,-1.2438342571258545
-3.3000000000000003,-1.218456745147705
-3.3600000000000003,-1.193084478378296
-3.42,-1.1675171852111816
-3.4799999999999995,-1.1419979333877563
-3.54,-1.1224266290664673
-3.5999999999999996,-1.0968482494354248
-3.66,-1.0714447498321533
-3.7199999999999998,-1.0363507270812988
-3.7800000000000002,-1.0113673210144043
-3.84,-0.9866495728492737
-3.9000000000000004,-0.9524891376495361
-3.96,-0.9331169128417969
-4.0200000000000005,-0.9090256094932556
-4.08,-0.885123074054718
-4.14,-0.8518833518028259
-4.199999999999999,-0.833244800567627
-4.26,-0.802471399307251
-4.32,-0.7847243547439575
-4.38,-0.7535024881362915
-4.4399999999999995,-0.730963945388794
-4.5,-0.7016772627830505
-4.5600000000000005,-0.6829813718795776
-4.62,-0.6546339392662048
-4.68,-0.6232693791389465
-4.74,-0.6070572733879089
-4.800000000000001,-0.5768318176269531
-4.86,-0.5502798557281494
-4.92,-0.5317232012748718
-4.9799999999999995,-0.49866995215415955
-5.04,-0.4770512282848358
-5.1,-0.4528977572917938
-5.16,-0.42985376715660095
-5.22,-0.40071767568588257
-5.28,-0.3844592869281769
-5.34,-0.3538160026073456
-5.4,-0.33792173862457275
-5.46,-0.3075055181980133
-5.5200000000000005,-0.2917492985725403
-5.58,-0.2603774070739746
-5.64,-0.24562622606754303
-5.699999999999999,-0.2143804281949997
-5.76,-0.19881051778793335
-5.82,-0.1683437079191208
-5.88,-0.15283037722110748
-5.9399999999999995,-0.12206819653511047
-6.0,-0.09143131226301193
