"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[j] (m/s)"
-1.1400000000000001,-1.6394903659820557
-1.2000000000000002,-1.7342336177825928
-1.26,-1.7252594232559204
-1.32,-1.7059590816497803
-1.3800000000000001,-1.6881293058395386
-1.44,-1.6659873723983765
-1.5,-1.645422101020813
-1.56,-1.6232857704162598
-1.62,-1.5977528095245361
-1.6800000000000002,-1.5768067836761475
-1.7399999999999998,-1.5545750856399536
-1.7999999999999998,-1.5357040166854858
-1.8599999999999999,-1.5113312005996704
-1.92,-1.489683747291565
-1.98,-1.4708999395370483
-2.04,-1.4519388675689697
-2.0999999999999996,-1.4189773797988892
-2.16,-1.4083561897277832
-2.2199999999999998,-1.3790391683578491
-2.2800000000000002,-1.35519278049469
-2.34,-1.3372937440872192
-2.4000000000000004,-1.3087058067321777
-2.46,-1.2883248329162598
-2.52,-1.2633318901062012
-2.58,-1.2444484233856201
-2.64,-1.21845281124115
-2.7,-1.1935259103775024
-2.7600000000000002,-1.1679786443710327
-2.82,-1.144225835800171
-2.88,-1.1290833950042725
-2.94,-1.106811285018921
-3.0,-1.0780003070831299
-3.06,-1.0554094314575195
-3.12,-1.0333871841430664
-3.18,-1.008508563041687
-3.24,-0.9869695901870728
-3.3000000000000003,-0.9676294922828674
-3.3600000000000003,-0.9444725513458252
-3.42,-0.923729658126831
-3.4799999999999995,-0.896659255027771
-3.54,-0.877354621887207
-3.5999999999999996,-0.8526110053062439
-3.66,-0.8319805860519409
-3.7199999999999998,-0.8056474924087524
-3.7800000000000002,-0.7860979437828064
-3.84,-0.7701795101165771
-3.9000000000000004,-0.7466475963592529
-3.96,-0.7237737774848938
-4.0200000000000005,-0.7037083506584167
-4.08,-0.6845303177833557
-4.14,-0.6640681624412537
-4.199999999999999,-0.6439546942710876
-4.26,-0.6190009117126465
-4.32,-0.6005600690841675
-4.38,-0.5821673274040222
-4.4399999999999995,-0.562982439994812
-4.5,-0.5418663620948792
-4.5600000000000005,-0.5223473310470581
-4.62,-0.5043413043022156
-4.68,-0.48476600646972656
-4.74,-0.46525830030441284
-4.800000000000001,-0.4433625042438507
-4.86,-0.42212119698524475
-4.92,-0.40976670384407043
-4.9799999999999995,-0.38672178983688354
-5.04,-0.36406606435775757
-5.1,-0.35387536883354187
-5.16,-0.3319236934185028
-5.22,-0.3099600672721863
-5.28,-0.29954594373703003
-5.34,-0.27736371755599976
-5.4,-0.25607094168663025
-5.46,-0.23354846239089966
-5.5200000000000005,-0.22266364097595215
-5.58,-0.1998947113752365
-5.64,-0.18881241977214813
-5.699999999999999,-0.16578583419322968
-5.76,-0.14313764870166779
-5.82,-0.13167592883110046
-5.88,-0.10810141265392303
-5.9399999999999995,-0.09648120403289795
-6.0,-0.07281672954559326
0.0,-2.232631206512451
-0.06,-2.226747751235962
-0.12,-2.2356529235839844
-0.18,-2.234586715698242
-0.24,-2.231865882873535
-0.30000000000000004,-2.2140047550201416
-0.36,-2.2193896770477295
-0.42000000000000004,-2.2097413539886475
-0.48,-2.2012758255004883
-0.54,-2.2052440643310547
-0.6000000000000001,-2.1875412464141846
-0.66,-2.179908037185669
-0.72,-2.0680549144744873
-0.78,-1.8156319856643677
-0.8400000000000001,-1.6434876918792725
-0.8999999999999999,-1.4052428007125854
-0.96,-1.3064850568771362
-1.02,-1.271801233291626
-1.08,-1.3683249950408936
