"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,5.7352529332256434
2.0,4.7554390452517845
3.0,1.6431033232813503
4.0,-0.28803699963296997
5.0,-0.38353069250977806
6.0,-0.588940767124734
7.0,-0.6420166851110759
8.0,-0.9751043811870254
9.0,-1.141354262919243
10.0,-1.1725124266551517
11.0,-1.0523787509505849
12.0,-1.0213222614421709
13.0,-0.6841695372337427
14.0,-0.35402308776721264
15.0,-0.14829577429135288
16.0,-0.0038198957808404407
17.0,0.0702195383286147
18.0,0.07684992223526757
19.0,0.04383607643891368
20.0,0.02567188744950697
21.0,-0.15139029335915763
22.0,-0.17348556186492725
23.0,-0.195418848129078
24.0,-0.4070313038294517
25.0,-0.415612660441174
26.0,-0.41510607490936646
27.0,-0.4073774643320228
28.0,-0.3928841424878813
29.0,-0.35983219965742513
30.0,-0.3420190913358022
31.0,-0.2688242184811966
32.0,-0.2536761163128855
33.0,-0.2356851484694534
34.0,-0.20334602064657856
35.0,-0.18879554932999418
36.0,-0.16374405983386997
37.0,-0.15384387126442536
38.0,-0.14497392013115298
39.0,-0.13795742684236295
40.0,-0.13128907151733712
41.0,-0.13140966355306158
42.0,-0.13293740856566397
43.0,-0.140790478428568
44.0,-0.14738106055292396
45.0,-0.16226860321487008
46.0,-0.17927169684827876
47.0,-0.19109793921018428
48.0,-0.2011696029550793
49.0,-0.21311387900141035
50.0,-0.2207146136100921
51.0,-0.2274137432109222
52.0,-0.23423424292262535
53.0,-0.23631255725892195
54.0,-0.23659545148266256
55.0,-0.23483633006348112
56.0,-0.23190670046785722
57.0,-0.22783950516413606
58.0,-0.2188280095384723
59.0,-0.21306488440464424
60.0,-0.20732214466392998
61.0,-0.19750788492377358
62.0,-0.19278463178082647
63.0,-0.18847647022984462
64.0,-0.18558842230222222
65.0,-0.18371938508231056
66.0,-0.18268562127830126
67.0,-0.1826316496774438
68.0,-0.1836202928522696
69.0,-0.18530303086105598
70.0,-0.18726283871295774
71.0,-0.1891198001060469
72.0,-0.1926367129118925
73.0,-0.1944535085223485
74.0,-0.19846232551198412
75.0,-0.20022673719240627
76.0,-0.20285652324127965
77.0,-0.20456390065943225
78.0,-0.20657340239645025
79.0,-0.20772207690957814
80.0,-0.20897182197022465
81.0,-0.20933067080774637
82.0,-0.20860754844175902
83.0,-0.20748634929267104
84.0,-0.20576197208407018
85.0,-0.20443759674147763
86.0,-0.20167880178344244
87.0,-0.19859859192989368
88.0,-0.19499648068071868
89.0,-0.1909576181223155
90.0,-0.18668422333149973
91.0,-0.1790069074066702
92.0,-0.1746077884248212
93.0,-0.16405041313343502
94.0,-0.1618578713315104
95.0,-0.15856796463793577
96.0,-0.1537403926631189
97.0,-0.15218412638842535
98.0,-0.14902437953899922
99.0,-0.14417272652704485
100.0,-0.1399499858699449
101.0,-0.13705943531263942
102.0,-0.13039336107054955
103.0,-0.12898194068813634
104.0,-0.12353418183445787
105.0,-0.12257758504140738
106.0,-0.12172805841396273
107.0,-0.12149038611827045
108.0,-0.12180633109607897
109.0,-0.1228245749786296
110.0,-0.12574230118953073
111.0,-0.13016736874444765
112.0,-0.13835195131060452
113.0,-0.1434655926476612
114.0,-0.15580840658343317
115.0,-0.16246111288076778
116.0,-0.17807507999197483
117.0,-0.18492887352305162
118.0,-0.19950195053076739
119.0,-0.2063127178949205
120.0,-0.21988198902973055
121.0,-0.22657955299398203
122.0,-0.23810280511291665
123.0,-0.24287992772129047
124.0,-0.2484672184541822
125.0,-0.2517497761175655
126.0,-0.2559283125484685
127.0,-0.2583719029288214
128.0,-0.26270976794273976
129.0,-0.26480882381942816
130.0,-0.2678806602720618
131.0,-0.2701260575144017
132.0,-0.27291591327983766
133.0,-0.274588467497618
134.0,-0.27601157166990126
135.0,-0.2768374459799559
136.0,-0.2774598134064113
137.0,-0.2778701991871822
138.0,-0.2779066830531785
139.0,-0.2775311583027256
140.0,-0.27680025488571086
141.0,-0.2764060464948606
142.0,-0.2757661759805075
143.0,-0.27489094838783323
144.0,-0.2744351383801622
145.0,-0.2740625325259999
146.0,-0.2740115372134987
147.0,-0.27419507271531907
148.0,-0.27475054730253307
149.0,-0.2756458534393938
150.0,-0.276920243855569
151.0,-0.27872456581823696
152.0,-0.28019665430890306
153.0,-0.28230442160540725
154.0,-0.28384818925550986
155.0,-0.28603798588217244
156.0,-0.28754485438843397
157.0,-0.28938094091644967
158.0,-0.2915543917877102
159.0,-0.29387989335704684
160.0,-0.29624073978157545
161.0,-0.2988497079712785
162.0,-0.3013570868517947
163.0,-0.30390009135192325
164.0,-0.30642367920231883
165.0,-0.30899843731232113
166.0,-0.31139934056731294
167.0,-0.31421110417722664
168.0,-0.31585937594088276
169.0,-0.31812748437625515
170.0,-0.31887826729368823
171.0,-0.31938517405245176
172.0,-0.3193198402890568
173.0,-0.31865371364467554
174.0,-0.3181225561337343
175.0,-0.31770335348375883
176.0,-0.31739130836710605
177.0,-0.31720048623126545
178.0,-0.3171108865516207
179.0,-0.3172477274637575
180.0,-0.317505982193984
181.0,-0.31789705177244737
182.0,-0.3184503464418368
183.0,-0.3191017976252044
184.0,-0.31991197000286037
185.0,-0.32088677832637713
186.0,-0.32174451178227054
187.0,-0.32275859746208346
188.0,-0.32400386497000333
189.0,-0.3257319659000449
190.0,-0.3269823306244464
191.0,-0.32892191613921634
192.0,-0.33027580927824074
193.0,-0.3323323375035638
194.0,-0.3337626357847946
195.0,-0.3355587926938645
196.0,-0.33677527790578854
197.0,-0.3380667836003944
198.0,-0.33888648406702426
199.0,-0.33960952740588884
200.0,-0.34011715375565066
201.0,-0.3404933606790767
202.0,-0.340861699278309
203.0,-0.3411015322366453
204.0,-0.3410161463895059
205.0,-0.3409423363707149
206.0,-0.34112494784863207
207.0,-0.3414442147920829
208.0,-0.34233503696271983
209.0,-0.3434668068659082
210.0,-0.344853715899858
211.0,-0.34667237768354126
212.0,-0.3488210950587884
213.0,-0.351687445579656
214.0,-0.35385862323417827
215.0,-0.3570577647449437
216.0,-0.36023591373860514
217.0,-0.3625348267073707
218.0,-0.36500114942881895
219.0,-0.36793077624965387
220.0,-0.3694334043309827
221.0,-0.3716327283167749
222.0,-0.3731867742066836
223.0,-0.37516176787964955
224.0,-0.3764688716913305
225.0,-0.378197990372264
226.0,-0.379464011003376
227.0,-0.3815502458201974
228.0,-0.3826068057932606
229.0,-0.38435834651646494
230.0,-0.3854125854504221
231.0,-0.38712374786012677
232.0,-0.38847436821265086
233.0,-0.39016556602520347
234.0,-0.3919445748548725
235.0,-0.39384097645563304
236.0,-0.3959798155091799
237.0,-0.39825835979401664
238.0,-0.4006280706565104
239.0,-0.4032791959747501
240.0,-0.40597360703609114
241.0,-0.40871012687287434
242.0,-0.41151121587865647
243.0,-0.4142677848899859
244.0,-0.4171604755911281
245.0,-0.42005926370236624
246.0,-0.42290811349205776
247.0,-0.42563415884947814
248.0,-0.4283109862967203
249.0,-0.43081581863101376
250.0,-0.4331104808787689
251.0,-0.4352225136259024
252.0,-0.4371303774377871
253.0,-0.43887232451954333
254.0,-0.4404138034293844
255.0,-0.44173046144396616
256.0,-0.44284195428337264
257.0,-0.44382460158267384
258.0,-0.4445252321056094
259.0,-0.4451162576051009
260.0,-0.4454740106931021
261.0,-0.4457280282751192
262.0,-0.4459599575027523
263.0,-0.44594077310812735
264.0,-0.4461090869790173
265.0,-0.4462853415861981
266.0,-0.4463515199476815
267.0,-0.4465730515392306
268.0,-0.4469561269579629
269.0,-0.44750215761023626
270.0,-0.4481846564203673
271.0,-0.448922822681346
272.0,-0.44982580781319487
273.0,-0.4508464217577664
274.0,-0.45193309720301894
