"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,1.9306967880495773
2.0,2.653456935487873
3.0,1.166349019413015
4.0,-0.47342062230466775
5.0,-0.5295579723294336
6.0,-0.6103878679208803
7.0,-0.6418624967835166
8.0,-0.8140789154000806
9.0,-0.9661334683365724
10.0,-1.0327437696085033
11.0,-0.9936628948371998
12.0,-0.9783900730391925
13.0,-0.7281746727972958
14.0,-0.4527667289293079
15.0,-0.25659520477358183
16.0,-0.10716347648705993
17.0,-0.01950318895214054
18.0,-0.004811387307310418
19.0,-0.021129797178967392
20.0,-0.03684894998967744
21.0,-0.18878500822892422
22.0,-0.21289350303923615
23.0,-0.23671900527188022
24.0,-0.4517575889295943
25.0,-0.463004705268408
26.0,-0.46513325267156636
27.0,-0.4599975335782694
28.0,-0.4485597075686519
29.0,-0.41883096517272017
30.0,-0.4025444814509763
31.0,-0.3359433042772844
32.0,-0.32174674806647197
33.0,-0.30602198451650864
34.0,-0.2777162584197335
35.0,-0.2646723689359855
36.0,-0.24293179613155438
37.0,-0.23497909105679818
38.0,-0.2291580745542177
39.0,-0.22556148111784194
40.0,-0.22309650207672047
41.0,-0.22462319125100716
42.0,-0.22802210159130476
43.0,-0.23834626633428085
44.0,-0.24575221066831984
45.0,-0.2620090394875366
46.0,-0.27985083644119446
47.0,-0.29222969105056007
48.0,-0.30396351947082395
49.0,-0.3179317052784524
50.0,-0.3261026008532621
51.0,-0.3325388938083691
52.0,-0.33829287291288174
53.0,-0.3401372093256105
54.0,-0.340432447671601
55.0,-0.33845755100602887
56.0,-0.33626085326310245
57.0,-0.3331640980976877
58.0,-0.32623408954125444
59.0,-0.32225966490432595
60.0,-0.31836717793220193
61.0,-0.3111581547209767
62.0,-0.3079332512427434
63.0,-0.304961163385055
64.0,-0.3027848085111166
65.0,-0.3011834990919938
66.0,-0.30042192069606943
67.0,-0.3004772600912671
68.0,-0.30130666937927675
69.0,-0.30289124994362904
70.0,-0.30517294542839196
71.0,-0.3079070465523871
72.0,-0.31355155736539453
73.0,-0.31697787433732755
74.0,-0.32392091731391276
75.0,-0.3274245528945549
76.0,-0.3324888920023556
77.0,-0.3361356265482556
78.0,-0.3406207797278599
79.0,-0.34352137579433234
80.0,-0.34706999879690714
81.0,-0.35061196533042865
82.0,-0.35238174645699427
83.0,-0.3534472815884466
84.0,-0.353838971984744
85.0,-0.35364742191668913
86.0,-0.3523322925504785
87.0,-0.35054463076202214
88.0,-0.34838123741970245
89.0,-0.34631626447475083
90.0,-0.3445044431786176
91.0,-0.3418641766293184
92.0,-0.34019700171475076
93.0,-0.3372345321871431
94.0,-0.336810788100345
95.0,-0.3370979702235429
96.0,-0.3374205745114904
97.0,-0.33781614475946237
98.0,-0.3391475847578172
99.0,-0.3395747496511543
100.0,-0.3404059479801742
101.0,-0.3408245653643504
102.0,-0.33998053216851154
103.0,-0.3401288513106283
104.0,-0.3402931731512386
105.0,-0.3406163704293144
106.0,-0.34199663167181704
107.0,-0.3427850153974066
108.0,-0.34482371180954274
109.0,-0.3464318447693604
110.0,-0.3496941004925913
111.0,-0.3535443685587637
112.0,-0.35969112784540497
113.0,-0.3633858245299318
114.0,-0.371785426647493
115.0,-0.3767270375395411
116.0,-0.38858376687384066
117.0,-0.3945752625580341
118.0,-0.40814224834717805
119.0,-0.4147643487284904
120.0,-0.4288979918937494
121.0,-0.4357332882041469
122.0,-0.44829973557690944
123.0,-0.45389505457736157
124.0,-0.46112055302524046
125.0,-0.465649019740945
126.0,-0.47157975210356307
127.0,-0.4752674768456493
128.0,-0.48132587550199546
129.0,-0.4836868564387271
130.0,-0.4867546790723627
131.0,-0.48881876887964654
132.0,-0.4909887262927186
133.0,-0.49240103798750945
134.0,-0.49380256409218826
135.0,-0.49496817404970056
136.0,-0.4963127671492864
137.0,-0.4978000354405581
138.0,-0.4996115287211747
139.0,-0.5006387804153877
140.0,-0.5019285663013343
141.0,-0.5029571012046254
142.0,-0.5042878181561714
143.0,-0.5049417889147064
144.0,-0.5060624326354187
145.0,-0.5072705756141335
146.0,-0.5088228073580817
147.0,-0.5105187039066277
148.0,-0.5124841098322099
149.0,-0.5146100755430549
150.0,-0.5170617648998204
151.0,-0.520347011053198
152.0,-0.5229184347054038
153.0,-0.5266082492743617
154.0,-0.5294266076179787
155.0,-0.533408373937066
156.0,-0.5362289818670115
157.0,-0.5394982300332846
158.0,-0.5431153087029241
159.0,-0.5467210935116267
160.0,-0.5503201832467519
161.0,-0.554096859661647
162.0,-0.5577836118450361
163.0,-0.5614405867715434
164.0,-0.5649645934524482
165.0,-0.5685473270603884
166.0,-0.5719431225982186
167.0,-0.5759715736144335
168.0,-0.5785415893253377
169.0,-0.5825369024459721
170.0,-0.5842455633648173
171.0,-0.5863670047297485
172.0,-0.5875208846619403
173.0,-0.5893051978768361
174.0,-0.5899118229274821
175.0,-0.5907798711808685
176.0,-0.5918265914032801
177.0,-0.5930442243402081
178.0,-0.594349457963674
179.0,-0.5958886379142486
180.0,-0.597568889930721
181.0,-0.5993537811179622
182.0,-0.6013794914414923
183.0,-0.6036000802051817
184.0,-0.6060065931359205
185.0,-0.6091977285018996
186.0,-0.6115658579288153
187.0,-0.6141976867090463
188.0,-0.6170168240708651
189.0,-0.6206960952202147
190.0,-0.6232414408067485
191.0,-0.6267314247708442
192.0,-0.6290728750930366
193.0,-0.6324735824676443
194.0,-0.6347641933615076
195.0,-0.6377384805121198
196.0,-0.6398208620352543
197.0,-0.6423194978016783
198.0,-0.6440665701131799
199.0,-0.6458602785506885
200.0,-0.6479540278314322
201.0,-0.6495625540908596
202.0,-0.6516681205847876
203.0,-0.6531570717994969
204.0,-0.6554165972190338
205.0,-0.6564512281074419
206.0,-0.6586791764935073
207.0,-0.6599712612765105
208.0,-0.6622790648168491
209.0,-0.6646376136119126
210.0,-0.6671462132253538
211.0,-0.6699343036788691
212.0,-0.6729813184318996
213.0,-0.6768281818476704
214.0,-0.679698056593748
215.0,-0.6838320890618635
216.0,-0.6878546769839953
217.0,-0.6909150505203401
218.0,-0.6943147965592461
219.0,-0.6983443590353902
220.0,-0.7005491229726526
221.0,-0.7038854005464859
222.0,-0.7063267483153067
223.0,-0.709571118342681
224.0,-0.7119074882433651
225.0,-0.7150808054000948
226.0,-0.7174413237420832
227.0,-0.7214447009920787
228.0,-0.7234761051883222
229.0,-0.7269430001000431
230.0,-0.7288705907114296
231.0,-0.7318128984812107
232.0,-0.7340979684680901
233.0,-0.7367829298253334
234.0,-0.7395869889846255
235.0,-0.7425131691280508
236.0,-0.7456551860193632
237.0,-0.7489268528383349
238.0,-0.7522914564195442
239.0,-0.7559965677891909
240.0,-0.759737960159078
241.0,-0.7635488910007666
242.0,-0.7674279436705667
243.0,-0.7712954086652842
244.0,-0.7753307445953157
245.0,-0.7793675477631999
246.0,-0.7833431645123728
247.0,-0.7871798781676267
248.0,-0.7909488741656563
249.0,-0.7945591898406245
250.0,-0.7979847374639133
251.0,-0.8012227010513724
252.0,-0.8042736595039313
253.0,-0.807198314580646
254.0,-0.8099379179833849
255.0,-0.8124803305299542
256.0,-0.8148682759352197
257.0,-0.8171153718081626
258.0,-0.819086609377202
259.0,-0.8209579370790953
260.0,-0.8226075380871161
261.0,-0.8241263665441811
262.0,-0.8255980281782351
263.0,-0.8268238700999035
264.0,-0.8281939045682578
265.0,-0.8295548039857655
266.0,-0.8308155595995574
267.0,-0.8321900994072348
268.0,-0.8337296943631259
269.0,-0.8353976262742455
270.0,-0.8371865544358613
271.0,-0.8390339144688256
272.0,-0.8410475580023489
273.0,-0.8431914458675198
274.0,-0.845397189253531
275.0,-0.8476720431159984
276.0,-0.8500570506964751
277.0,-0.8524555354917694
278.0,-0.8549632897056647
279.0,-0.8578180353932223
280.0,-0.8598653546670995
281.0,-0.8620772059289274
282.0,-0.8636921680639834
283.0,-0.8657044557022542
284.0,-0.86647183389165
285.0,-0.8678289115231455
286.0,-0.8684088665875027
287.0,-0.8696778981624294
288.0,-0.869933193696665
289.0,-0.8708545777072502
290.0,-0.8704373032050702
291.0,-0.8703553042958356
292.0,-0.8690327168691052
293.0,-0.8687399339089589
294.0,-0.8685803281008386
295.0,-0.8681692597645745
296.0,-0.8682793973146639
297.0,-0.868908910970784
298.0,-0.8690875028943391
299.0,-0.8704043928136149
300.0,-0.870974454191449
301.0,-0.8716376780886798
302.0,-0.8737541936180016
303.0,-0.8756690907890885
304.0,-0.8780091243843247
305.0,-0.8800480993442797
306.0,-0.8836915498252471
307.0,-0.8873563526924333
308.0,-0.8901506077406524
309.0,-0.8961457203315487
310.0,-0.897767002372683
311.0,-0.9012631278069174
312.0,-0.9048064416558469
313.0,-0.9082925191718012
314.0,-0.9116535300154941
315.0,-0.9170561518981223
316.0,-0.9177915269883435
317.0,-0.9203824338730017
318.0,-0.9222955208709747
319.0,-0.924035432475644
320.0,-0.926039646375927
321.0,-0.9262869132570845
322.0,-0.9220592705995231
323.0,-0.9222822799208272
324.0,-0.9226828410604794
325.0,-0.9234020298592747
326.0,-0.9245144886286284
327.0,-0.9259634654349517
328.0,-0.9287165074676309
329.0,-0.9293437502840449
330.0,-0.9355882974816359
331.0,-0.9362480502779473
332.0,-0.9385130019636392
333.0,-0.9407329854023116
334.0,-0.9432249245323462
335.0,-0.9474884950661744
336.0,-0.9481709179407853
337.0,-0.9546687719364275
338.0,-0.955096626962435
339.0,-0.9562755787558497
340.0,-0.9569665639311604
341.0,-0.9577691585629798
342.0,-0.9587261789072484
343.0,-0.9592517745467025
344.0,-0.9605016871119697
345.0,-0.9610126852149192
346.0,-0.9629153542606993
347.0,-0.9635102510571484
348.0,-0.965007160887599
349.0,-0.9673227510810419
350.0,-0.9685278729397075
351.0,-0.9711586894247841
352.0,-0.9724359575975902
353.0,-0.9742839427169973
354.0,-0.9773200630912793
355.0,-0.9786512986544387
356.0,-0.9813847227852053
